Dates conducted,Polling Organisation,Lab,Con,Lib,Lead,date_year_appended,end_date
Nov,Gallup/Daily Telegraph,48.5%,42%,8.5%,6.5%,Nov 1965,1965-11-01
11–15 Nov,NOP/Daily Mail,56%,37.2%,6.5%,18.8%,11–15 Nov 1965,1965-11-15
21–25 Oct,NOP/Daily Mail,51%,40.6%,8%,10.4%,21–25 Oct 1965,1965-10-25
Oct,Gallup/Daily Telegraph,49%,41.5%,9%,7.5%,Oct 1965,1965-10-01
Sep,Gallup/Daily Telegraph,48.5%,42%,8.5%,6.5%,Sep 1965,1965-09-01
23–27 Sep,NOP/Daily Mail,46.4%,42.4%,10.9%,4%,23–27 Sep 1965,1965-09-27
9–13 Sep,NOP/Daily Mail,46.1%,43.5%,10.1%,2.6%,9–13 Sep 1965,1965-09-13
Aug,Gallup/Daily Telegraph,41.5%,49%,8.5%,7.5%,Aug 1965,1965-08-01
5–9 Aug,NOP/Daily Mail,43.1%,46.9%,9.5%,3.8%,5–9 Aug 1965,1965-08-09
27 Jul,Edward Heath elected Conservative Party leader,Edward Heath elected Conservative Party leader,Edward Heath elected Conservative Party leader,Edward Heath elected Conservative Party leader,Edward Heath elected Conservative Party leader,27 Jul 1965,1965-07-27
22–26 Jul,NOP/Daily Mail,47.7%,42.4%,9.5%,5.3%,22–26 Jul 1965,1965-07-26
Jul,Gallup/Daily Telegraph,45%,46.5%,8%,1.5%,Jul 1965,1965-07-01
8–12 Jul,NOP/Daily Mail,47.3%,42.5%,9.9%,4.8%,8–12 Jul 1965,1965-07-12
24–29 Jun,NOP/Daily Mail,45.8%,43.7%,9.9%,2.1%,24–29 Jun 1965,1965-06-29
10–15 Jun,NOP/Daily Mail,47%,41.6%,10.4%,5.4%,10–15 Jun 1965,1965-06-15
Jun,Gallup/Daily Telegraph,42.5%,47%,9.5%,4.5%,Jun 1965,1965-06-01
20–24 May,NOP/Daily Mail,46.3%,42.6%,10.3%,3.7%,20–24 May 1965,1965-05-24
May,Gallup/Daily Telegraph,43%,44%,12.5%,1%,May 1965,1965-05-01
6–10 May,NOP/Daily Mail,47.2%,41.4%,11%,5.8%,6–10 May 1965,1965-05-10
Apr,Gallup/Daily Telegraph,47.5%,39.5%,12.5%,8%,Apr 1965,1965-04-01
8–12 Apr,NOP/Daily Mail,46.2%,40.8%,12.5%,5.4%,8–12 Apr 1965,1965-04-12
25–29 Mar,NOP/Daily Mail,48.7%,39.2%,11.7%,9.5%,25–29 Mar 1965,1965-03-29
Mar,Gallup/Daily Telegraph,46%,43.5%,9.5%,2.5%,Mar 1965,1965-03-01
11–15 Mar,NOP/Daily Mail,50.2%,41.1%,8.4%,9.1%,11–15 Mar 1965,1965-03-15
Feb,Gallup/Daily Telegraph,45%,45.5%,9%,0.5%,Feb 1965,1965-02-01
8–16 Feb,NOP/Daily Mail,48.2%,43.5%,8.2%,4.7%,8–16 Feb 1965,1965-02-16
7–11 Jan,NOP/Daily Mail,48.8%,40.2%,10.4%,8.6%,7–11 Jan 1965,1965-01-11
Jan,Gallup/Daily Telegraph,46.5%,42.5%,10.5%,4%,Jan 1965,1965-01-01
Fieldwork,Polling Organisation,,,,Lead,Fieldwork 1964,
Dec,Gallup/Daily Telegraph,50.5%,40%,9%,10.5%,Dec 1964,1964-12-01
3–7 Dec,NOP/Daily Mail,48.7%,38.8%,12.2%,9.9%,3–7 Dec 1964,1964-12-07
19–22 Nov,NOP/Daily Mail,51.7%,37.9%,10.4%,13.8%,19–22 Nov 1964,1964-11-22
Nov,Gallup/Daily Telegraph,50%,38.5%,11%,11.5%,Nov 1964,1964-11-01
5–8 Nov,NOP/Daily Mail,50.3%,39%,10.5%,11.3%,5–8 Nov 1964,1964-11-08
22–26 Oct,NOP/Daily Mail,50.7%,36.6%,12%,14.1%,22–26 Oct 1964,1964-10-26
15 Oct,General Election Results,44.1%,43.4%,11.2%,0.7%,15 Oct 1964,1964-10-15
