Dates conducted,Polling organisation/client,Sample size,Con,Lab,UKIP,Lib,SNP,Grn,Others,Lead,date_year_appended,end_date
18–22 May,Kantar Public Archived 6 June 2017 at the Wayback Machine,1200,42%,34%,4%,9%,4%,4%,2%,8%,18–22 May 2017,2017-05-22
19–21 May,ICM/The Guardian,2004,47%,33%,4%,9%,4%,2%,1%,14%,19–21 May 2017,2017-05-21
19–20 May,Survation/Good Morning Britain[c],1034,43%,34%,4%,8%,3%,2%,5%,9%,19–20 May 2017,2017-05-20
19–20 May,Survation/Mail on Sunday,1017,46%,34%,3%,8%,4%,1%,3%,12%,19–20 May 2017,2017-05-20
18–19 May,YouGov/Sunday Times,1925,44%,35%,3%,9%,5%[b],2%,1%,9%,18–19 May 2017,2017-05-19
17–18 May,ORB/Sunday Telegraph,1551,46%,34%,7%,7%,4%,2%,2%,12%,17–18 May 2017,2017-05-18
16–17 May,Opinium/Observer,2003,46%,33%,5%,8%,5%,2%,1%,13%,16–17 May 2017,2017-05-17
16–17 May,YouGov/The Times,1861,45%,32%,6%,8%,5%,2%,1%,13%,16–17 May 2017,2017-05-17
15–17 May,Ipsos MORI/Evening Standard,1053,49%,34%,2%,7%,6%,3%,*,15%,15–17 May 2017,2017-05-17
12–15 May,Panelbase,1026,47%,33%,5%,7%,5%,3%,*,14%,12–15 May 2017,2017-05-15
11–15 May,Kantar Public Archived 22 June 2017 at the Wayback Machine,1201,47%,29%,6%,8%,4%,4%,2%,18%,11–15 May 2017,2017-05-15
12–14 May,ICM/The Guardian,2030,48%,28%,6%,10%,4%,3%,1%,20%,12–14 May 2017,2017-05-14
3–14 May,GfK/Business Insider,1952,48%,28%,5%,7%,6%,3%,2%,20%,3–14 May 2017,2017-05-14
12–13 May,Survation/Good Morning Britain,1016,48%,30%,4%,8%,4%,2%,4%,18%,12–13 May 2017,2017-05-13
11–12 May,YouGov/Sunday Times,1630,49%,31%,3%,9%,5%[b],2%,1%,18%,11–12 May 2017,2017-05-12
10–12 May,"ComRes/Sunday Mirror, Independent on Sunday",2007,48%,30%,5%,10%,4%,3%,1%,18%,10–12 May 2017,2017-05-12
9–12 May,Opinium/Observer,2003,47%,32%,5%,8%,5%,2%,1%,15%,9–12 May 2017,2017-05-12
10–11 May,ORB/Sunday Telegraph,1508,46%,32%,6%,8%,5%,4%,4%,14%,10–11 May 2017,2017-05-11
9–10 May,YouGov/The Times,1651,46%,30%,5%,11%,6%[b],2%,1%,16%,9–10 May 2017,2017-05-10
5–9 May,Panelbase,1027,48%,31%,5%,8%,4%,2%,2%,17%,5–9 May 2017,2017-05-09
4–8 May,Kantar Public Archived 14 August 2017 at the Wayback Machine,1201,44%,28%,8%,11%,4%,5%,1%,16%,4–8 May 2017,2017-05-08
5–7 May,ICM/The Guardian,2038,49%,27%,6%,9%,4%,3%,1%,22%,5–7 May 2017,2017-05-07
5–6 May,Survation/Good Morning Britain,1005,47%,30%,4%,7%,5%,3%,3%,17%,5–6 May 2017,2017-05-06
4–5 May,YouGov/Sunday Times,1644,47%,28%,6%,11%,5%[b],2%,1%,19%,4–5 May 2017,2017-05-05
3–5 May,ICM/Sun on Sunday,2020,46%,28%,8%,10%,4%,4%,*,18%,3–5 May 2017,2017-05-05
4 May,United Kingdom local and mayoral elections,United Kingdom local and mayoral elections,United Kingdom local and mayoral elections,United Kingdom local and mayoral elections,United Kingdom local and mayoral elections,United Kingdom local and mayoral elections,United Kingdom local and mayoral elections,United Kingdom local and mayoral elections,United Kingdom local and mayoral elections,United Kingdom local and mayoral elections,4 May 2017,2017-05-04
3–4 May,ORB/Sunday Telegraph,1550,46%,31%,8%,9%,3%,3%,3%,15%,3–4 May 2017,2017-05-04
2–3 May,Opinium/Observer,2005,46%,30%,7%,9%,4%,2%,1%,16%,2–3 May 2017,2017-05-03
2–3 May,YouGov/The Times,2066,48%,29%,5%,10%,5%[b],2%,1%,19%,2–3 May 2017,2017-05-03
28 Apr–2 May,Panelbase,1034,47%,30%,5%,10%,5%,2%,1%,17%,28 Apr–2 May 2017,2017-05-02
28 Apr–2 May,ICM/The Guardian,1970,47%,28%,8%,8%,3%,4%,1%,19%,28 Apr–2 May 2017,2017-05-02
28 Apr–1 May,Qriously,1240,44%,28%,8%,9%,3%,4%,4%,15%,28 Apr–1 May 2017,2017-05-01
27 Apr–2 May,Kantar Public Archived 8 July 2017 at the Wayback Machine,1205,48%,24%,7%,11%,4%,4%,2%,24%,27 Apr–2 May 2017,2017-05-02
27–28 Apr,YouGov/Sunday Times,1612,44%,31%,6%,11%,4%[b],2%,2%,13%,27–28 Apr 2017,2017-04-28
26–28 Apr,ICM/Sun on Sunday,2012,47%,28%,8%,9%,4%,4%,*,19%,26–28 Apr 2017,2017-04-28
25–28 Apr,Opinium/Observer,2007,47%,30%,7%,8%,5%,3%,1%,17%,25–28 Apr 2017,2017-04-28
26–27 Apr,ORB/Sunday Telegraph,2093,42%,31%,8%,10%,4%,4%,4%,11%,26–27 Apr 2017,2017-04-27
25–26 Apr,YouGov/The Times,1590,45%,29%,7%,10%,5%[b],3%,1%,16%,25–26 Apr 2017,2017-04-26
21–25 Apr,Ipsos MORI/Evening Standard[permanent dead link‍],1004,49%,26%,4%,13%,4%,1%,4%,23%,21–25 Apr 2017,2017-04-25
21–24 Apr,ICM/The Guardian,2024,48%,27%,7%,10%,4%,3%,1%,21%,21–24 Apr 2017,2017-04-24
20–24 Apr,Panelbase,1026,49%,27%,5%,10%,5%,3%,1%,22%,20–24 Apr 2017,2017-04-24
20–24 Apr,Kantar Public Archived 26 April 2017 at the Wayback Machine,1196,46%,24%,8%,11%,5%,4%,1%,22%,20–24 Apr 2017,2017-04-24
Pre-23 Apr,Norstat/Sunday Express,1036,42%,26%,8%,10%,*,6%,8%,16%,Pre-23 Apr 2017,2017-04-23
21–22 Apr,Survation/Mail on Sunday,2072,40%,29%,11%,11%,4%,2%,3%,11%,21–22 Apr 2017,2017-04-22
20–21 Apr,YouGov/Sunday Times,1590,48%,25%,5%,12%,6%[b],3%,1%,23%,20–21 Apr 2017,2017-04-21
19–21 Apr,ICM/ITV,2027,48%,26%,8%,10%,4%,3%,2%,22%,19–21 Apr 2017,2017-04-21
19–20 Apr,ORB/Daily Telegraph,1860,44%,29%,10%,8%,5%,4%,4%,15%,19–20 Apr 2017,2017-04-20
19–20 Apr,ComRes/Sunday Mirror Archived 22 April 2017 at the Wayback Machine,2074,50%,25%,7%,11%,4%,3%,1%,25%,19–20 Apr 2017,2017-04-20
19–20 Apr,Opinium/Observer,2003,45%,26%,9%,11%,4%,3%,1%,19%,19–20 Apr 2017,2017-04-20
2–20 Apr,YouGov,12746,44%,25%,9%,12%,6%[b],3%,1%,19%,2–20 Apr 2017,2017-04-20
18–19 Apr,YouGov/The Times,1727,48%,24%,7%,12%,6%[b],2%,1%,24%,18–19 Apr 2017,2017-04-19
18 Apr,ICM/The Guardian,1000,46%,25%,8%,11%,4%,4%,1%,21%,18 Apr 2017,2017-04-18
18 Apr,Prime Minister Theresa May announces her intention to seek a general election to be held on 8 June 2017,Prime Minister Theresa May announces her intention to seek a general election to be held on 8 June 2017,Prime Minister Theresa May announces her intention to seek a general election to be held on 8 June 2017,Prime Minister Theresa May announces her intention to seek a general election to be held on 8 June 2017,Prime Minister Theresa May announces her intention to seek a general election to be held on 8 June 2017,Prime Minister Theresa May announces her intention to seek a general election to be held on 8 June 2017,Prime Minister Theresa May announces her intention to seek a general election to be held on 8 June 2017,Prime Minister Theresa May announces her intention to seek a general election to be held on 8 June 2017,Prime Minister Theresa May announces her intention to seek a general election to be held on 8 June 2017,Prime Minister Theresa May announces her intention to seek a general election to be held on 8 June 2017,18 Apr 2017,2017-04-18
14–17 Apr,ICM/The Guardian,2052,44%,26%,11%,10%,4%,4%,1%,18%,14–17 Apr 2017,2017-04-17
12–13 Apr,YouGov/The Times,2069,44%,23%,10%,12%,6%[b],4%,1%,21%,12–13 Apr 2017,2017-04-13
11–13 Apr,"ComRes/Sunday Mirror, Independent on Sunday",2026,46%,25%,9%,11%,4%,4%,2%,21%,11–13 Apr 2017,2017-04-13
11–13 Apr,Opinium/Observer,2002,38%,29%,14%,7%,5%,5%,1%,9%,11–13 Apr 2017,2017-04-13
5–6 Apr,YouGov/The Times,1651,42%,25%,11%,11%,8%[b],3%,1%,17%,5–6 Apr 2017,2017-04-06
31 Mar–2 Apr,ICM/The Guardian,2005,43%,25%,11%,11%,5%,4%,2%,18%,31 Mar–2 Apr 2017,2017-04-02
26–27 Mar,YouGov/The Times,1957,43%,25%,10%,11%,6%[b],3%,1%,18%,26–27 Mar 2017,2017-03-27
20–21 Mar,YouGov/The Times,1627,41%,25%,12%,11%,6%[b],3%,2%,16%,20–21 Mar 2017,2017-03-21
17–19 Mar,ICM/The Guardian,2012,45%,26%,10%,9%,4%,4%,1%,19%,17–19 Mar 2017,2017-03-19
15–17 Mar,"ComRes/Sunday Mirror, Independent on Sunday",2026,42%,25%,10%,12%,5%,4%,2%,17%,15–17 Mar 2017,2017-03-17
14–17 Mar,Opinium/Observer,2007,41%,28%,13%,8%,6%,3%,1%,13%,14–17 Mar 2017,2017-03-17
1–15 Mar,GfK,1938,41%,28%,12%,7%,5%,6%,1%,13%,1–15 Mar 2017,2017-03-15
13–14 Mar,YouGov/The Times,1631,44%,27%,9%,10%,5%[b],4%,0%,17%,13–14 Mar 2017,2017-03-14
10–14 Mar,Ipsos MORI[permanent dead link‍],1032,43%,30%,6%,13%,4%,4%,*,13%,10–14 Mar 2017,2017-03-14
8–9 Mar,YouGov/The Times,1598,44%,25%,11%,10%,6%[b],3%,1%,19%,8–9 Mar 2017,2017-03-09
3–5 Mar,ICM/The Guardian,1787,44%,28%,11%,8%,4%,5%,1%,16%,3–5 Mar 2017,2017-03-05
27–28 Feb,YouGov/The Times,1666,42%,25%,12%,11%,6%[b],4%,1%,17%,27–28 Feb 2017,2017-02-28
23 Feb,By-elections in Stoke-on-Trent Central and Copeland,By-elections in Stoke-on-Trent Central and Copeland,By-elections in Stoke-on-Trent Central and Copeland,By-elections in Stoke-on-Trent Central and Copeland,By-elections in Stoke-on-Trent Central and Copeland,By-elections in Stoke-on-Trent Central and Copeland,By-elections in Stoke-on-Trent Central and Copeland,By-elections in Stoke-on-Trent Central and Copeland,By-elections in Stoke-on-Trent Central and Copeland,By-elections in Stoke-on-Trent Central and Copeland,23 Feb 2017,2017-02-23
21–22 Feb,YouGov/The Times,2060,41%,25%,13%,11%,6%[b],3%,1%,16%,21–22 Feb 2017,2017-02-22
17–19 Feb,ICM/The Guardian,2028,44%,26%,13%,8%,4%,4%,1%,18%,17–19 Feb 2017,2017-02-19
14–16 Feb,Opinium/Observer,2004,40%,27%,14%,8%,5%,4%,2%,13%,14–16 Feb 2017,2017-02-16
10–14 Feb,Ipsos MORI/Evening Standard,1014,40%,29%,9%,13%,5%,4%,0%,11%,10–14 Feb 2017,2017-02-14
12–13 Feb,YouGov/The Times,2052,40%,24%,15%,11%,6%[b],4%,2%,16%,12–13 Feb 2017,2017-02-13
8–10 Feb,"ComRes/Sunday Mirror, Independent on Sunday",1218,41%,26%,11%,11%,5%,4%,2%,15%,8–10 Feb 2017,2017-02-10
5–6 Feb,YouGov/The Times,1984,40%,24%,14%,11%,6%[b],4%,1%,16%,5–6 Feb 2017,2017-02-06
3–5 Feb,ICM/The Guardian,1984,42%,27%,12%,10%,5%,4%,1%,15%,3–5 Feb 2017,2017-02-05
31 Jan–1 Feb,Opinium/Observer,2005,37%,30%,14%,8%,5%,5%,2%,7%,31 Jan–1 Feb 2017,2017-02-01
30–31 Jan,YouGov/The Times,1705,40%,26%,12%,11%,6%[b],4%,1%,14%,30–31 Jan 2017,2017-01-31
23–24 Jan,YouGov/The Times,1643,40%,24%,14%,10%,6%[b],3%,0%,16%,23–24 Jan 2017,2017-01-24
20–22 Jan,ICM/The Guardian,2052,42%,26%,13%,10%,4%,5%,1%,16%,20–22 Jan 2017,2017-01-22
17–18 Jan,YouGov/The Times,1654,42%,25%,12%,11%,6%[b],3%,0%,17%,17–18 Jan 2017,2017-01-18
13–16 Jan,Ipsos MORI,1132,43%,31%,6%,11%,4%,4%,*,12%,13–16 Jan 2017,2017-01-16
13 Jan,Survation/Mail on Sunday,1177,38%,29%,13%,10%,4%,2%,4%,9%,13 Jan 2017,2017-01-13
10–12 Jan,Opinium/Observer,2007,38%,30%,14%,7%,5%,4%,2%,8%,10–12 Jan 2017,2017-01-12
9–10 Jan,YouGov/The Times,1660,39%,28%,13%,11%,6%[b],3%,1%,11%,9–10 Jan 2017,2017-01-10
6–8 Jan,ICM/The Guardian,2000,42%,28%,12%,9%,4%,4%,*,14%,6–8 Jan 2017,2017-01-08
3–4 Jan,YouGov/The Times,1740,39%,26%,14%,10%,6%[b],4%,1%,13%,3–4 Jan 2017,2017-01-04
Date(s) conducted,Polling organisation/client,Sample size,,,,,,,Others,Lead,Date(s) conducted 2016,
18–19 Dec,YouGov/The Times,1595,39%,24%,14%,12%,6%[b],4%,1%,15%,18–19 Dec 2016,2016-12-19
13–16 Dec,Opinium/Observer,2000,38%,31%,13%,6%,6%,4%,1%,7%,13–16 Dec 2016,2016-12-16
9–12 Dec,Ipsos MORI[permanent dead link‍],1003,40%,29%,9%,14%,4%,3%,1%,11%,9–12 Dec 2016,2016-12-12
9–11 Dec,ICM/The Guardian,2049,41%,27%,14%,9%,4%,3%,1%,14%,9–11 Dec 2016,2016-12-11
8 Dec,Sleaford and North Hykeham by-election,Sleaford and North Hykeham by-election,Sleaford and North Hykeham by-election,Sleaford and North Hykeham by-election,Sleaford and North Hykeham by-election,Sleaford and North Hykeham by-election,Sleaford and North Hykeham by-election,Sleaford and North Hykeham by-election,Sleaford and North Hykeham by-election,Sleaford and North Hykeham by-election,8 Dec 2016,2016-12-08
4–5 Dec,YouGov/The Times,1667,42%,25%,12%,11%,6%[b],4%,1%,17%,4–5 Dec 2016,2016-12-05
1 Dec,Richmond Park by-election,Richmond Park by-election,Richmond Park by-election,Richmond Park by-election,Richmond Park by-election,Richmond Park by-election,Richmond Park by-election,Richmond Park by-election,Richmond Park by-election,Richmond Park by-election,1 Dec 2016,2016-12-01
28–29 Nov,YouGov/The Times,1624,39%,27%,14%,9%,6%[b],4%,1%,12%,28–29 Nov 2016,2016-11-29
28 Nov,Paul Nuttall is elected as the leader of UKIP,Paul Nuttall is elected as the leader of UKIP,Paul Nuttall is elected as the leader of UKIP,Paul Nuttall is elected as the leader of UKIP,Paul Nuttall is elected as the leader of UKIP,Paul Nuttall is elected as the leader of UKIP,Paul Nuttall is elected as the leader of UKIP,Paul Nuttall is elected as the leader of UKIP,Paul Nuttall is elected as the leader of UKIP,Paul Nuttall is elected as the leader of UKIP,28 Nov 2016,2016-11-28
25–27 Nov,ICM/The Guardian,2009,44%,28%,12%,7%,4%,4%,2%,16%,25–27 Nov 2016,2016-11-27
21–22 Nov,YouGov/The Times,1693,41%,28%,12%,9%,6%[b],4%,0%,13%,21–22 Nov 2016,2016-11-22
18–20 Nov,ICM/The Guardian,2031,42%,28%,11%,9%,4%,3%,2%,14%,18–20 Nov 2016,2016-11-20
15–18 Nov,Opinium,2005,41%,29%,12%,7%,6%,3%,1%,12%,15–18 Nov 2016,2016-11-18
14–15 Nov,YouGov/The Times,1717,42%,28%,11%,8%,7%[b],4%,1%,14%,14–15 Nov 2016,2016-11-15
11–14 Nov,Ipsos MORI[permanent dead link‍],1013,42%,33%,7%,10%,5%[b],3%,1%,9%,11–14 Nov 2016,2016-11-14
1–4 Nov,Opinium,2001,40%,32%,13%,6%,6%,4%,–,8%,1–4 Nov 2016,2016-11-04
31 Oct–1 Nov,YouGov/The Times,1608,41%,27%,11%,10%,6%[b],4%,1%,14%,31 Oct–1 Nov 2016,2016-11-01
28–30 Oct,ICM/The Guardian,2040,43%,27%,12%,8%,4%,5%,1%,16%,28–30 Oct 2016,2016-10-30
24–25 Oct,YouGov/The Times,1655,40%,27%,11%,11%,7%[b],3%,1%,13%,24–25 Oct 2016,2016-10-25
19–24 Oct,BMG,1546,42%,28%,12%,8%,5%,4%,1%,14%,19–24 Oct 2016,2016-10-24
20 Oct,By-elections in Witney and Batley & Spen,By-elections in Witney and Batley & Spen,By-elections in Witney and Batley & Spen,By-elections in Witney and Batley & Spen,By-elections in Witney and Batley & Spen,By-elections in Witney and Batley & Spen,By-elections in Witney and Batley & Spen,By-elections in Witney and Batley & Spen,By-elections in Witney and Batley & Spen,By-elections in Witney and Batley & Spen,20 Oct 2016,2016-10-20
19–20 Oct,YouGov/Election Data,1608,42%,26%,12%,8%,6%[b],5%,1%,16%,19–20 Oct 2016,2016-10-20
14–17 Oct,Ipsos MORI[permanent dead link‍],1016,47%,29%,6%,7%,6%[b],4%,1%,18%,14–17 Oct 2016,2016-10-17
11–12 Oct,YouGov/The Times,1669,42%,28%,11%,9%,6%[b],3%,0%,14%,11–12 Oct 2016,2016-10-12
7–9 Oct,ICM/The Guardian,2017,43%,26%,11%,8%,4%,6%,2%,17%,7–9 Oct 2016,2016-10-09
28–29 Sep,YouGov/The Times,1658,39%,30%,13%,8%,6%[b],3%,0%,9%,28–29 Sep 2016,2016-09-29
24 Sep,Jeremy Corbyn is re-elected as the Leader of the Labour Party and Leader of the Opposition,Jeremy Corbyn is re-elected as the Leader of the Labour Party and Leader of the Opposition,Jeremy Corbyn is re-elected as the Leader of the Labour Party and Leader of the Opposition,Jeremy Corbyn is re-elected as the Leader of the Labour Party and Leader of the Opposition,Jeremy Corbyn is re-elected as the Leader of the Labour Party and Leader of the Opposition,Jeremy Corbyn is re-elected as the Leader of the Labour Party and Leader of the Opposition,Jeremy Corbyn is re-elected as the Leader of the Labour Party and Leader of the Opposition,Jeremy Corbyn is re-elected as the Leader of the Labour Party and Leader of the Opposition,Jeremy Corbyn is re-elected as the Leader of the Labour Party and Leader of the Opposition,Jeremy Corbyn is re-elected as the Leader of the Labour Party and Leader of the Opposition,24 Sep 2016,2016-09-24
21–23 Sep,ICM/Sun on Sunday,2015,41%,26%,14%,8%,5%,4%,2%,15%,21–23 Sep 2016,2016-09-23
20–23 Sep,BMG,2026,39%,28%,13%,8%,5%,5%,2%,11%,20–23 Sep 2016,2016-09-23
19–21 Sep,YouGov/The Times,3285,39%,30%,13%,8%,6%[b],3%,1%,9%,19–21 Sep 2016,2016-09-21
16 Sep,Diane James is elected the leader of UKIP,Diane James is elected the leader of UKIP,Diane James is elected the leader of UKIP,Diane James is elected the leader of UKIP,Diane James is elected the leader of UKIP,Diane James is elected the leader of UKIP,Diane James is elected the leader of UKIP,Diane James is elected the leader of UKIP,Diane James is elected the leader of UKIP,Diane James is elected the leader of UKIP,16 Sep 2016,2016-09-16
13–14 Sep,YouGov/The Times,1732,38%,31%,13%,7%,6%,4%,–,7%,13–14 Sep 2016,2016-09-14
10–14 Sep,Ipsos MORI/Evening Standard[permanent dead link‍],1000,40%,34%,9%,6%,4%[b],5%,1%,6%,10–14 Sep 2016,2016-09-14
9–11 Sep,ICM/The Guardian,2013,41%,27%,14%,8%,5%,4%,2%,14%,9–11 Sep 2016,2016-09-11
4–5 Sep,YouGov/The Times,1616,40%,29%,13%,7%,7%[b],3%,–,11%,4–5 Sep 2016,2016-09-05
2 Sep,Caroline Lucas and Jonathan Bartley are elected joint leaders of the Green Party,Caroline Lucas and Jonathan Bartley are elected joint leaders of the Green Party,Caroline Lucas and Jonathan Bartley are elected joint leaders of the Green Party,Caroline Lucas and Jonathan Bartley are elected joint leaders of the Green Party,Caroline Lucas and Jonathan Bartley are elected joint leaders of the Green Party,Caroline Lucas and Jonathan Bartley are elected joint leaders of the Green Party,Caroline Lucas and Jonathan Bartley are elected joint leaders of the Green Party,Caroline Lucas and Jonathan Bartley are elected joint leaders of the Green Party,Caroline Lucas and Jonathan Bartley are elected joint leaders of the Green Party,Caroline Lucas and Jonathan Bartley are elected joint leaders of the Green Party,2 Sep 2016,2016-09-02
30–31 Aug,YouGov/The Times,1687,38%,30%,14%,7%,6%[b],4%,–,8%,30–31 Aug 2016,2016-08-31
26–28 Aug,ICM/The Guardian,2040,41%,27%,13%,9%,4%,4%,2%,14%,26–28 Aug 2016,2016-08-28
22–23 Aug,YouGov/The Times,1660,40%,29%,13%,8%,6%[b],3%,1%,11%,22–23 Aug 2016,2016-08-23
11–22 Aug,Lord Ashcroft Polls,8011,40%,31%,13%,7%,5%,3%,1%,9%,11–22 Aug 2016,2016-08-22
16–17 Aug,YouGov/The Times,1677,38%,30%,13%,9%,7%[b],4%,–,8%,16–17 Aug 2016,2016-08-17
13–15 Aug,Ipsos MORI/Evening Standard[permanent dead link‍],1017,45%,34%,6%,7%,4%,4%,1%,11%,13–15 Aug 2016,2016-08-15
12–15 Aug,ICM,2010,40%,28%,14%,8%,4%,4%,2%,12%,12–15 Aug 2016,2016-08-15
8–9 Aug,YouGov/The Times,1692,38%,31%,13%,8%,7%[b],4%,–,7%,8–9 Aug 2016,2016-08-09
5–8 Aug,TNS[permanent dead link‍],1199,39%,26%,11%,10%,4%,7%,2%,13%,5–8 Aug 2016,2016-08-08
1–2 Aug,YouGov/The Times,1722,42%,28%,12%,8%,6%[b],3%,1%,14%,1–2 Aug 2016,2016-08-02
25–26 Jul,YouGov/The Times,1680,40%,28%,13%,8%,7%[b],4%,1%,12%,25–26 Jul 2016,2016-07-26
22–24 Jul,ICM,2012,43%,27%,13%,8%,4%,4%,1%,16%,22–24 Jul 2016,2016-07-24
19–22 Jul,Opinium/Observer,2231,37%,31%,15%,6%,6%,4%,1%,6%,19–22 Jul 2016,2016-07-22
17–18 Jul,YouGov,1891,40%,29%,12%,9%,7%[b],3%,1%,11%,17–18 Jul 2016,2016-07-18
13–15 Jul,ICM,2027,39%,29%,14%,9%,4%,4%,2%,10%,13–15 Jul 2016,2016-07-15
