Dates conducted,Pollster,Client,Con,Lab,Lib,Lead,date_year_appended,end_date
18 May,The Dissolution of the 49th Parliament and campaigning officially begins,The Dissolution of the 49th Parliament and campaigning officially begins,The Dissolution of the 49th Parliament and campaigning officially begins,The Dissolution of the 49th Parliament and campaigning officially begins,The Dissolution of the 49th Parliament and campaigning officially begins,The Dissolution of the 49th Parliament and campaigning officially begins,18 May 1987,1987-05-18
17 May,Harris,TV-AM,42%,32%,24%,10%,17 May 1987,1987-05-17
15 May,Harris,The Observer,42%,33%,23%,9%,15 May 1987,1987-05-15
14 May,MORI,The Sunday Times,44%,30%,25%,14%,14 May 1987,1987-05-14
13 May,Marplan,Daily Express,41%,30%,26%,11%,13 May 1987,1987-05-13
12 May,Marplan,The Guardian,43%,29%,25%,14%,12 May 1987,1987-05-12
12 May,MORI,,44%,31%,23%,13%,12 May 1987,1987-05-12
11 May,NOP,Evening Standard,46%,28%,25%,18%,11 May 1987,1987-05-11
11 May,Gallup,The Daily Telegraph,39%,28%,30%,9%,11 May 1987,1987-05-11
7 May,Harris,London Weekend Television,44%,33%,21%,11%,7 May 1987,1987-05-07
7 May,1987 local elections[2],1987 local elections[2],1987 local elections[2],1987 local elections[2],1987 local elections[2],1987 local elections[2],7 May 1987,1987-05-07
4 May,NOP,The Independent,39%,34%,25%,5%,4 May 1987,1987-05-04
3 May,Harris,TV-AM,44%,30%,25%,14%,3 May 1987,1987-05-03
30 Apr,MORI,The Sunday Times,44%,31%,23%,13%,30 Apr 1987,1987-04-30
27 Apr,Harris,Capital Radio,42%,31%,25%,11%,27 Apr 1987,1987-04-27
27 Apr,Marplan,Today,39%,33%,24%,6%,27 Apr 1987,1987-04-27
23 Apr,Harris,The Observer,42%,31%,25%,11%,23 Apr 1987,1987-04-23
15 Apr,NOP,Evening Standard,44%,29%,25%,15%,15 Apr 1987,1987-04-15
13 Apr,Gallup,The Daily Telegraph,40.5%,28%,29%,11.5%,13 Apr 1987,1987-04-13
12 Apr,MORI,Evening Standard,42%,29%,26%,13%,12 Apr 1987,1987-04-12
10 Apr,Marplan,Press Association,40%,30%,27%,10%,10 Apr 1987,1987-04-10
7 Apr,Marplan,The Guardian,38%,32%,27%,6%,7 Apr 1987,1987-04-07
5 Apr,Harris,TV-AM,43%,30%,26%,13%,5 Apr 1987,1987-04-05
2 Apr,MORI,The Sunday Times,41%,29%,29%,12%,2 Apr 1987,1987-04-02
2 Apr,Marplan,Daily Express,39%,29%,30%,9%,2 Apr 1987,1987-04-02
24 Mar,Marplan,Today,36%,31%,31%,5%,24 Mar 1987,1987-03-24
23 Mar,Gallup,The Daily Telegraph,37.5%,29.5%,31.5%,6%,23 Mar 1987,1987-03-23
20 Mar,MORI,The Sunday Times,39%,33%,26%,6%,20 Mar 1987,1987-03-20
19 Mar,Harris,The Observer,39%,33%,26%,6%,19 Mar 1987,1987-03-19
17 Mar,Gallup,The Sunday Telegraph,38.5%,30%,30.5%,8%,17 Mar 1987,1987-03-17
12 Mar,Truro by-election,Truro by-election,Truro by-election,Truro by-election,Truro by-election,Truro by-election,12 Mar 1987,1987-03-12
10 Mar,Marplan,The Guardian,38%,32%,27%,6%,10 Mar 1987,1987-03-10
10 Mar,MORI,The Sunday Times,41%,32%,25%,9%,10 Mar 1987,1987-03-10
2 Mar,NOP,Evening Standard,39%,34%,25%,5%,2 Mar 1987,1987-03-02
1 Mar,Harris,TV-AM,36%,33%,29%,3%,1 Mar 1987,1987-03-01
26 Feb,Greenwich by-election,Greenwich by-election,Greenwich by-election,Greenwich by-election,Greenwich by-election,Greenwich by-election,26 Feb 1987,1987-02-26
25 Feb,MORI,The Sunday Times,41%,35%,21%,6%,25 Feb 1987,1987-02-25
19 Feb,Harris,The Observer,39%,37%,23%,2%,19 Feb 1987,1987-02-19
16 Feb,Gallup,The Daily Telegraph,36%,34.5%,27.5%,1.5%,16 Feb 1987,1987-02-16
10 Feb,Marplan,The Guardian,38%,35%,25%,3%,10 Feb 1987,1987-02-10
10 Feb,MORI,The Sunday Times,39%,36%,23%,3%,10 Feb 1987,1987-02-10
9 Feb,NOP,Evening Standard,39%,37%,23%,2%,9 Feb 1987,1987-02-09
1 Feb,Harris,TV-AM,37%,39%,22%,2%,1 Feb 1987,1987-02-01
28 Jan,NOP,Channel 4,38%,40%,20%,2%,28 Jan 1987,1987-01-28
28 Jan,MORI,The Sunday Times,39%,38%,21%,1%,28 Jan 1987,1987-01-28
27 Jan,Marplan,Today,38.5%,38.5%,20%,Tie,27 Jan 1987,1987-01-27
22 Jan,Harris,The Observer,44%,36%,18%,8%,22 Jan 1987,1987-01-22
20 Jan,Gallup,The Daily Telegraph,34.5%,39.5%,23.5%,5%,20 Jan 1987,1987-01-20
14 Jan,NOP,Evening Standard,42%,37%,19%,5%,14 Jan 1987,1987-01-14
12 Jan,Marplan,The Guardian,38%,36%,23%,2%,12 Jan 1987,1987-01-12
11 Jan,Harris,TV-AM,42%,37%,20%,5%,11 Jan 1987,1987-01-11
Survey end date,Pollster,Client,,,,Lead,Survey end date 1986,
30 Dec,MORI,The Sunday Times,39%,38%,21%,1%,30 Dec 1986,1986-12-30
15 Dec,Gallup,,41%,32.5%,23.5%,8.5%,15 Dec 1986,1986-12-15
12 Dec,MORI,The Sunday Times,41%,39%,19%,2%,12 Dec 1986,1986-12-12
8 Dec,Marplan,The Guardian,39%,38%,21%,1%,8 Dec 1986,1986-12-08
7 Dec,Harris,TV-AM,41%,35%,22%,6%,7 Dec 1986,1986-12-07
3 Dec,NOP,,41%,38%,19.5%,3%,3 Dec 1986,1986-12-03
26 Nov,MORI,Evening Standard,41%,39%,18%,2%,26 Nov 1986,1986-11-26
24 Nov,Marplan,Today,39%,38%,20%,1%,24 Nov 1986,1986-11-24
17 Nov,Gallup,The Daily Telegraph,36%,39.5%,22%,3.5%,17 Nov 1986,1986-11-17
13 Nov,Knowsley North by-election,Knowsley North by-election,Knowsley North by-election,Knowsley North by-election,Knowsley North by-election,Knowsley North by-election,13 Nov 1986,1986-11-13
12 Nov,MORI,,39%,41%,18%,2%,12 Nov 1986,1986-11-12
11 Nov,NOP,,41%,38%,18%,3%,11 Nov 1986,1986-11-11
11 Nov,Marplan,The Guardian,39%,36%,23%,3%,11 Nov 1986,1986-11-11
4 Nov,MORI,The Sunday Times,40%,39%,18%,1%,4 Nov 1986,1986-11-04
2 Nov,Harris,TV-AM,40%,36%,21%,4%,2 Nov 1986,1986-11-02
24 Oct,Marplan,Press Association,41%,37.5%,19%,3.5%,24 Oct 1986,1986-10-24
22 Oct,MORI,Evening Standard,39%,41%,17%,2%,22 Oct 1986,1986-10-22
20 Oct,Gallup,The Daily Telegraph,37.5%,37.5%,22%,Tie,20 Oct 1986,1986-10-20
20 Oct,Marplan,Today,40%,41%,17%,1%,20 Oct 1986,1986-10-20
9 Oct,,,36%,39%,23%,3%,9 Oct 1986,1986-10-09
7 Oct,Marplan,The Guardian,36%,39%,23%,3%,7 Oct 1986,1986-10-07
3 Oct,Harris,The Observer,38%,41%,20%,3%,3 Oct 1986,1986-10-03
23 Sep,Marplan,Today,34%,40%,24%,6%,23 Sep 1986,1986-09-23
23 Sep,MORI,Evening Standard,35%,37%,26%,2%,23 Sep 1986,1986-09-23
15 Sep,Gallup,The Daily Telegraph,32.5%,38%,27.5%,5.5%,15 Sep 1986,1986-09-15
9 Sep,Marplan,The Guardian,34%,40%,24%,6%,9 Sep 1986,1986-09-09
27 Aug,Marplan,Today,35%,38%,24%,3%,27 Aug 1986,1986-08-27
19 Aug,MORI,Evening Standard,37%,37%,24%,Tie,19 Aug 1986,1986-08-19
11 Aug,Gallup,The Daily Telegraph,30%,36.5%,30%,6.5%,11 Aug 1986,1986-08-11
11 Aug,Marplan,The Guardian,32%,38%,27%,6%,11 Aug 1986,1986-08-11
31 Jul,MORI,The Times,32%,41%,25%,9%,31 Jul 1986,1986-07-31
29 Jul,Marplan,Today on S,29.5%,41%,27.5%,11.5%,29 Jul 1986,1986-07-29
22 Jul,MORI,Evening Standard,36%,37%,25%,1%,22 Jul 1986,1986-07-22
17 Jul,Newcastle-under-Lyme by-election,Newcastle-under-Lyme by-election,Newcastle-under-Lyme by-election,Newcastle-under-Lyme by-election,Newcastle-under-Lyme by-election,Newcastle-under-Lyme by-election,17 Jul 1986,1986-07-17
14 Jul,Gallup,The Daily Telegraph,33%,38%,27%,5%,14 Jul 1986,1986-07-14
14 Jul,Marplan,The Guardian,31%,38%,28%,7%,14 Jul 1986,1986-07-14
24 Jun,MORI,Evening Standard,34%,40%,23%,6%,24 Jun 1986,1986-06-24
16 Jun,Gallup,The Daily Telegraph,34%,39%,24.5%,5%,16 Jun 1986,1986-06-16
16 Jun,Marplan,The Guardian,33%,39%,26%,6%,16 Jun 1986,1986-06-16
12 Jun,Harris,The Observer,31%,40%,25%,9%,12 Jun 1986,1986-06-12
21 May,MORI,Evening Standard,32%,40%,26%,8%,21 May 1986,1986-05-21
19 May,Marplan,The Guardian,28%,39%,30%,9%,19 May 1986,1986-05-19
12 May,Gallup,The Daily Telegraph,27.5%,37%,32.5%,4.5%,12 May 1986,1986-05-12
8 May,West Derbyshire & Ryedale by-elections[3],West Derbyshire & Ryedale by-elections[3],West Derbyshire & Ryedale by-elections[3],West Derbyshire & Ryedale by-elections[3],West Derbyshire & Ryedale by-elections[3],West Derbyshire & Ryedale by-elections[3],8 May 1986,1986-05-08
8 May,1986 local elections[4],1986 local elections[4],1986 local elections[4],1986 local elections[4],1986 local elections[4],1986 local elections[4],8 May 1986,1986-05-08
2 May,MORI,The Sunday Times,36%,38%,23%,2%,2 May 1986,1986-05-02
22 Apr,MORI,Evening Standard,34%,39%,25%,5%,22 Apr 1986,1986-04-22
21 Apr,Gallup,The Daily Telegraph,33.5%,38%,26%,4.5%,21 Apr 1986,1986-04-21
14 Apr,Gallup,The Daily Telegraph,28%,38.5%,31.5%,7%,14 Apr 1986,1986-04-14
10 Apr,Fulham by-election,Fulham by-election,Fulham by-election,Fulham by-election,Fulham by-election,Fulham by-election,10 Apr 1986,1986-04-10
8 Apr,Marplan,The Guardian,32%,35%,30%,3%,8 Apr 1986,1986-04-08
26 Mar,MORI,,34%,36%,28%,2%,26 Mar 1986,1986-03-26
24 Mar,Gallup,The Daily Telegraph,29.5%,34%,34.5%,0.5%,24 Mar 1986,1986-03-24
21 Mar,MORI,The Sunday Times,31%,39%,28%,8%,21 Mar 1986,1986-03-21
10 Mar,Marplan,The Guardian,32%,35%,31%,3%,10 Mar 1986,1986-03-10
26 Feb,MORI,Evening Standard,34%,35%,30%,1%,26 Feb 1986,1986-02-26
12 Feb,MORI,The Sunday Times,33%,37%,29%,4%,12 Feb 1986,1986-02-12
10 Feb,Gallup,The Daily Telegraph,29.5%,35.5%,33.5%,2%,10 Feb 1986,1986-02-10
10 Feb,Marplan,The Guardian,27%,36%,35%,1%,10 Feb 1986,1986-02-10
24 Jan,Harris,The Observer,31%,36%,30%,5%,24 Jan 1986,1986-01-24
23 Jan,1986 Northern Ireland by-elections[5],1986 Northern Ireland by-elections[5],1986 Northern Ireland by-elections[5],1986 Northern Ireland by-elections[5],1986 Northern Ireland by-elections[5],1986 Northern Ireland by-elections[5],23 Jan 1986,1986-01-23
13 Jan,Gallup,The Daily Telegraph,29.5%,34%,35%,1%,13 Jan 1986,1986-01-13
12 Jan,Marplan,The Guardian,29%,36%,33%,3%,12 Jan 1986,1986-01-12
12 Jan,Harris,ITN,32%,33%,31%,2%,12 Jan 1986,1986-01-12
8 Jan,MORI,Evening Standard,33%,38%,28%,5%,8 Jan 1986,1986-01-08
Survey end date,Pollster,Client,,,,Lead,Survey end date 1985,
9 Dec,Gallup,The Daily Telegraph,33%,32.5%,32.5%,0.5%,9 Dec 1985,1985-12-09
9 Dec,Marplan,The Guardian,35%,33%,30%,2%,9 Dec 1985,1985-12-09
8 Dec,MORI,,35%,35%,28%,Tie,8 Dec 1985,1985-12-08
5 Dec,Tyne Bridge by-election,Tyne Bridge by-election,Tyne Bridge by-election,Tyne Bridge by-election,Tyne Bridge by-election,Tyne Bridge by-election,5 Dec 1985,1985-12-05
24 Nov,MORI,Evening Standard,36%,36%,25%,Tie,24 Nov 1985,1985-11-24
11 Nov,Gallup,The Daily Telegraph,35%,34%,29.5%,1%,11 Nov 1985,1985-11-11
11 Nov,Marplan,The Guardian,34%,35%,29%,1%,11 Nov 1985,1985-11-11
21 Oct,Gallup,The Daily Telegraph,32%,38%,28%,6%,21 Oct 1985,1985-10-21
20 Oct,MORI,Evening Standard,37%,36%,25%,1%,20 Oct 1985,1985-10-20
19 Oct,NOP,Mail on Sunday,37%,34%,28%,3%,19 Oct 1985,1985-10-19
14 Oct,Marplan,The Guardian,32%,34%,32%,2%,14 Oct 1985,1985-10-14
4 Oct,Harris,The Observer,32%,39%,27%,7%,4 Oct 1985,1985-10-04
3 Oct,MORI,The Times,34%,36%,28%,2%,3 Oct 1985,1985-10-03
29 Sep,Harris,Thames,33%,32%,32%,1%,29 Sep 1985,1985-09-29
22 Sep,MORI,Evening Standard,30%,33%,35%,2%,22 Sep 1985,1985-09-22
16 Sep,Gallup,The Daily Telegraph,29%,29.5%,39%,9.5%,16 Sep 1985,1985-09-16
16 Sep,Marplan,The Guardian,31%,32%,36%,4%,16 Sep 1985,1985-09-16
8 Sep,MORI,Evening Standard,31%,37%,31%,6%,8 Sep 1985,1985-09-08
7 Sep,Harris,London Weekend Television,35%,36%,26%,1%,7 Sep 1985,1985-09-07
3 Sep,Marplan,The Guardian,30%,34%,35%,1%,3 Sep 1985,1985-09-03
18 Aug,MORI,Evening Standard,31%,35%,31%,4%,18 Aug 1985,1985-08-18
12 Aug,Gallup,The Daily Telegraph,24%,40%,34%,6%,12 Aug 1985,1985-08-12
12 Aug,Marplan,The Guardian,31%,36%,31%,5%,12 Aug 1985,1985-08-12
9 Aug,MORI,The Sunday Times,33%,37%,29%,4%,9 Aug 1985,1985-08-09
21 Jul,MORI,Evening Standard,33%,34%,31%,1%,21 Jul 1985,1985-07-21
15 Jul,Gallup,The Daily Telegraph,27.5%,38%,32.5%,5.5%,15 Jul 1985,1985-07-15
8 Jul,Marplan,The Guardian,31%,34%,33%,1%,8 Jul 1985,1985-07-08
4 Jul,Brecon and Radnor by-election,Brecon and Radnor by-election,Brecon and Radnor by-election,Brecon and Radnor by-election,Brecon and Radnor by-election,Brecon and Radnor by-election,4 Jul 1985,1985-07-04
23 Jun,MORI,Evening Standard,35%,36%,27%,1%,23 Jun 1985,1985-06-23
21 Jun,MORI,The Sunday Times,32%,40%,26%,8%,21 Jun 1985,1985-06-21
17 Jun,Gallup,The Daily Telegraph,34.5%,34.5%,30%,Tie,17 Jun 1985,1985-06-17
10 Jun,Marplan,The Guardian,31%,36%,32%,4%,10 Jun 1985,1985-06-10
26 May,MORI,Evening Standard,33%,35%,30%,2%,26 May 1985,1985-05-26
13 May,MORI,The Sunday Times,34%,36%,28%,2%,13 May 1985,1985-05-13
13 May,Gallup,The Daily Telegraph,30.5%,34%,33.5%,0.5%,13 May 1985,1985-05-13
13 May,Marplan,The Guardian,29%,35%,35%,Tie,13 May 1985,1985-05-13
2–15 May,1985 local elections[6][7],1985 local elections[6][7],1985 local elections[6][7],1985 local elections[6][7],1985 local elections[6][7],1985 local elections[6][7],2–15 May 1985,1985-05-15
28 Apr,MORI,Evening Standard,38%,37%,24%,1%,28 Apr 1985,1985-04-28
22 Apr,Gallup,The Daily Telegraph,34%,37.5%,26.5%,2.5%,22 Apr 1985,1985-04-22
15 Apr,Marplan,The Guardian,33%,38%,28%,5%,15 Apr 1985,1985-04-15
25 Mar,Gallup,The Daily Telegraph,33%,39.5%,25.5%,6.5%,25 Mar 1985,1985-03-25
24 Mar,MORI,Evening Standard,36%,40%,23%,4%,24 Mar 1985,1985-03-24
22 Mar,MORI,The Sunday Times,37%,39%,22%,2%,22 Mar 1985,1985-03-22
11 Mar,Marplan,The Guardian,36%,36%,27%,Tie,11 Mar 1985,1985-03-11
8 Mar,NOP,Mail on Sunday,35%,35%,26%,Tie,8 Mar 1985,1985-03-08
7 Mar,Harris,The Observer,40%,38%,19%,2%,7 Mar 1985,1985-03-07
25 Feb,Marplan,The Guardian,38%,36%,25%,2%,25 Feb 1985,1985-02-25
24 Feb,MORI,Evening Standard,39%,35%,24%,4%,24 Feb 1985,1985-02-24
18 Feb,MORI,London Weekend Television,38%,40%,19%,2%,18 Feb 1985,1985-02-18
11 Feb,Gallup,The Daily Telegraph,35%,32%,31.5%,3%,11 Feb 1985,1985-02-11
11 Feb,Marplan,The Guardian,38%,35%,26%,3%,11 Feb 1985,1985-02-11
6 Feb,MORI,The Sunday Times,37%,37%,24%,Tie,6 Feb 1985,1985-02-06
14 Jan,Gallup,The Daily Telegraph,39%,33%,25.5%,6%,14 Jan 1985,1985-01-14
14 Jan,Marplan,The Guardian,41%,33%,25%,8%,14 Jan 1985,1985-01-14
7 Jan,MORI,Evening Standard,42%,34%,21%,8%,7 Jan 1985,1985-01-07
8 Jan,NOP,Daily Mail,33%,38%,28%,5%,8 Jan 1985,1985-01-08
Survey end date,Pollster,Client,,,,Lead,Survey end date 1984,
28 Dec,MORI,The Sunday Times,38%,36%,25%,2%,28 Dec 1984,1984-12-28
14 Dec,Enfield Southgate by-election,Enfield Southgate by-election,Enfield Southgate by-election,Enfield Southgate by-election,Enfield Southgate by-election,Enfield Southgate by-election,14 Dec 1984,1984-12-14
10 Dec,Gallup,The Daily Telegraph,39.5%,31%,27.5%,8.5%,10 Dec 1984,1984-12-10
10 Dec,Marplan,The Guardian,41%,32%,26%,9%,10 Dec 1984,1984-12-10
10 Dec,MORI,,40%,36%,22%,4%,10 Dec 1984,1984-12-10
7 Dec,MORI,The Sunday Times,41%,37%,20%,4%,7 Dec 1984,1984-12-07
19 Nov,MORI,Evening Standard,43%,35%,19%,8%,19 Nov 1984,1984-11-19
12 Nov,Gallup,The Daily Telegraph,44.5%,30.5%,23.5%,14%,12 Nov 1984,1984-11-12
5 Nov,Marplan,The Guardian,42%,33%,24%,9%,5 Nov 1984,1984-11-05
22 Oct,Gallup,The Daily Telegraph,44.5%,32%,21.5%,12.5%,22 Oct 1984,1984-10-22
22 Oct,MORI,Evening Standard,44%,35%,20%,9%,22 Oct 1984,1984-10-22
8 Oct,Marplan,The Guardian,38%,37%,23%,1%,8 Oct 1984,1984-10-08
4 Oct,MORI,The Sunday Times,43%,35%,19%,8%,4 Oct 1984,1984-10-04
24 Sep,Marplan,The Guardian,38%,36%,24%,2%,24 Sep 1984,1984-09-24
21 Sep,MORI,Evening Standard,42%,36%,20%,6%,21 Sep 1984,1984-09-21
11 Sep,Marplan,The Guardian,39%,38%,21%,1%,11 Sep 1984,1984-09-11
10 Sep,Gallup,The Daily Telegraph,37%,36%,25.5%,1%,10 Sep 1984,1984-09-10
10 Sep,MORI,The Times,40%,39%,19%,1%,10 Sep 1984,1984-09-10
29 Aug,MORI,The Sunday Times,39%,40%,19%,1%,29 Aug 1984,1984-08-29
20 Aug,MORI,Evening Standard,39%,39%,21%,Tie,20 Aug 1984,1984-08-20
13 Aug,Gallup,The Daily Telegraph,36%,39%,22.5%,3%,13 Aug 1984,1984-08-13
13 Aug,Marplan,The Guardian,36%,39%,24%,3%,13 Aug 1984,1984-08-13
23 Jul,MORI,,37%,40%,20%,3%,23 Jul 1984,1984-07-23
16 Jul,Gallup,The Daily Telegraph,37.5%,38.5%,22%,1%,16 Jul 1984,1984-07-16
10 Jul,Marplan,The Guardian,34.5%,39%,25.5%,4.5%,10 Jul 1984,1984-07-10
25 Jun,MORI,Evening Standard,39%,39%,21%,Tie,25 Jun 1984,1984-06-25
16 Jun,Marplan,Sunday Mirror,38%,39%,22%,1%,16 Jun 1984,1984-06-16
14 Jun,Portsmouth South by-election[8],Portsmouth South by-election[8],Portsmouth South by-election[8],Portsmouth South by-election[8],Portsmouth South by-election[8],Portsmouth South by-election[8],14 Jun 1984,1984-06-14
14 Jun,1984 European Parliament election[9],1984 European Parliament election[9],1984 European Parliament election[9],1984 European Parliament election[9],1984 European Parliament election[9],1984 European Parliament election[9],14 Jun 1984,1984-06-14
11 Jun,Gallup,The Daily Telegraph,37.5%,38%,23%,0.5%,11 Jun 1984,1984-06-11
11 Jun,Marplan,The Guardian,37%,38%,23%,1%,11 Jun 1984,1984-06-11
8 Jun,MORI,The Sunday Times,42%,38%,18%,4%,8 Jun 1984,1984-06-08
29 May,MORI,Evening Standard,40%,38%,21%,2%,29 May 1984,1984-05-29
14 May,Gallup,The Daily Telegraph,38.5%,36.5%,23%,2%,14 May 1984,1984-05-14
14 May,Marplan,The Guardian,38%,37%,23%,1%,14 May 1984,1984-05-14
3 May,"Cynon Valley, Stafford and South West Surrey by-elections","Cynon Valley, Stafford and South West Surrey by-elections","Cynon Valley, Stafford and South West Surrey by-elections","Cynon Valley, Stafford and South West Surrey by-elections","Cynon Valley, Stafford and South West Surrey by-elections","Cynon Valley, Stafford and South West Surrey by-elections",3 May 1984,1984-05-03
3 May,1984 local elections[10],1984 local elections[10],1984 local elections[10],1984 local elections[10],1984 local elections[10],1984 local elections[10],3 May 1984,1984-05-03
1 May,MORI,Evening Standard,40%,39%,20%,1%,1 May 1984,1984-05-01
25 Apr,MORI,The Sunday Times,42%,36%,20%,6%,25 Apr 1984,1984-04-25
17 Apr,Harris,The Observer,40%,36%,22%,4%,17 Apr 1984,1984-04-17
16 Apr,Gallup,The Daily Telegraph,41%,36.5%,20.5%,4.5%,16 Apr 1984,1984-04-16
16 Apr,Marplan,The Guardian,40%,37%,21%,3%,16 Apr 1984,1984-04-16
20 Mar,MORI,Evening Standard,41%,40%,17%,1%,20 Mar 1984,1984-03-20
19 Mar,Marplan,The Guardian,39%,39%,22%,Tie,19 Mar 1984,1984-03-19
19 Mar,Gallup,The Daily Telegraph,41%,38.5%,19.5%,2.5%,19 Mar 1984,1984-03-19
3 Mar,MORI,The Sunday Times,38%,41%,18%,3%,3 Mar 1984,1984-03-03
1 Mar,Chesterfield by-election,Chesterfield by-election,Chesterfield by-election,Chesterfield by-election,Chesterfield by-election,Chesterfield by-election,1 Mar 1984,1984-03-01
20 Feb,MORI,Evening Standard,41%,38%,19%,3%,20 Feb 1984,1984-02-20
13 Feb,Gallup,The Daily Telegraph,43%,33.5%,21.5%,9.5%,13 Feb 1984,1984-02-13
13 Feb,Marplan,The Guardian,39%,40%,20%,1%,13 Feb 1984,1984-02-13
20 Jan,Harris,The Observer,43%,36%,18%,7%,20 Jan 1984,1984-01-20
20 Jan,NOP,Mail on Sunday,45%,33%,20%,12%,20 Jan 1984,1984-01-20
16 Jan,Gallup,The Daily Telegraph,41.5%,38%,19.5%,3.5%,16 Jan 1984,1984-01-16
16 Jan,Marplan,The Guardian,42%,38%,19%,4%,16 Jan 1984,1984-01-16
9 Jan,MORI,Evening Standard,42%,37%,19%,5%,9 Jan 1984,1984-01-09
Survey end date,Pollster,Client,,,,Lead,Survey end date 1983,
17 Dec,MORI,The Sunday Times,40.5%,39.5%,18%,2%,17 Dec 1983,1983-12-17
12 Dec,Gallup,The Daily Telegraph,42.5%,36%,19.5%,6.5%,12 Dec 1983,1983-12-12
9 Dec,MORI,,42%,37%,19%,5%,9 Dec 1983,1983-12-09
7 Dec,Marplan,The Guardian,41%,37%,21%,4%,7 Dec 1983,1983-12-07
3 Dec,MORI,The Sunday Times,44%,37%,18%,7%,3 Dec 1983,1983-12-03
21 Nov,MORI,,39%,37%,22%,2%,21 Nov 1983,1983-11-21
14 Nov,Gallup,The Daily Telegraph,43.5%,36%,19.5%,7.5%,14 Nov 1983,1983-11-14
9 Nov,Marplan,The Guardian,42%,35%,22%,7%,9 Nov 1983,1983-11-09
7 Nov,NOP,Daily Mail,44%,32%,22%,12%,7 Nov 1983,1983-11-07
5 Nov,MORI,The Sunday Times,43%,35%,20%,8%,5 Nov 1983,1983-11-05
24 Oct,Gallup,The Daily Telegraph,42%,35.5%,20.5%,6.5%,24 Oct 1983,1983-10-24
24 Oct,MORI,Evening Standard,42%,37%,19%,5%,24 Oct 1983,1983-10-24
12 Oct,Marplan,The Guardian,42%,37%,20%,5%,12 Oct 1983,1983-10-12
6 Oct,Harris,The Observer,42%,39%,18%,3%,6 Oct 1983,1983-10-06
2 Oct,Neil Kinnock is elected leader of the Labour Party[11],Neil Kinnock is elected leader of the Labour Party[11],Neil Kinnock is elected leader of the Labour Party[11],Neil Kinnock is elected leader of the Labour Party[11],Neil Kinnock is elected leader of the Labour Party[11],Neil Kinnock is elected leader of the Labour Party[11],2 Oct 1983,1983-10-02
26 Sep,MORI,,45%,27%,26%,18%,26 Sep 1983,1983-09-26
