Pollster,Client,Dates conducted,Sample size,Lab,Con,Lib,Others,Lead,date_year_appended,Polling Organisation / Client,end_date
,,29 Apr,The third Prime Ministerial debate,The third Prime Ministerial debate,The third Prime Ministerial debate,The third Prime Ministerial debate,The third Prime Ministerial debate,The third Prime Ministerial debate,29 Apr 2010,,2010-04-29
YouGov,The Sun,28–29 Apr,1623,27%,34%,28%,11%,6%,28–29 Apr 2010,,2010-04-29
YouGov,The Sun,27–28 Apr,1530,27%,34%,31%,8%,3%,27–28 Apr 2010,,2010-04-28
YouGov[permanent dead link‍],The Sun,26–27 Apr,1598,29%,33%,28%,10%,4%,26–27 Apr 2010,,2010-04-27
ComRes,Multiple ITV News The Independent,26–27 Apr,1006,29%,36%,26%,9%,7%,26–27 Apr 2010,,2010-04-27
Populus,The Times,26–27 Apr,1510,27%,36%,28%,8%,8%,26–27 Apr 2010,,2010-04-27
TNS-BMRB,,21–27 Apr,2078,27%,34%,30%,9%,4%,21–27 Apr 2010,,2010-04-27
YouGov,The Sun,25–26 Apr,1491,28%,33%,29%,10%,4%,25–26 Apr 2010,,2010-04-26
ComRes,Multiple ITV News The Independent,25–26 Apr,1005,29%,33%,29%,9%,4%,25–26 Apr 2010,,2010-04-26
Opinium[permanent dead link‍],Daily Express,23–26 Apr,1942,25%,34%,28%,13%,6%,23–26 Apr 2010,,2010-04-26
Angus Reid Public Opinion,The Economist,23–26 Apr,2433,23%,33%,30%,14% UKIP on 5%  BNP on 2%  Greens on 2%  SNP on 1%  PC on 1% Other on 3%,3%,23–26 Apr 2010,,2010-04-26
Harris Interactive,The Metro,20–26 Apr,1678,25%,32%,30%,13%,2%,20–26 Apr 2010,,2010-04-26
YouGov,The Sun,24–25 Apr,1466,28%,34%,30%,8%,4%,24–25 Apr 2010,,2010-04-25
ComRes,Multiple ITV News The Independent,24–25 Apr,1003,28%,32%,31%,9%,1%,24–25 Apr 2010,,2010-04-25
ICM[permanent dead link‍],The Guardian,23–25 Apr,1031,28%,33%,30%,8%,3%,23–25 Apr 2010,,2010-04-25
YouGov,The Sunday Times,23–24 Apr,1412,27%,35%,28%,9%,7%,23–24 Apr 2010,,2010-04-24
ComRes,Multiple The Independent on Sunday Sunday Mirror,23–24 Apr,1006,28%,34%,29%,9%,5%,23–24 Apr 2010,,2010-04-24
ICM[permanent dead link‍],The Sunday Telegraph,23 Apr,1020,26%,35%,31%,8%,4%,23 Apr 2010,,2010-04-23
Ipsos MOR,News of the World,23 Apr,1245,30%,36%,23%,11%,6%,23 Apr 2010,,2010-04-23
YouGov,The Sun,22–23 Apr,1381,29%,34%,29%,8%,5%,22–23 Apr 2010,,2010-04-23
,,22 Apr,The second Prime Ministerial debate,The second Prime Ministerial debate,The second Prime Ministerial debate,The second Prime Ministerial debate,The second Prime Ministerial debate,The second Prime Ministerial debate,22 Apr 2010,,2010-04-22
YouGov[permanent dead link‍],The Sun,21–22 Apr,1576,29%,34%,28%,9%,5%,21–22 Apr 2010,,2010-04-22
YouGov,The Sun,20–21 Apr,1545,27%,33%,31%,9%,2%,20–21 Apr 2010,,2010-04-21
YouGov[permanent dead link‍],The Sun,19–20 Apr,1595,26%,31%,34%,9%,3%,19–20 Apr 2010,,2010-04-20
Angus Reid Public Opinion,PoliticalBetting.com,19–20 Apr,1953,23%,32%,33%,12% UKIP on 4%  BNP on 3%  Greens on 2%  SNP on 2%  PC on 1% Other on 0%,1%,19–20 Apr 2010,,2010-04-20
ComRes,Multiple ITV News The Independent,19–20 Apr,1015,25%,35%,27%,13%,8%,19–20 Apr 2010,,2010-04-20
Populus[permanent dead link‍],The Times,19–20 Apr,1501,28%,32%,31%,9%,1%,19–20 Apr 2010,,2010-04-20
Ipsos MORI,Evening Standard,18–20 Apr,1253,28%,32%,32%,8%,Tie,18–20 Apr 2010,,2010-04-20
TNS-BMRB,,14–20 Apr,1953,29%,34%,30%,7%,4%,14–20 Apr 2010,,2010-04-20
ComRes,Multiple ITV News The Independent,18–19 Apr,1012,26%,35%,26%,13%,9%,18–19 Apr 2010,,2010-04-19
YouGov,The Sun,18–19 Apr,1509,27%,33%,31%,8%,2%,18–19 Apr 2010,,2010-04-19
Opinium[permanent dead link‍],Daily Express,16–19 Apr,1957,26%,32%,29%,13%,3%,16–19 Apr 2010,,2010-04-19
Angus Reid Public Opinion,PoliticalBetting.com,16–19 Apr,2004,24%,32%,32%,12% UKIP on 4%  BNP on 2%  Greens on 2%  SNP on 2%  PC on 1% Other on 1%,Tie,16–19 Apr 2010,,2010-04-19
Harris Interactive[permanent dead link‍],The Metro,14–19 Apr,1792,26%,31%,30%,13%,1%,14–19 Apr 2010,,2010-04-19
ComRes,Multiple ITV News The Independent,17–18 Apr,1003,28%,32%,28%,12%,4%,17–18 Apr 2010,,2010-04-18
YouGov,The Sun,17–18 Apr,1433,26%,32%,33%,8%,1%,17–18 Apr 2010,,2010-04-18
ICM[permanent dead link‍],The Guardian,16–18 Apr,1024,28%,33%,30%,9%,3%,16–18 Apr 2010,,2010-04-18
YouGov[permanent dead link‍],The Sunday Times,16–17 Apr,1490,30%,33%,29%,8%,3%,16–17 Apr 2010,,2010-04-17
ComRes,Multiple The Independent on Sunday Sunday Mirror,16–17 Apr,1006,27%,31%,29%,13%,2%,16–17 Apr 2010,,2010-04-17
YouGov[permanent dead link‍],The Sun,15–16 Apr,1290,28%,33%,30%,9%,3%,15–16 Apr 2010,,2010-04-16
ComRes,ITV News,15 Apr,4032,28%,35%,24%,13%,7%,15 Apr 2010,,2010-04-15
,,15 Apr,The first ever televised Prime Ministerial debate,The first ever televised Prime Ministerial debate,The first ever televised Prime Ministerial debate,The first ever televised Prime Ministerial debate,The first ever televised Prime Ministerial debate,The first ever televised Prime Ministerial debate,15 Apr 2010,,2010-04-15
ICM,The Sunday Telegraph,14–15 Apr,1033,29%,34%,27%,10%,5%,14–15 Apr 2010,,2010-04-15
YouGov,The Sun,14–15 Apr,1490,31%,37%,22%,10%,6%,14–15 Apr 2010,,2010-04-15
YouGov,The Sun,13–14 Apr,1578,32%,41%,18%,9%,9%,13–14 Apr 2010,,2010-04-14
ComRes,Multiple ITV News The Independent,12–13 Apr,1001,29%,35%,21%,15%,6%,12–13 Apr 2010,,2010-04-13
YouGov,The Sun,12–13 Apr,1583,31%,39%,20%,9%,8%,12–13 Apr 2010,,2010-04-13
Harris Interactive[permanent dead link‍],The Metro,8–13 Apr,1523,27%,36%,23%,14%,9%,8–13 Apr 2010,,2010-04-13
TNS-BMRB[permanent dead link‍],,7–13 Apr,1916,33%,36%,22%,9%,3%,7–13 Apr 2010,,2010-04-13
Populus,The Times,12 Apr,1525,33%,36%,21%,9%,3%,12 Apr 2010,,2010-04-12
ComRes,Multiple ITV News The Independent,11–12 Apr,1002,31%,36%,19%,14%,5%,11–12 Apr 2010,,2010-04-12
Angus Reid Public Opinion,PoliticalBetting.com,11–12 Apr,2006,28%,38%,22%,13% UKIP on 5%  BNP on 3%  Greens on 2%  SNP on 2%  PC on 1%,10%,11–12 Apr 2010,,2010-04-12
YouGov,The Sun,11–12 Apr,1493,33%,39%,20%,8%,6%,11–12 Apr 2010,,2010-04-12
Opinium[permanent dead link‍],Daily Express,9–12 Apr,1825,31%,39%,17%,13%,8%,9–12 Apr 2010,,2010-04-12
ComRes,Multiple ITV News The Independent,10–11 Apr,1004,30%,37%,20%,13%,7%,10–11 Apr 2010,,2010-04-11
YouGov,The Sun,10–11 Apr,1455,31%,37%,20%,12%,6%,10–11 Apr 2010,,2010-04-11
ICM,The Guardian,9–11 Apr,1024,31%,37%,20%,11%,6%,9–11 Apr 2010,,2010-04-11
YouGov,The Sunday Times,9–10 Apr,1431,32%,40%,18%,10%,8%,9–10 Apr 2010,,2010-04-10
ComRes-,Multiple The Independent on Sunday Sunday Mirror,9–10 Apr,1001,32%,39%,16%,13%,7%,9–10 Apr 2010,,2010-04-10
YouGov[permanent dead link‍],The Sun,8–9 Apr,1527,30%,40%,20%,10%,10%,8–9 Apr 2010,,2010-04-09
Harris Interactive[permanent dead link‍],Daily Mail,7–8 Apr,1012,27%,37%,22%,14%,10%,7–8 Apr 2010,,2010-04-08
YouGov,The Sun,7–8 Apr,1626,31%,40%,18%,11%,9%,7–8 Apr 2010,,2010-04-08
ICM[permanent dead link‍],The Sunday Telegraph,7 Apr,1032,30%,38%,21%,10%,8%,7 Apr 2010,,2010-04-07
YouGov,The Sun,6–7 Apr,1484,32%,37%,19%,12%,5%,6–7 Apr 2010,,2010-04-07
Angus Reid Public Opinion,PoliticalBetting.com,6–7 Apr,2193,26%,37%,22%,14% UKIP on 5%  BNP on 3%  Greens on 2%  SNP on 2%  PC on 1% Other on 1%,11%,6–7 Apr 2010,,2010-04-07
Populus,The Times,6 Apr,1507,32%,39%,21%,8%,7%,6 Apr 2010,,2010-04-06
YouGov,The Sun,5–6 Apr,1456,32%,40%,17%,11%,8%,5–6 Apr 2010,,2010-04-06
Harris Interactive[permanent dead link‍],The Metro,31 Mar – 6 Apr,2080,28%,37%,20%,15%,9%,31 Mar – 6 Apr 2010,,2010-04-06
YouGov,The Sun,4–5 Apr,1620,31%,41%,18%,11%,10%,4–5 Apr 2010,,2010-04-05
Opinium,Daily Express,2–5 Apr,1903,29%,39%,17%,15%,10%,2–5 Apr 2010,,2010-04-05
ICM[permanent dead link‍],The Guardian,1–3 Apr,1001,33%,37%,21%,9%,4%,1–3 Apr 2010,,2010-04-03
YouGov,The Sunday Times,1–2 Apr,1503,29%,39%,20%,12%,10%,1–2 Apr 2010,,2010-04-02
Angus Reid Public Opinion,Sunday Express,31 Mar – 1 Apr,1991,27%,38%,20%,15% UKIP on 5%  BNP on 4%  Greens on 3%,11%,31 Mar – 1 Apr 2010,,2010-04-01
YouGov,The Sun,31 Mar – 1 Apr,1552,31%,39%,19%,11%,8%,31 Mar – 1 Apr 2010,,2010-04-01
ICM[permanent dead link‍],The Guardian,30–31 Mar,1003,29%,38%,23%,10%,9%,30–31 Mar 2010,,2010-03-31
YouGov,The Sun,30–31 Mar,1615,32%,38%,19%,11%,6%,30–31 Mar 2010,,2010-03-31
Angus Reid Public Opinion,PoliticalBetting.com,30–31 Mar,2013,28%,37%,22%,13% UKIP on 5%  BNP on 3%  Greens on 2%  SNP on 2%  PC on 0% Other on 1%,9%,30–31 Mar 2010,,2010-03-31
YouGov,The Sun,29–30 Mar,1681,31%,38%,19%,12%,7%,29–30 Mar 2010,,2010-03-30
TNS-BMRB,,24–30 Mar,1819,33%,38%,19%,10%,5%,24–30 Mar 2010,,2010-03-30
YouGov,The Sun,28–29 Mar,1614,32%,39%,18%,11%,7%,28–29 Mar 2010,,2010-03-29
Opinium[permanent dead link‍],Daily Express,26–29 Mar,1780,28%,38%,18%,16%,10%,26–29 Mar 2010,,2010-03-29
Harris Interactive[permanent dead link‍],The Metro,23–29 Mar,1133,27%,37%,19%,17%,10%,23–29 Mar 2010,,2010-03-29
ComRes,The Independent,26–28 Mar,1001,30%,37%,20%,13%,7%,26–28 Mar 2010,,2010-03-28
YouGov,The Sunday Times,25–26 Mar,1533,32%,37%,19%,13%,5%,25–26 Mar 2010,,2010-03-26
ICM[permanent dead link‍],News of the World,24–25 Mar,1003,31%,39%,19%,11%,8%,24–25 Mar 2010,,2010-03-25
YouGov,The Sun,24–25 Mar,1483,33%,37%,18%,12%,4%,24–25 Mar 2010,,2010-03-25
YouGov,The Sun,23–24 Mar,1554,34%,36%,17%,13%,2%,23–24 Mar 2010,,2010-03-24
YouGov,The Sun,22–23 Mar,1756,33%,37%,18%,12%,4%,22–23 Mar 2010,,2010-03-23
YouGov,The Sun,21–22 Mar,1560,32%,36%,20%,12%,4%,21–22 Mar 2010,,2010-03-22
Ipsos MORI,Daily Mirror,19–22 Mar,1503,30%,35%,21%,14%,5%,19–22 Mar 2010,,2010-03-22
Opinium[permanent dead link‍],Daily Express,19–22 Mar,1975,30%,37%,15%,18%,7%,19–22 Mar 2010,,2010-03-22
Harris Interactive[permanent dead link‍],The Metro,17–22 Mar,2117,28%,35%,17%,20%,7%,17–22 Mar 2010,,2010-03-22
YouGov,The Sunday Times,18–19 Mar,1547,31%,38%,19%,13%,7%,18–19 Mar 2010,,2010-03-19
ICM[permanent dead link‍],News of the World,17–18 Mar,1002,32%,38%,19%,10%,6%,17–18 Mar 2010,,2010-03-18
YouGov,The Sun,17–18 Mar,1671,32%,36%,20%,12%,4%,17–18 Mar 2010,,2010-03-18
YouGov,The Sun,16–17 Mar,1676,32%,36%,20%,11%,4%,16–17 Mar 2010,,2010-03-17
Angus Reid Public Opinion,PoliticalBetting.com,15–16 Mar,2003,26%,39%,21%,15% UKIP on 5%  BNP on 4%  Greens on 2%  SNP on 2%  PC on 1% Other on 1%,13%,15–16 Mar 2010,,2010-03-16
YouGov,The Sun,15–16 Mar,1460,32%,37%,19%,12%,5%,15–16 Mar 2010,,2010-03-16
Harris Interactive[permanent dead link‍],The Metro,10–16 Mar,1934,28%,36%,18%,18%,8%,10–16 Mar 2010,,2010-03-16
YouGov,The Sun,14–15 Mar,1466,32%,37%,21%,10%,5%,14–15 Mar 2010,,2010-03-15
Opinium[permanent dead link‍],Daily Express,12–15 Mar,1951,28%,39%,16%,17%,11%,12–15 Mar 2010,,2010-03-15
ICM[permanent dead link‍],The Guardian,12–14 Mar,1002,31%,40%,20%,9%,9%,12–14 Mar 2010,,2010-03-14
YouGov,The Sunday Times,11–12 Mar,1507,33%,37%,17%,12%,4%,11–12 Mar 2010,,2010-03-12
ICM[permanent dead link‍],The Sunday Telegraph,10–11 Mar,1007,31%,38%,21%,10%,7%,10–11 Mar 2010,,2010-03-11
YouGov,The Sun,10–11 Mar,1434,34%,37%,17%,12%,3%,10–11 Mar 2010,,2010-03-11
YouGov,The Sun,9–10 Mar,1473,32%,37%,17%,14%,5%,9–10 Mar 2010,,2010-03-10
Angus Reid Public Opinion,PoliticalBetting.com,9–10 Mar,2003,26%,39%,18%,17% UKIP on 6%  BNP on 3%  Greens on 3%  SNP on 3%  PC on 1% Other on 1%,13%,9–10 Mar 2010,,2010-03-10
YouGov,The Sun,8–9 Mar,1524,32%,36%,20%,12%,4%,8–9 Mar 2010,,2010-03-09
YouGov,The Sun,7–8 Mar,1747,34%,39%,16%,11%,5%,7–8 Mar 2010,,2010-03-08
Opinium[permanent dead link‍],Daily Express,5–8 Mar,1960,30%,37%,16%,16%,7%,5–8 Mar 2010,,2010-03-08
Harris Interactive[permanent dead link‍],The Metro,3–8 Mar,1498,29%,37%,18%,16%,8%,3–8 Mar 2010,,2010-03-08
YouGov,The Sunday Times,4–5 Mar,1558,33%,38%,17%,12%,5%,4–5 Mar 2010,,2010-03-05
ICM[permanent dead link‍],News of the World,3–4 Mar,1005,31%,40%,18%,11%,9%,3–4 Mar 2010,,2010-03-04
YouGov,The Sun,3–4 Mar,1640,32%,38%,17%,13%,6%,3–4 Mar 2010,,2010-03-04
YouGov,The Sun,2–3 Mar,1661,32%,38%,19%,12%,6%,2–3 Mar 2010,,2010-03-03
TNS-BMRB,,25 Feb – 3 Mar,1973,31%,39%,19%,11%,8%,25 Feb – 3 Mar 2010,,2010-03-03
YouGov,The Sun,1–2 Mar,1479,33%,38%,16%,13%,5%,1–2 Mar 2010,,2010-03-02
YouGov,The Sun,28 Feb – 1 Mar,1505,32%,39%,17%,12%,7%,28 Feb – 1 Mar 2010,,2010-03-01
ComRes,The Independent,26–28 Feb,1005,32%,37%,19%,12%,5%,26–28 Feb 2010,,2010-02-28
YouGov,The Sunday Times,25–26 Feb,1436,35%,37%,17%,11%,2%,25–26 Feb 2010,,2010-02-26
YouGov,The Sun,24–25 Feb,1472,33%,39%,16%,12%,6%,24–25 Feb 2010,,2010-02-25
YouGov,The Sun,23–24 Feb,1473,32%,38%,19%,10%,6%,23–24 Feb 2010,,2010-02-24
TNS-BMRB,,18–24 Feb,1954,32%,36%,21%,12%,4%,18–24 Feb 2010,,2010-02-24
YouGov,The Sun,22–23 Feb,1469,32%,38%,17%,12%,6%,22–23 Feb 2010,,2010-02-23
YouGov,The Sun,21–22 Feb,1578,33%,39%,17%,12%,6%,21–22 Feb 2010,,2010-02-22
Ipsos MORI,The Daily Telegraph,19–22 Feb,1533,32%,37%,19%,12%,5%,19–22 Feb 2010,,2010-02-22
Harris Interative[permanent dead link‍],The Metro,16–22 Feb,918,30%,39%,22%,9%,9%,16–22 Feb 2010,,2010-02-22
ICM,The Guardian,19–21 Feb,1004,30%,37%,20%,13%,7%,19–21 Feb 2010,,2010-02-21
YouGov,The Sunday Times,18–19 Feb,1472,33%,39%,17%,11%,6%,18–19 Feb 2010,,2010-02-19
Angus Reid Public Opinion,PoliticalBetting.com,16–19 Feb,4004,26%,38%,19%,16% UKIP on 6%  BNP on 4%  Greens on 3%  SNP on 2%  PC on 1%,12%,16–19 Feb 2010,,2010-02-19
YouGov,The Sun,17–18 Feb,1558,32%,39%,18%,11%,7%,17–18 Feb 2010,,2010-02-18
ComRes,Theos,16–17 Feb,1085,30%,38%,20%,11%,8%,16–17 Feb 2010,,2010-02-17
Angus Reid Public Opinion,PoliticalBetting.com,16–17 Feb,2002,26%,40%,18%,16% UKIP on 6%  BNP on 4%  Greens on 2%  SNP on 2%  PC on 1% Other on 1%,14%,16–17 Feb 2010,,2010-02-17
YouGov,The Sun,16–17 Feb,2145,30%,39%,18%,13%,9%,16–17 Feb 2010,,2010-02-17
ComRes,The Independent,10–11 Feb,1009,29%,40%,21%,10%,11%,10–11 Feb 2010,,2010-02-11
Angus Reid Public Opinion,PoliticalBetting.com,9–10 Feb,2002,25%,38%,20%,16% UKIP on 6%  BNP on 3%  Greens on 3%  SNP on 2%  PC on 1% Other on 1%,13%,9–10 Feb 2010,,2010-02-10
Populus,The Times,5–7 Feb,1502,30%,40%,20%,11%,10%,5–7 Feb 2010,,2010-02-07
ICM[permanent dead link‍],The Sunday Telegraph,3–4 Feb,1001,30%,39%,20%,11%,9%,3–4 Feb 2010,,2010-02-04
ComRes,The Independent,29–31 Jan,1001,31%,38%,19%,12%,7%,29–31 Jan 2010,,2010-01-31
BPIX[15],Mail on Sunday,29–30 Jan,1524,30%,39%,18%,13%,9%,29–30 Jan 2010,,2010-01-30
YouGov,The Daily Telegraph,28–29 Jan,2054,31%,38%,19%,12%,7%,28–29 Jan 2010,,2010-01-29
YouGov,The People,26–28 Jan,2044,31%,40%,18%,11%,9%,26–28 Jan 2010,,2010-01-28
Ipsos MORI,Daily Mirror,26–28 Jan,1001,32%,40%,16%,12%,8%,26–28 Jan 2010,,2010-01-28
Angus Reid Public Opinion,PoliticalBetting.com,26–27 Jan,2004,24%,40%,19%,16% UKIP on 5%  BNP on 4%  Greens on 3%  SNP on 2%  PC on 1% Other on 1%,16%,26–27 Jan 2010,,2010-01-27
ICM[permanent dead link‍],The Guardian,22–24 Jan,1000,29%,40%,21%,10%,11%,22–24 Jan 2010,,2010-01-24
ComRes,Sunday Mirror,20–21 Jan,1004,29%,38%,19%,14%,9%,20–21 Jan 2010,,2010-01-21
YouGov,The Sunday Times,14–15 Jan,2033,31%,40%,18%,11%,9%,14–15 Jan 2010,,2010-01-15
ComRes,The Independent on Sunday,13–14 Jan,1005,29%,42%,19%,10%,13%,13–14 Jan 2010,,2010-01-14
Angus Reid Strategies[permanent dead link‍],PoliticalBetting.com,9–10 Jan,2010,24%,40%,20%,17%,16%,9–10 Jan 2010,,2010-01-10
Populus,The Times,8–10 Jan,1509,28%,41%,19%,12%,13%,8–10 Jan 2010,,2010-01-10
ICM[permanent dead link‍],The Sunday Telegraph,6–7 Jan,1003,30%,40%,18%,12%,10%,6–7 Jan 2010,,2010-01-07
YouGov,The Sun,6–7 Jan,2832,30%,42%,16%,12%,12%,6–7 Jan 2010,,2010-01-07
YouGov,The Sun,5–6 Jan,4167,31%,40%,17%,12%,9%,5–6 Jan 2010,,2010-01-06
Pollster,Client,Date(s) Conducted,Sample size,,,,Others,Lead,Date(s) Conducted 2009,,
YouGov,The Daily Telegraph,29–30 Dec,1848,30%,40%,17%,12%,10%,29–30 Dec 2009,,2009-12-30
ComRes,The Independent,19–20 Dec,1006,29%,38%,19%,14%,9%,19–20 Dec 2009,,2009-12-20
Angus Reid Strategies,PoliticalBetting.com,16–18 Dec,2010,24%,40%,20%,15% UKIP on 6%  BNP on 3%  Greens on 3%  SNP on 1%  PC on 1% Other on 1%,16%,16–18 Dec 2009,,2009-12-18
YouGov,The People,15–17 Dec,2052,28%,40%,18%,14%,12%,15–17 Dec 2009,,2009-12-17
ICM[permanent dead link‍],The Guardian,11–13 Dec,1009,31%,40%,18%,11%,9%,11–13 Dec 2009,,2009-12-13
Ipsos MORI,The Observer,11–13 Dec,1017,26%,43%,20%,12%,17%,11–13 Dec 2009,,2009-12-13
YouGov,The Sunday Times,10–11 Dec,2044,31%,40%,16%,13%,9%,10–11 Dec 2009,,2009-12-11
ComRes[permanent dead link‍],The Independent on Sunday,9–10 Dec,1001,24%,41%,21%,14%,17%,9–10 Dec 2009,,2009-12-10
Angus Reid Strategies,PoliticalBetting.com,8–10 Dec,2002,23%,40%,19%,19% UKIP on 7%  BNP on 4%  Greens on 3%  SNP on 3%  PC on 1% Other on 1%,17%,8–10 Dec 2009,,2009-12-10
Populus,The Times,4–6 Dec,1505,30%,38%,20%,12%,8%,4–6 Dec 2009,,2009-12-06
YouGov,The Sunday Times,3–4 Dec,2095,27%,40%,18%,15%,13%,3–4 Dec 2009,,2009-12-04
ICM,The Sunday Telegraph,2–3 Dec,1001,29%,40%,19%,12%,11%,2–3 Dec 2009,,2009-12-03
ComRes,The Independent,27–29 Nov,1003,27%,37%,20%,16%,10%,27–29 Nov 2009,,2009-11-29
YouGov,The Daily Telegraph,24–26 Nov,2004,29%,39%,19%,13%,10%,24–26 Nov 2009,,2009-11-26
Angus Reid Strategies,PoliticalBetting.com,20–23 Nov,2004,22%,39%,21%,18% UKIP on 6%  BNP on 5%  Greens on 3%  SNP on 2%  PC on 1% Other on 1%,17%,20–23 Nov 2009,,2009-11-23
Ipsos MORI,The Observer,13–15 Nov,1006,31%,37%,17%,13%,6%,13–15 Nov 2009,,2009-11-15
ICM[permanent dead link‍],The Guardian,13–15 Nov,1010,29%,42%,19%,10%,13%,13–15 Nov 2009,,2009-11-15
YouGov,The Sunday Times,12–13 Nov,2026,27%,41%,18%,14%,14%,12–13 Nov 2009,,2009-11-13
,,12 Nov,Glasgow North East by-election,Glasgow North East by-election,Glasgow North East by-election,Glasgow North East by-election,Glasgow North East by-election,Glasgow North East by-election,12 Nov 2009,,2009-11-12
ComRes,The Independent on Sunday,11–12 Nov,1007,25%,39%,17%,19%,14%,11–12 Nov 2009,,2009-11-12
Populus,The Times,6–8 Nov,1504,29%,39%,18%,14%,10%,6–8 Nov 2009,,2009-11-08
Angus Reid Strategies[permanent dead link‍],PoliticalBetting.com,4–6 Nov,2000,24%,38%,20%,17%,14%,4–6 Nov 2009,,2009-11-06
YouGov,Channel 4 News,4–5 Nov,1021,27%,41%,17%,16%,14%,4–5 Nov 2009,,2009-11-05
ICM[permanent dead link‍],The Sunday Telegraph,28–29 Oct,1007,25%,42%,21%,13%,17%,28–29 Oct 2009,,2009-10-29
YouGov,The Daily Telegraph,27–29 Oct,2024,28%,41%,16%,15%,13%,27–29 Oct 2009,,2009-10-29
ComRes,The Independent,23–25 Oct,1004,27%,40%,18%,15%,13%,23–25 Oct 2009,,2009-10-25
YouGov,The Daily Telegraph,22–23 Oct,1314,27%,40%,19%,14%,13%,22–23 Oct 2009,,2009-10-23
ICM[permanent dead link‍],The Guardian,16–18 Oct,1002,27%,44%,18%,11%,17%,16–18 Oct 2009,,2009-10-18
Ipsos MORI,,16–18 Oct,996,26%,43%,19%,11%,17%,16–18 Oct 2009,,2009-10-18
Angus Reid Strategies[permanent dead link‍],PoliticalBetting.com,15–16 Oct,2077,23%,40%,20%,15%,17%,15–16 Oct 2009,,2009-10-16
YouGov,The Sunday Times,15–16 Oct,2025,30%,41%,17%,12%,11%,15–16 Oct 2009,,2009-10-16
ComRes,The Independent on Sunday,14–15 Oct,1008,28%,40%,19%,13%,12%,14–15 Oct 2009,,2009-10-15
Populus,The Times,9–11 Oct,1509,30%,40%,18%,12%,10%,9–11 Oct 2009,,2009-10-11
YouGov,The Sun,8–9 Oct,2161,28%,42%,18%,12%,14%,8–9 Oct 2009,,2009-10-09
YouGov,Sky News,8–9 Oct,1064,27%,44%,17%,12%,17%,8–9 Oct 2009,,2009-10-09
