Dates conducted,Pollster/client(s),Area,Sample size,Con,Lab,Lib,SNP,Plaid Cymru,Grn,Ref,UKIP,Change UK,Others,Lead,date_year_appended,Other,end_date
2–3 Dec,SavantaComRes/The Daily Telegraph,GB,2041,42%,32%,12%,4%,–,2%,3%,–,–,5%,10,2–3 Dec 2019,,2019-12-03
2–3 Dec,YouGov/The Times/Sky News,GB,1699,42%,33%,12%,5%,0%,4%,4%,–,–,1%,9,2–3 Dec 2019,,2019-12-03
29 Nov – 2 Dec,ICM Research,GB,2029,42%,35%,13%,3%,0%,2%,3%,–,–,1%,7,29 Nov – 2 Dec 2019,,2019-12-02
28 Nov – 2 Dec,Kantar Archived 3 December 2019 at the Wayback Machine,GB,1096,44%,32%,15%,3%,1%,3%,2%,–,–,1%,12,28 Nov – 2 Dec 2019,,2019-12-02
28–30 Nov,Deltapoll/The Mail on Sunday,GB,1528,45%,32%,15%,3%,0%,1%,3%,0%,–,0%,13,28–30 Nov 2019,,2019-11-30
26–30 Nov,Survation/Good Morning Britain,UK,1065,42%,33%,11%,3%,1%,4%,3%,–,–,3%,9,26–30 Nov 2019,,2019-11-30
28–29 Nov,YouGov/The Sunday Times,GB,1680,43%,34%,13%,4%,0%,3%,2%,–,–,1%,9,28–29 Nov 2019,,2019-11-29
27–29 Nov,Opinium/The Observer,GB,2018,46%,31%,13%,4%,0%,3%,2%,–,–,2%,15,27–29 Nov 2019,,2019-11-29
27–29 Nov,BMG/The Independent,GB,1663,39%,33%,13%,4%,0%,5%,4%,0%,0%,1%,6,27–29 Nov 2019,,2019-11-29
27–28 Nov,SavantaComRes/The Sunday Telegraph,GB,2025,43%,33%,13%,3%,–,3%,4%,–,–,1%,10,27–28 Nov 2019,,2019-11-28
27–28 Nov,Panelbase,GB,2010,42%,34%,13%,3%,0%,3%,4%,–,–,1%,8,27–28 Nov 2019,,2019-11-28
25–26 Nov,SavantaComRes/The Daily Telegraph,GB,2034,41%,34%,13%,3%,–,2%,5%,–,–,1%,7,25–26 Nov 2019,,2019-11-26
25–26 Nov,YouGov/The Times/Sky News,GB,1678,43%,32%,13%,4%,0%,2%,4%,–,–,1%,11,25–26 Nov 2019,,2019-11-26
22–25 Nov,ICM Research,GB,2004,41%,34%,13%,3%,1%,3%,4%,0%,–,1%,7,22–25 Nov 2019,,2019-11-25
21–25 Nov,Kantar[permanent dead link‍],GB,1097,43%,32%,14%,4%,0%,4%,3%,–,–,0%,11,21–25 Nov 2019,,2019-11-25
21–23 Nov,Deltapoll/The Mail on Sunday,GB,1519,43%,30%,16%,4%,0%,3%,3%,–,–,0%,13,21–23 Nov 2019,,2019-11-23
20–23 Nov,Survation/Good Morning Britain,UK,1010,41%,30%,15%,3%,1%,3%,5%,–,–,4%,11,20–23 Nov 2019,,2019-11-23
21–22 Nov,YouGov/The Sunday Times,GB,1677,42%,30%,16%,4%,0%,4%,3%,–,–,1%,12,21–22 Nov 2019,,2019-11-22
20–22 Nov,Opinium/The Observer Archived 10 December 2019 at the Wayback Machine,GB,2003,47%,28%,12%,5%,0%,3%,3%,–,–,2%,19,20–22 Nov 2019,,2019-11-22
20–22 Nov,Panelbase,GB,2028,42%,32%,14%,3%,1%,3%,3%,–,–,2%,10,20–22 Nov 2019,,2019-11-22
20–21 Nov,SavantaComRes/Sunday Express,GB,2038,42%,32%,15%,3%,0%,2%,5%,–,–,1%,10,20–21 Nov 2019,,2019-11-21
19–21 Nov,BMG,GB,1663,41%,28%,18%,2%,0%,5%,3%,–,–,1%,13,19–21 Nov 2019,,2019-11-21
12–20 Nov,YouGov,GB,11277,43%,29%,15%,4%,1%,3%,4%,–,–,2%,14,12–20 Nov 2019,,2019-11-20
18–19 Nov,SavantaComRes/The Daily Telegraph,GB,1628,42%,31%,15%,4%,0%,2%,5%,–,–,1%,11,18–19 Nov 2019,,2019-11-19
18–19 Nov,YouGov/The Times,GB,1606,42%,30%,15%,4%,0%,4%,4%,–,–,1%,12,18–19 Nov 2019,,2019-11-19
15–19 Nov,Ipsos MORI/Evening Standard,GB,1128,44%,28%,16%,4%,1%,3%,3%,–,–,1%,16,15–19 Nov 2019,,2019-11-19
17–18 Nov,YouGov,GB,1634,43%,29%,15%,4%,1%,3%,3%,–,–,3%,14,17–18 Nov 2019,,2019-11-18
15–18 Nov,ICM Research,GB,2010,42%,32%,13%,3%,0%,3%,5%,–,–,2%,10,15–18 Nov 2019,,2019-11-18
14–18 Nov,Kantar Archived 23 November 2019 at the Wayback Machine,GB,1176,45%,27%,16%,4%,1%,3%,2%,–,–,1%,18,14–18 Nov 2019,,2019-11-18
14–16 Nov,Survation/Good Morning Britain,UK,1010,42%,28%,13%,3%,1%,3%,5%,–,–,4%,14,14–16 Nov 2019,,2019-11-16
14–16 Nov,Deltapoll/The Mail on Sunday,GB,1526,45%,30%,11%,3%,0%,2%,6%,2%,0%,0%,15,14–16 Nov 2019,,2019-11-16
15 Nov,,Nominations for candidates close (final candidates announced),Nominations for candidates close (final candidates announced),Nominations for candidates close (final candidates announced),Nominations for candidates close (final candidates announced),Nominations for candidates close (final candidates announced),Nominations for candidates close (final candidates announced),Nominations for candidates close (final candidates announced),Nominations for candidates close (final candidates announced),Nominations for candidates close (final candidates announced),Nominations for candidates close (final candidates announced),Nominations for candidates close (final candidates announced),Nominations for candidates close (final candidates announced),Nominations for candidates close (final candidates announced),15 Nov 2019,,2019-11-15
14–15 Nov,YouGov/The Sunday Times,GB,1670,45%,28%,15%,4%,0%,3%,4%,–,–,2%,17,14–15 Nov 2019,,2019-11-15
13–15 Nov,Opinium/The Observer Archived 28 December 2019 at the Wayback Machine,GB,2008,44%,28%,14%,4%,1%,3%,6%,–,–,0%,16,13–15 Nov 2019,,2019-11-15
12–15 Nov,BMG/The Independent,GB,1506,37%,29%,16%,2%,0%,5%,9%,–,–,0%,8,12–15 Nov 2019,,2019-11-15
13–14 Nov,SavantaComRes/The Sunday Telegraph,GB,2052,41%,33%,14%,3%,0%,2%,5%,–,–,1%,8,13–14 Nov 2019,,2019-11-14
13–14 Nov,Panelbase,GB,1021,43%,30%,15%,4%,0%,2%,5%,–,–,0%,13,13–14 Nov 2019,,2019-11-14
11–12 Nov,SavantaComRes/The Daily Telegraph,GB,2022,40%,30%,16%,4%,0%,3%,7%,–,–,1%,10,11–12 Nov 2019,,2019-11-12
11–12 Nov,YouGov/The Times/Sky News,GB,1619,42%,28%,15%,3%,1%,4%,4%,–,–,4%,14,11–12 Nov 2019,,2019-11-12
8–11 Nov,ICM Research,GB,2035,39%,31%,15%,3%,0%,3%,8%,–,–,2%,8,8–11 Nov 2019,,2019-11-11
7–11 Nov,Kantar Archived 13 November 2019 at the Wayback Machine,GB,1165,37%,27%,17%,3%,1%,3%,9%,1%,1%,1%,10,7–11 Nov 2019,,2019-11-11
8–10 Nov,ComRes/Britain Elects,GB,2014,37%,29%,17%,4%,0%,3%,9%,–,–,1%,8,8–10 Nov 2019,,2019-11-10
6–9 Nov,Deltapoll/The Mail on Sunday,GB,1518,41%,29%,16%,3%,0%,2%,6%,1%,0%,1%,12,6–9 Nov 2019,,2019-11-09
7–8 Nov,YouGov/The Sunday Times,GB,1598,39%,26%,17%,4%,0%,4%,10%,–,–,0%,13,7–8 Nov 2019,,2019-11-08
6–8 Nov,Survation,UK,2037,35%,29%,17%,4%,1%,1%,10%,–,–,3%,6,6–8 Nov 2019,,2019-11-08
6–8 Nov,Opinium/The Observer Archived 18 December 2019 at the Wayback Machine,GB,2001,41%,29%,15%,5%,1%,2%,6%,–,–,0%,12,6–8 Nov 2019,,2019-11-08
6–8 Nov,Panelbase,GB,1046,40%,30%,15%,4%,0%,3%,8%,–,–,0%,10,6–8 Nov 2019,,2019-11-08
5–8 Nov,BMG/The Independent,GB,1504,37%,29%,16%,2%,0%,7%,9%,–,–,0%,8,5–8 Nov 2019,,2019-11-08
5–6 Nov,YouGov/The Times/Sky,GB,1667,36%,25%,17%,4%,1%,5%,11%,–,–,1%,11,5–6 Nov 2019,,2019-11-06
6 Nov,,Parliament dissolved and official campaign period begins,Parliament dissolved and official campaign period begins,Parliament dissolved and official campaign period begins,Parliament dissolved and official campaign period begins,Parliament dissolved and official campaign period begins,Parliament dissolved and official campaign period begins,Parliament dissolved and official campaign period begins,Parliament dissolved and official campaign period begins,Parliament dissolved and official campaign period begins,Parliament dissolved and official campaign period begins,Parliament dissolved and official campaign period begins,Parliament dissolved and official campaign period begins,Parliament dissolved and official campaign period begins,6 Nov 2019,,2019-11-06
30 Oct – 5 Nov,ComRes/Remain United,GB,6097,36%,29%,17%,4%,1%,3%,11%,0%,0%,0%,7,30 Oct – 5 Nov 2019,,2019-11-05
1–4 Nov,YouGov/The Times,GB,3284,38%,25%,16%,4%,1%,5%,11%,0%,0%,0%,13,1–4 Nov 2019,,2019-11-04
1–4 Nov,ICM Research/Reuters,GB,2047,38%,31%,15%,3%,0%,3%,9%,1%,0%,1%,7,1–4 Nov 2019,,2019-11-04
31 Oct – 2 Nov,Deltapoll/The Mail on Sunday,GB,1500,40%,28%,14%,3%,1%,2%,11%,1%,0%,0%,12,31 Oct – 2 Nov 2019,,2019-11-02
30 Oct – 1 Nov,Opinium/The Observer Archived 3 November 2019 at the Wayback Machine,GB,2004,42%,26%,16%,4%,1%,2%,9%,0%,0%,1%,16,30 Oct – 1 Nov 2019,,2019-11-01
30 Oct – 1 Nov,YouGov/The Sunday Times,GB,1834,39%,27%,16%,5%,1%,4%,7%,0%,0%,1%,12,30 Oct – 1 Nov 2019,,2019-11-01
30–31 Oct,ComRes/Sunday Express,GB,2032,36%,28%,17%,4%,0%,3%,10%,0%,0%,1%,8,30–31 Oct 2019,,2019-10-31
30–31 Oct,ORB/The Sunday Telegraph Archived 3 November 2019 at the Wayback Machine,GB,2025,36%,28%,14%,5%,0%,4%,12%,0%,0%,1%,8,30–31 Oct 2019,,2019-10-31
30–31 Oct,Panelbase,GB,1008,40%,29%,14%,3%,0%,3%,9%,0%,0%,1%,11,30–31 Oct 2019,,2019-10-31
30 Oct,,The House of Commons votes for an early general election,The House of Commons votes for an early general election,The House of Commons votes for an early general election,The House of Commons votes for an early general election,The House of Commons votes for an early general election,The House of Commons votes for an early general election,The House of Commons votes for an early general election,The House of Commons votes for an early general election,The House of Commons votes for an early general election,The House of Commons votes for an early general election,The House of Commons votes for an early general election,The House of Commons votes for an early general election,The House of Commons votes for an early general election,30 Oct 2019,,2019-10-30
29–30 Oct,YouGov/The Times,GB,1750,36%,21%,18%,4%,1%,6%,13%,0%,0%,1%,15,29–30 Oct 2019,,2019-10-30
29–30 Oct,Survation/Daily Mail,UK,1010,34%,26%,19%,4%,0%,1%,12%,0%,0%,4%,8,29–30 Oct 2019,,2019-10-30
29 Oct,,Richard Braine resigns as leader of UKIP[8],Richard Braine resigns as leader of UKIP[8],Richard Braine resigns as leader of UKIP[8],Richard Braine resigns as leader of UKIP[8],Richard Braine resigns as leader of UKIP[8],Richard Braine resigns as leader of UKIP[8],Richard Braine resigns as leader of UKIP[8],Richard Braine resigns as leader of UKIP[8],Richard Braine resigns as leader of UKIP[8],Richard Braine resigns as leader of UKIP[8],Richard Braine resigns as leader of UKIP[8],Richard Braine resigns as leader of UKIP[8],Richard Braine resigns as leader of UKIP[8],29 Oct 2019,,2019-10-29
25–28 Oct,Ipsos MORI/Evening Standard,GB,1007,41%,24%,20%,4%,1%,3%,7%,0%,0%,0%,17,25–28 Oct 2019,,2019-10-28
17–28 Oct,YouGov,GB,11590,36%,22%,19%,4%,1%,6%,12%,0%,0%,0%,14,17–28 Oct 2019,,2019-10-28
24–25 Oct,YouGov/The Times,GB,1672,36%,23%,18%,4%,1%,6%,12%,0%,0%,0%,13,24–25 Oct 2019,,2019-10-25
23–25 Oct,Opinium/The Observer Archived 19 December 2019 at the Wayback Machine,GB,2001,40%,24%,15%,5%,0%,3%,10%,1%,0%,1%,16,23–25 Oct 2019,,2019-10-25
20–21 Oct,YouGov/The Times,GB,1689,37%,22%,19%,3%,1%,7%,11%,1%,0%,0%,15,20–21 Oct 2019,,2019-10-21
18–21 Oct,Deltapoll,GB,2017,37%,24%,19%,4%,1%,3%,11%,1%,0%,0%,13,18–21 Oct 2019,,2019-10-21
17–18 Oct,Panelbase,GB,1008,36%,27%,17%,4%,0%,3%,11%,0%,0%,0%,9,17–18 Oct 2019,,2019-10-18
17–18 Oct,Survation/Daily Mail,UK,1025,32%,24%,21%,4%,1%,2%,13%,0%,0%,4%,8,17–18 Oct 2019,,2019-10-18
16–17 Oct,ComRes/Britain Elects,GB,2067,33%,29%,18%,4%,1%,4%,12%,0%,0%,0%,4,16–17 Oct 2019,,2019-10-17
15–17 Oct,Opinium/The Observer Archived 12 November 2019 at the Wayback Machine,GB,2001,37%,24%,16%,4%,1%,4%,12%,2%,0%,1%,13,15–17 Oct 2019,,2019-10-17
14–15 Oct,YouGov/The Times,GB,1625,37%,22%,18%,4%,1%,5%,11%,1%,0%,0%,15,14–15 Oct 2019,,2019-10-15
10–15 Oct,Kantar[permanent dead link‍],GB,1184,39%,25%,18%,3%,1%,3%,8%,1%,0%,1%,14,10–15 Oct 2019,,2019-10-15
9–11 Oct,Panelbase/The Sunday Times,GB,2013,33%,30%,17%,4%,0%,3%,12%,0%,0%,0%,3,9–11 Oct 2019,,2019-10-11
9–10 Oct,ComRes/Daily Express,GB,2018,33%,27%,18%,4%,0%,4%,12%,0%,0%,2%,6,9–10 Oct 2019,,2019-10-10
8–9 Oct,YouGov/The Times,GB,1616,35%,22%,20%,4%,1%,6%,12%,0%,1%,0%,13,8–9 Oct 2019,,2019-10-09
4–7 Oct,ICM Research/Represent Us,GB,2013,35%,29%,16%,3%,1%,4%,11%,1%,0%,1%,6,4–7 Oct 2019,,2019-10-07
4–6 Oct,ComRes/The Daily Telegraph,GB,2006,33%,27%,19%,4%,1%,3%,13%,1%,0%,1%,6,4–6 Oct 2019,,2019-10-06
3–4 Oct,Opinium/The Observer Archived 17 December 2019 at the Wayback Machine,GB,2006,38%,23%,15%,5%,0%,4%,12%,1%,0%,0%,15,3–4 Oct 2019,,2019-10-04
1–4 Oct,BMG/The Independent,GB,1514,31%,26%,20%,3%,1%,7%,11%,0%,0%,0%,5,1–4 Oct 2019,,2019-10-04
30 Sep – 1 Oct,YouGov/The Times,GB,1623,34%,21%,23%,3%,1%,5%,12%,0%,0%,1%,11,30 Sep – 1 Oct 2019,,2019-10-01
26–27 Sep,YouGov/The Sunday Times,GB,1623,33%,22%,21%,4%,1%,5%,13%,0%,0%,1%,11,26–27 Sep 2019,,2019-09-27
25–27 Sep,Opinium/The Observer Archived 29 September 2019 at the Wayback Machine,GB,2007,36%,24%,20%,5%,1%,2%,11%,0%,0%,1%,12,25–27 Sep 2019,,2019-09-27
25 Sep,Survation/Daily Mail,UK,1011,27%,24%,22%,4%,0%,3%,16%,0%,0%,4%,3,25 Sep 2019,,2019-09-25
24–25 Sep,YouGov/The Times,GB,1635,33%,22%,22%,3%,1%,6%,14%,0%,0%,0%,11,24–25 Sep 2019,,2019-09-25
19–20 Sep,YouGov/People's Vote,GB,2006,30%,23%,22%,4%,0%,5%,14%,0%,0%,1%,7,19–20 Sep 2019,,2019-09-20
19–20 Sep,Opinium/The Observer Archived 22 September 2019 at the Wayback Machine,GB,2004,37%,22%,17%,4%,1%,4%,12%,2%,0%,0%,15,19–20 Sep 2019,,2019-09-20
18–19 Sep,ComRes/Britain Elects,GB,2050,29%,27%,20%,4%,0%,4%,13%,0%,1%,0%,2,18–19 Sep 2019,,2019-09-19
17–18 Sep,YouGov/The Times,GB,1608,32%,21%,23%,4%,1%,4%,14%,1%,0%,2%,9,17–18 Sep 2019,,2019-09-18
13–16 Sep,Ipsos MORI/Evening Standard,GB,1006,33%,24%,23%,4%,4%,4%,10%,0%,0%,1%,9,13–16 Sep 2019,,2019-09-16
11–13 Sep,Opinium/The Observer Archived 7 December 2019 at the Wayback Machine,GB,2002,37%,25%,16%,4%,1%,2%,13%,1%,0%,0%,12,11–13 Sep 2019,,2019-09-13
11–12 Sep,ComRes/Sunday Express,GB,2057,28%,27%,20%,4%,1%,5%,13%,1%,1%,0%,1,11–12 Sep 2019,,2019-09-12
9–10 Sep,YouGov/The Times,GB,1676,32%,23%,19%,4%,0%,7%,14%,0%,0%,1%,9,9–10 Sep 2019,,2019-09-10
5–9 Sep,Kantar Archived 7 November 2019 at the Wayback Machine,GB,1144,38%,24%,20%,4%,1%,3%,7%,1%,1%,1%,14,5–9 Sep 2019,,2019-09-09
6–8 Sep,ComRes/The Daily Telegraph,GB,2016,30%,29%,17%,3%,1%,4%,13%,1%,0%,2%,1,6–8 Sep 2019,,2019-09-08
5–7 Sep,Deltapoll/The Sun on Sunday,GB,2049,31%,28%,17%,5%,1%,4%,13%,1%,0%,0%,3,5–7 Sep 2019,,2019-09-07
5–6 Sep,YouGov/The Sunday Times,GB,1676,35%,21%,19%,4%,0%,7%,12%,1%,0%,1%,14,5–6 Sep 2019,,2019-09-06
5–6 Sep,Panelbase,GB,1013,31%,28%,19%,3%,0%,2%,15%,0%,0%,0%,3,5–6 Sep 2019,,2019-09-06
5–6 Sep,Survation/Daily Mail,UK,1006,29%,24%,18%,4%,1%,3%,17%,0%,0%,5%,5,5–6 Sep 2019,,2019-09-06
4–6 Sep,ComRes/Britain Elects,GB,2009,31%,27%,20%,3%,1%,3%,13%,1%,0%,1%,4,4–6 Sep 2019,,2019-09-06
4–6 Sep,Opinium/The Observer Archived 27 December 2019 at the Wayback Machine,GB,2009,35%,25%,17%,5%,0%,3%,13%,1%,0%,1%,10,4–6 Sep 2019,,2019-09-06
3–6 Sep,BMG/The Independent,GB,1504,31%,27%,19%,3%,0%,6%,13%,1%,0%,0%,4,3–6 Sep 2019,,2019-09-06
3–4 Sep,Hanbury Strategy Archived 9 March 2021 at the Wayback Machine,GB,995,33%,26%,17%,4%,1%,3%,14%,0%,0%,2%,7[b],3–4 Sep 2019,,2019-09-04
2–3 Sep,YouGov/The Times,GB,1639,35%,25%,16%,4%,1%,7%,11%,1%,0%,0%,10,2–3 Sep 2019,,2019-09-03
30 Aug – 3 Sep,ICM Research/Represent Us,GB,2041,37%,30%,16%,3%,1%,4%,9%,1%,0%,1%,7,30 Aug – 3 Sep 2019,,2019-09-03
29–31 Aug,Deltapoll/The Mail on Sunday,GB,2028,35%,24%,18%,4%,1%,4%,14%,0%,1%,0%,11,29–31 Aug 2019,,2019-08-31
29–30 Aug,Survation/Daily Mail,UK,1020,31%,24%,21%,4%,1%,3%,14%,0%,0%,3%,7,29–30 Aug 2019,,2019-08-30
28–29 Aug,YouGov,GB,1867,33%,22%,21%,4%,1%,7%,12%,0%,0%,1%,11,28–29 Aug 2019,,2019-08-29
27–28 Aug,YouGov/The Times,GB,2006,34%,22%,17%,4%,1%,8%,13%,1%,0%,1%,12,27–28 Aug 2019,,2019-08-28
22–23 Aug,YouGov/The Sunday Times,GB,2019,33%,21%,19%,4%,1%,7%,14%,0%,0%,1%,12,22–23 Aug 2019,,2019-08-23
21–23 Aug,Opinium/The Observer,GB,2005,32%,26%,15%,5%,1%,4%,16%,1%,0%,1%,6,21–23 Aug 2019,,2019-08-23
20–21 Aug,YouGov/The Times,GB,1687,32%,22%,20%,4%,1%,7%,12%,0%,0%,2%,10,20–21 Aug 2019,,2019-08-21
15–19 Aug,Kantar Archived 21 August 2019 at the Wayback Machine,GB,1133,42%,28%,15%,5%,0%,3%,5%,0%,1%,1%,14,15–19 Aug 2019,,2019-08-19
13–14 Aug,YouGov/The Times,GB,1625,30%,21%,20%,4%,1%,8%,14%,1%,0%,2%,9,13–14 Aug 2019,,2019-08-14
7–12 Aug,BMG/The Independent,GB,1515,31%,25%,19%,3%,1%,6%,12%,1%,0%,2%,6,7–12 Aug 2019,,2019-08-12
9–11 Aug,ComRes/The Daily Telegraph,GB,2011,31%,27%,16%,3%,0%,4%,16%,1%,0%,2%,4,9–11 Aug 2019,,2019-08-11
6–11 Aug,Survation,UK,2040,28%,24%,21%,4%,0%,3%,15%,0%,0%,4%,4,6–11 Aug 2019,,2019-08-11
10 Aug,,Richard Braine is elected leader of UKIP[9],Richard Braine is elected leader of UKIP[9],Richard Braine is elected leader of UKIP[9],Richard Braine is elected leader of UKIP[9],Richard Braine is elected leader of UKIP[9],Richard Braine is elected leader of UKIP[9],Richard Braine is elected leader of UKIP[9],Richard Braine is elected leader of UKIP[9],Richard Braine is elected leader of UKIP[9],Richard Braine is elected leader of UKIP[9],Richard Braine is elected leader of UKIP[9],Richard Braine is elected leader of UKIP[9],Richard Braine is elected leader of UKIP[9],10 Aug 2019,,2019-08-10
8–9 Aug,Opinium/The Observer Archived 7 December 2019 at the Wayback Machine,GB,2003,31%,28%,13%,4%,1%,5%,16%,1%,0%,0%,3,8–9 Aug 2019,,2019-08-09
5–6 Aug,YouGov/The Times,GB,1628,31%,22%,21%,4%,0%,7%,14%,0%,0%,1%,9,5–6 Aug 2019,,2019-08-06
1 Aug,,Brecon and Radnorshire by-election[10],Brecon and Radnorshire by-election[10],Brecon and Radnorshire by-election[10],Brecon and Radnorshire by-election[10],Brecon and Radnorshire by-election[10],Brecon and Radnorshire by-election[10],Brecon and Radnorshire by-election[10],Brecon and Radnorshire by-election[10],Brecon and Radnorshire by-election[10],Brecon and Radnorshire by-election[10],Brecon and Radnorshire by-election[10],Brecon and Radnorshire by-election[10],Brecon and Radnorshire by-election[10],1 Aug 2019,,2019-08-01
29–30 Jul,YouGov/The Times,GB,2066,32%,22%,19%,4%,1%,8%,13%,0%,0%,1%,10,29–30 Jul 2019,,2019-07-30
26–30 Jul,Ipsos MORI,GB,1007,34%,24%,20%,4%,1%,6%,9%,1%,0%,1%,10,26–30 Jul 2019,,2019-07-30
26–28 Jul,ComRes/Britain Elects,GB,2004,29%,30%,16%,3%,1%,5%,15%,1%,0%,2%,1,26–28 Jul 2019,,2019-07-28
25–27 Jul,Deltapoll/The Mail on Sunday,GB,2001,30%,25%,18%,4%,1%,4%,14%,1%,2%,1%,5,25–27 Jul 2019,,2019-07-27
25–26 Jul,YouGov/The Sunday Times,GB,1697,31%,21%,20%,5%,1%,8%,13%,0%,0%,1%,10,25–26 Jul 2019,,2019-07-26
24–26 Jul,Opinium/The Observer,GB,2006,30%,28%,16%,5%,1%,5%,15%,1%,0%,1%,2,24–26 Jul 2019,,2019-07-26
24–25 Jul,ComRes/Sunday Express,GB,2029,28%,27%,19%,3%,1%,4%,16%,1%,0%,0%,1,24–25 Jul 2019,,2019-07-25
23–24 Jul,YouGov/The Times,GB,1715,25%,19%,23%,4%,1%,9%,17%,1%,0%,1%,2,23–24 Jul 2019,,2019-07-24
23 Jul,,"Boris Johnson is elected leader of the Conservative Party, and becomes Prime Minister the next day","Boris Johnson is elected leader of the Conservative Party, and becomes Prime Minister the next day","Boris Johnson is elected leader of the Conservative Party, and becomes Prime Minister the next day","Boris Johnson is elected leader of the Conservative Party, and becomes Prime Minister the next day","Boris Johnson is elected leader of the Conservative Party, and becomes Prime Minister the next day","Boris Johnson is elected leader of the Conservative Party, and becomes Prime Minister the next day","Boris Johnson is elected leader of the Conservative Party, and becomes Prime Minister the next day","Boris Johnson is elected leader of the Conservative Party, and becomes Prime Minister the next day","Boris Johnson is elected leader of the Conservative Party, and becomes Prime Minister the next day","Boris Johnson is elected leader of the Conservative Party, and becomes Prime Minister the next day","Boris Johnson is elected leader of the Conservative Party, and becomes Prime Minister the next day","Boris Johnson is elected leader of the Conservative Party, and becomes Prime Minister the next day","Boris Johnson is elected leader of the Conservative Party, and becomes Prime Minister the next day",23 Jul 2019,,2019-07-23
