Dates conducted,Pollster/Client,Con,Lab,Lib,Lead,date_year_appended,end_date
25 Sep,MORI/Times,28%,51%,16%,23%,25 Sep 1995,1995-09-25
15 Sep,NOP/Sunday Times,27%,53%,17%,26%,15 Sep 1995,1995-09-15
9 Sep,ICM/Guardian,31%,48%,17%,17%,9 Sep 1995,1995-09-09
4 Sep,Gallup/Telegraph,26.5%,54.5%,14%,28%,4 Sep 1995,1995-09-04
28 Aug,MORI/Times,25%,56%,15%,31%,28 Aug 1995,1995-08-28
18 Aug,NOP/Sunday Times,24%,57%,15%,33%,18 Aug 1995,1995-08-18
5 Aug,ICM/Guardian,31%,48%,17%,17%,5 Aug 1995,1995-08-05
31 Jul,Gallup/Telegraph,22.5%,57.5%,14.5%,35%,31 Jul 1995,1995-07-31
31 Jul,ICM/Express,24%,58%,14%,34%,31 Jul 1995,1995-07-31
24 Jul,MORI/Times,26%,59%,12%,33%,24 Jul 1995,1995-07-24
21 Jul,MORI/LWT,30%,52%,13%,22%,21 Jul 1995,1995-07-21
21 Jul,NOP/Sunday Times,26%,55%,14%,29%,21 Jul 1995,1995-07-21
8 Jul,ICM/Guardian,32%,47%,17%,15%,8 Jul 1995,1995-07-08
4 Jul,John Major is re-elected leader of the Conservative Party[3],John Major is re-elected leader of the Conservative Party[3],John Major is re-elected leader of the Conservative Party[3],John Major is re-elected leader of the Conservative Party[3],John Major is re-elected leader of the Conservative Party[3],4 Jul 1995,1995-07-04
3 Jul,Gallup/Telegraph,25.5%,57%,13%,31.5%,3 Jul 1995,1995-07-03
3 Jul,MORI/European,33%,52%,10%,19%,3 Jul 1995,1995-07-03
27 Jun,MORI/Economist,31%,55%,11%,24%,27 Jun 1995,1995-06-27
26 Jun,MORI/Times,29%,56%,13%,27%,26 Jun 1995,1995-06-26
24 Jun,MORI/Mail on Sunday,32%,54%,11%,22%,24 Jun 1995,1995-06-24
10 Jun,ICM/Guardian,24%,53%,19%,29%,10 Jun 1995,1995-06-10
5 Jun,Gallup/Telegraph,20%,59.5%,14.5%,39.5%,5 Jun 1995,1995-06-05
22 May,MORI/Times,22%,58%,16%,36%,22 May 1995,1995-05-22
13 May,ICM/Guardian,29%,48%,19%,19%,13 May 1995,1995-05-13
8 May,Gallup/Telegraph,23%,55.5%,16.5%,32.5%,8 May 1995,1995-05-08
4 May,1995 local elections[4],1995 local elections[4],1995 local elections[4],1995 local elections[4],1995 local elections[4],4 May 1995,1995-05-04
24 Apr,MORI/Times,26%,56%,15%,30%,24 Apr 1995,1995-04-24
8 Apr,ICM/Guardian,26%,51%,18%,25%,8 Apr 1995,1995-04-08
6 Apr,1995 Scottish local elections[5],1995 Scottish local elections[5],1995 Scottish local elections[5],1995 Scottish local elections[5],1995 Scottish local elections[5],6 Apr 1995,1995-04-06
3 Apr,Gallup/Telegraph,23%,57.5%,15%,34.5%,3 Apr 1995,1995-04-03
24 Mar,MORI/Sunday Times,25%,59%,12%,34%,24 Mar 1995,1995-03-24
20 Mar,MORI/Times,25%,57%,13%,32%,20 Mar 1995,1995-03-20
11 Mar,ICM/Guardian,27%,52%,17%,25%,11 Mar 1995,1995-03-11
27 Feb,Gallup/Telegraph,20.5%,60.5%,15%,40%,27 Feb 1995,1995-02-27
20 Feb,MORI/Times,24%,58%,14%,34%,20 Feb 1995,1995-02-20
11 Feb,ICM/Guardian,31%,49%,17%,18%,11 Feb 1995,1995-02-11
30 Jan,Gallup/Telegraph,23.5%,59.5%,13%,36%,30 Jan 1995,1995-01-30
23 Jan,MORI/Times,27%,56%,14%,29%,23 Jan 1995,1995-01-23
14 Jan,ICM/Guardian,30%,48%,18%,18%,14 Jan 1995,1995-01-14
13 Jan,Harris/Sunday Times,25%,60%,12%,35%,13 Jan 1995,1995-01-13
9 Jan,Gallup/Telegraph,18.5%,62%,14%,43.5%,9 Jan 1995,1995-01-09
Survey end date,Pollster/Client,,,,Lead,Survey end date 1994,
19 Dec,MORI/Times,22%,61%,13%,39%,19 Dec 1994,1994-12-19
9 Dec,ICM/Observer,26%,53%,17%,27%,9 Dec 1994,1994-12-09
5 Dec,Gallup/Telegraph,21.5%,61%,13.5%,39.5%,5 Dec 1994,1994-12-05
3 Dec,ICM/Guardian,31%,49%,17%,18%,3 Dec 1994,1994-12-03
21 Nov,MORI/Times,24%,55%,17%,31%,21 Nov 1994,1994-11-21
5 Nov,ICM/Guardian,31%,49%,16%,18%,5 Nov 1994,1994-11-05
31 Oct,Gallup/Telegraph,21.5%,56.5%,17%,35%,31 Oct 1994,1994-10-31
24 Oct,MORI/Times,25%,57%,14%,32%,24 Oct 1994,1994-10-24
8 Oct,ICM/Guardian,32%,49%,15%,17%,8 Oct 1994,1994-10-08
3 Oct,Gallup/Telegraph,25.5%,54%,16.5%,28.5%,3 Oct 1994,1994-10-03
27 Sep,Gallup/Telegraph,21%,57.5%,15.5%,36.5%,27 Sep 1994,1994-09-27
26 Sep,MORI/Economist,25%,52%,18%,27%,26 Sep 1994,1994-09-26
26 Sep,MORI/Times,25%,54%,17%,29%,26 Sep 1994,1994-09-26
16 Sep,NOP/Independent,28%,50%,17%,22%,16 Sep 1994,1994-09-16
10 Sep,ICM/Guardian,33%,45%,18%,12%,10 Sep 1994,1994-09-10
5 Sep,Gallup/Telegraph,22%,56.5%,17%,34.5%,5 Sep 1994,1994-09-05
26 Aug,NOP/Independent on Sunday,26%,54%,16%,28%,26 Aug 1994,1994-08-26
22 Aug,MORI/Times,23%,56%,18%,33%,22 Aug 1994,1994-08-22
6 Aug,ICM/Guardian,28%,49%,19%,21%,6 Aug 1994,1994-08-06
1 Aug,Gallup/Telegraph,23%,56.5%,14.5%,33.5%,1 Aug 1994,1994-08-01
21 Jul,Tony Blair becomes leader of the Labour Party[6],Tony Blair becomes leader of the Labour Party[6],Tony Blair becomes leader of the Labour Party[6],Tony Blair becomes leader of the Labour Party[6],Tony Blair becomes leader of the Labour Party[6],21 Jul 1994,1994-07-21
18 Jul,MORI/Times,23%,51%,21%,28%,18 Jul 1994,1994-07-18
9 Jul,ICM/Guardian,31%,44%,21%,13%,9 Jul 1994,1994-07-09
4 Jul,Gallup/Telegraph,26.5%,51%,17.5%,24.5%,4 Jul 1994,1994-07-04
20 Jun,MORI/Times,24%,52%,20%,28%,20 Jun 1994,1994-06-20
10 Jun,ICM/Sunday Express,26.5%,45.5%,19%,19%,10 Jun 1994,1994-06-10
9 June,1994 European Parliament election[7],1994 European Parliament election[7],1994 European Parliament election[7],1994 European Parliament election[7],1994 European Parliament election[7],9 June 1994,1994-06-09
6 Jun,MORI/Times,23%,50%,22%,27%,6 Jun 1994,1994-06-06
4 Jun,ICM/Daily Express,27%,45%,22%,19%,4 Jun 1994,1994-06-04
31 May,MORI/GMB,22%,46%,22%,24%,31 May 1994,1994-05-31
30 May,Gallup/ Telegraph,21%,54%,21.5%,33%,30 May 1994,1994-05-30
23 May,MORI/Times,27%,46%,23%,19%,23 May 1994,1994-05-23
21 May,ICM/Guardian,30%,44%,20%,14%,21 May 1994,1994-05-21
17 May,ICM/Express,26%,48%,23%,22%,17 May 1994,1994-05-17
14 May,MORI/Sunday Times,26%,49%,20%,23%,14 May 1994,1994-05-14
9 May,Gallup/Telegraph,24.5%,45.5%,25%,20.5%,9 May 1994,1994-05-09
7 May,ICM/Guardian,29%,44%,24%,17%,7 May 1994,1994-05-07
5 May,1994 local elections[8],1994 local elections[8],1994 local elections[8],1994 local elections[8],1994 local elections[8],5 May 1994,1994-05-05
25 Apr,MORI/Times,26%,47%,23%,21%,25 Apr 1994,1994-04-25
20 Apr,NOP/Independent,26%,48%,21%,22%,20 Apr 1994,1994-04-20
9 Apr,ICM/Guardian,30%,42%,22%,12%,9 Apr 1994,1994-04-09
4 Apr,Gallup/Telegraph,26.5%,51.5%,17.5%,25%,4 Apr 1994,1994-04-04
1 Apr,MORI/Evening Standard,28%,46%,22%,18%,1 Apr 1994,1994-04-01
31 Mar,NOP/Independent on Sunday,26%,50%,20%,24%,31 Mar 1994,1994-03-31
28 Mar,MORI/Times,27%,49%,20%,22%,28 Mar 1994,1994-03-28
12 Mar,ICM/Guardian,29%,44%,22%,15%,12 Mar 1994,1994-03-12
28 Feb,Gallup/Telegraph,25%,48.5%,21%,23.5%,28 Feb 1994,1994-02-28
28 Feb,MORI/Times,28%,47%,21%,19%,28 Feb 1994,1994-02-28
12 Feb,ICM/Guardian,30%,44%,21%,14%,12 Feb 1994,1994-02-12
31 Jan,Gallup/Telegraph,26%,45.5%,23%,19.5%,31 Jan 1994,1994-01-31
27 Jan,Audience Selection/Sunday Mirror,28%,41%,24%,13%,27 Jan 1994,1994-01-27
24 Jan,MORI/Times,28%,48%,20%,20%,24 Jan 1994,1994-01-24
11 Jan,Gallup/Telegraph,25.5%,46.5%,20.5%,21%,11 Jan 1994,1994-01-11
11 Jan,MORI/Sun,30%,46%,20%,16%,11 Jan 1994,1994-01-11
8 Jan,ICM/Guardian,31%,43%,21%,12%,8 Jan 1994,1994-01-08
Survey end date,Pollster/Client,,,,Lead,Survey end date 1993,
14 Dec,ICM/Observer,26%,48%,23%,22%,14 Dec 1993,1993-12-14
13 Dec,MORI/Times,29%,47%,20%,18%,13 Dec 1993,1993-12-13
6 Dec,Gallup/Telegraph,27%,48.5%,20%,21.5%,6 Dec 1993,1993-12-06
4 Dec,ICM/Guardian,31%,42%,23%,11%,4 Dec 1993,1993-12-04
22 Nov,MORI/Times,29%,47%,22%,18%,22 Nov 1993,1993-11-22
13 Nov,NOP/Sunday Times,27%,47%,21%,20%,13 Nov 1993,1993-11-13
6 Nov,ICM/Guardian,34%,38%,24%,4%,6 Nov 1993,1993-11-06
1 Nov,Gallup/Telegraph,24%,46.5%,25.5%,22.5%,1 Nov 1993,1993-11-01
25 Oct,MORI/Times,29%,45%,23%,16%,25 Oct 1993,1993-10-25
9 Oct,ICM/Guardian,36%,39%,20%,3%,9 Oct 1993,1993-10-09
9 Oct,ICM/Sunday Express,30%,40%,26%,10%,9 Oct 1993,1993-10-09
27 Sep,Gallup/Telegraph,23%,44.5%,27%,21.5%,27 Sep 1993,1993-09-27
24 Sep,ICM/Sunday Express,27%,41%,26%,14%,24 Sep 1993,1993-09-24
21 Sep,Gallup/Telegraph,23.5%,44%,26.5%,20.5%,21 Sep 1993,1993-09-21
20 Sep,MORI/Times,29%,43%,25%,14%,20 Sep 1993,1993-09-20
11 Sep,ICM/Guardian,29%,40%,26%,11%,11 Sep 1993,1993-09-11
6 Sep,Gallup/Telegraph,25.5%,46.5%,23%,21%,6 Sep 1993,1993-09-06
23 Aug,MORI/Times,28%,42%,25%,14%,23 Aug 1993,1993-08-23
7 Aug,ICM/Guardian,30%,36%,27%,6%,7 Aug 1993,1993-08-07
1 Aug,Gallup/Telegraph,23%,44.5%,27%,21.5%,1 Aug 1993,1993-08-01
30 Jul,MORI/Sunday Times,27%,41%,28%,14%,30 Jul 1993,1993-07-30
26 Jul,MORI/Times,27%,44%,25%,17%,26 Jul 1993,1993-07-26
23 Jul,MORI/Sunday Times,34%,44%,18%,10%,23 Jul 1993,1993-07-23
5 Jul,Gallup/Telegraph,24.5%,43%,26.5%,18.5%,5 Jul 1993,1993-07-05
3 Jul,ICM/Guardian,32%,37%,25%,5%,3 Jul 1993,1993-07-03
28 Jun,MORI/Times,28%,46%,23%,18%,28 Jun 1993,1993-06-28
12 Jun,MORI/Sunday Times,29%,44%,22%,15%,12 Jun 1993,1993-06-12
11 Jun,NOP/Independent on Sunday,27%,42%,26%,15%,11 Jun 1993,1993-06-11
5 Jun,ICM/Guardian,31%,38%,26%,7%,5 Jun 1993,1993-06-05
31 May,Gallup/Telegraph,25%,49%,23%,24%,31 May 1993,1993-05-31
24 May,MORI/Times,28%,44%,24%,16%,24 May 1993,1993-05-24
19 May,1993 Northern Ireland local elections,1993 Northern Ireland local elections,1993 Northern Ireland local elections,1993 Northern Ireland local elections,1993 Northern Ireland local elections,19 May 1993,1993-05-19
8 May,ICM/Guardian,32%,38%,24%,6%,8 May 1993,1993-05-08
6 May,1993 local elections[9],1993 local elections[9],1993 local elections[9],1993 local elections[9],1993 local elections[9],6 May 1993,1993-05-06
3 May,Gallup/Telegraph,30%,47%,17.5%,17%,3 May 1993,1993-05-03
26 Apr,MORI/Times,32%,46%,20%,14%,26 Apr 1993,1993-04-26
10 Apr,ICM/Guardian,34%,39%,21%,5%,10 Apr 1993,1993-04-10
1 Apr,Gallup/Telegraph,30.5%,49%,15.5%,18.5%,1 Apr 1993,1993-04-01
29 Mar,MORI/Times,32%,47%,17%,15%,29 Mar 1993,1993-03-29
6 Mar,ICM/Guardian,36%,41%,18%,5%,6 Mar 1993,1993-03-06
1 Mar,Gallup/Telegraph,32%,49%,14%,17%,1 Mar 1993,1993-03-01
