Dates conducted,Polling Organisation,Con,Lab,Lib,Lead,date_year_appended,end_date
29 Sep - 10 Oct,Gallup/News Chronicle,40.5,48.5,10,8%,29 Sep - 10 Oct 1957,1957-10-10
16-27 August,Gallup/News Chronicle,41.5,49,8.5,7.5%,16-27 August 1957,
5-11 July,Gallup/News Chronicle,41.5,49.5,8,7%,5-11 July 1957,1957-07-11
24 June - 1 July,Gallup/News Chronicle,41.5,50,7.5,8.5%,24 June - 1 July 1957,1957-07-01
12-16 April,Gallup/News Chronicle,41,51,7,10%,12-16 April 1957,1957-04-16
15-22 March,Gallup/News Chronicle,40,51.5,7,11.5%,15-22 March 1957,1957-03-22
February,Gallup/News Chronicle,42,48,8.5,6%,February 1957,
12-13 January,Gallup/News Chronicle,43.5,48.5,7,5%,12-13 January 1957,
10 January,Prime Minister Anthony Eden resigns and is replaced by Harold Macmillan,Prime Minister Anthony Eden resigns and is replaced by Harold Macmillan,Prime Minister Anthony Eden resigns and is replaced by Harold Macmillan,Prime Minister Anthony Eden resigns and is replaced by Harold Macmillan,Prime Minister Anthony Eden resigns and is replaced by Harold Macmillan,10 January 1957,
Survey End Date,Polling Organisation,,,,Lead,Survey End Date 1956,
22-25 November,Gallup/News Chronicle,45,46,8.5,1%,22-25 November 1956,
10-11 November,Gallup/News Chronicle,46,45,8,1%,10-11 November 1956,
5 November,Jo Grimond elected Liberal Party leader,Jo Grimond elected Liberal Party leader,Jo Grimond elected Liberal Party leader,Jo Grimond elected Liberal Party leader,Jo Grimond elected Liberal Party leader,5 November 1956,
October,Gallup/News Chronicle,42.5,47,9.5,4.5%,October 1956,
7-18 September,Gallup/News Chronicle,43,46.5,10,3.5%,7-18 September 1956,
16-24 August,Gallup/News Chronicle,43.5,49.5,6,6%,16-24 August 1956,
13-23 July,Gallup/News Chronicle,42,49,8,7%,13-23 July 1956,1956-07-23
19-27 May,Gallup/News Chronicle,43,47,9,4%,19-27 May 1956,1956-05-27
20-29 April,Gallup/News Chronicle,43,48,8,5%,20-29 April 1956,1956-04-29
24 Mar - 4 Apr,Gallup/News Chronicle,44.5,47.5,7,3%,24 Mar - 4 Apr 1956,1956-04-04
11-20 February,Gallup/News Chronicle,44,46,9,2%,11-20 February 1956,
14-26 January,Gallup/News Chronicle,45.5,46.5,7.5,1%,14-26 January 1956,
Survey End Date,Polling Organisation,,,,Lead,Survey End Date 1955,
24 December,Gallup/News Chronicle,44.4,45.5,9,1%,24 December 1955,
14 December,Hugh Gaitskell elected Labour Party leader,Hugh Gaitskell elected Labour Party leader,Hugh Gaitskell elected Labour Party leader,Hugh Gaitskell elected Labour Party leader,Hugh Gaitskell elected Labour Party leader,14 December 1955,
19-26 October,Gallup/News Chronicle,46.5,44.5,8,2%,19-26 October 1955,
9-19 September,Gallup/News Chronicle,48,44,7,4%,9-19 September 1955,
August,Gallup/News Chronicle,44.5,47.5,7,3%,August 1955,
2-13 July,Gallup/News Chronicle,47,43,9,4%,2-13 July 1955,1955-07-13
26 May,General Election Results,49.7,46.4,2.7,3.3%,26 May 1955,1955-05-26
