Dates conducted,Pollster,Client,Area,Sample size,Con,Lab,Lib,SNP,Grn,Ref,Others,Lead,date_year_appended,end_date
26–27 Jun,Redfield & Wilton,,GB,5000,19%,42%,11%,3%,5%,18%,2% Plaid Cymru on 0% Workers Party of Britain on 1% Alba Party on 0% Other on 1%,23,26–27 Jun 2024,2024-06-27
25–27 Jun,YouGov,,GB,4110,20%,37%,13%,3%,7%,17%,4% Plaid Cymru on 1% Other on 3%,17,25–27 Jun 2024,2024-06-27
15–27 Jun,Survation (MRP),,GB,23364,25%,42%,11%,2%,5%,11%,4% Plaid Cymru on 1% Other on 3%,17,15–27 Jun 2024,2024-06-27
25–26 Jun,PeoplePolling,GB News,GB,1932,15%,40%,9%,2%,9%,21%,2% Plaid Cymru on 0% Other on 2%,19,25–26 Jun 2024,2024-06-26
24–26 Jun,BMG,The i,GB,1522,20%,42%,12%,3%,6%,16%,2%,22,24–26 Jun 2024,2024-06-26
24–26 Jun,More in Common,The News Agents,GB,3420,23%,40%,11%,3%,5%,14%,3% Plaid Cymru on 0% Other on 3%,17,24–26 Jun 2024,2024-06-26
24–26 Jun,Norstat,,GB,2025,23%,39%,12%,4%,6%,15%,2% Plaid Cymru on 1% Other on 1%,16,24–26 Jun 2024,2024-06-26
24–26 Jun,Deltapoll,The National,GB,2077,20%,42%,11%,3%,4%,17%,2% Plaid Cymru on 0% Other on 2%,22,24–26 Jun 2024,2024-06-26
24–25 Jun,YouGov,,GB,1572,18%,36%,15%,3%,8%,17%,3% Plaid Cymru on 1% Other on 2%,18,24–25 Jun 2024,2024-06-25
21–25 Jun,Survation,Good Morning Britain,UK,1022,18%,41%,12%,2%,5%,14%,7% Plaid Cymru on 0% Other on 7%,23,21–25 Jun 2024,2024-06-25
7–25 Jun,JL Partners (SRP)[a],The Sunday Times,GB,13584,22%,38%,13%,3%,5%,17%,2% Plaid Cymru on 1% Other on 1%,16,7–25 Jun 2024,2024-06-25
21–24 Jun,JL Partners,The Rest is Politics,GB,2005,25%,41%,11%,3%,5%,15%,1% Plaid Cymru on 0% Other on 1%,16,21–24 Jun 2024,2024-06-24
21–24 Jun,Deltapoll,,GB,1568,19%,43%,13%,2%,5%,15%,2%,24,21–24 Jun 2024,2024-06-24
21–24 Jun,Redfield & Wilton,,GB,10000,18%,42%,12%,3%,6%,19%,2% Plaid Cymru on 0% Workers Party of Britain on 1% Alba Party on 0% Other on 1%,23,21–24 Jun 2024,2024-06-24
21–24 Jun,Savanta,The Telegraph,UK,2318,21%,42%,10%,3%,5%,14%,6%,21,21–24 Jun 2024,2024-06-24
21–24 Jun,Ipsos,,GB,1402,19%,42%,11%,5%,7%,15%,1% Plaid Cymru on 0% Other on 1%,23,21–24 Jun 2024,2024-06-24
21–24 Jun,Verian,,GB,1047,21%,38%,12%,3%,8%,16%,2% Plaid Cymru on 1% Other on 1%,17,21–24 Jun 2024,2024-06-24
20–24 Jun,Lord Ashcroft,,GB,5134,19%,40%,10%,3%,9%,17%,3% Plaid Cymru on 0% Other on 3%,25,20–24 Jun 2024,2024-06-24
14–24 Jun,FindOutNow/Electoral Calculus (MRP),Daily Mirror and GB News,GB,19993,15%,40%,14%,3%,7%,17%,3% Plaid Cymru on 1%,23,14–24 Jun 2024,2024-06-24
30 May – 24 Jun,We Think (MRP),,GB,18595,22%,42%,11%,3%,6%,14%,3% Plaid Cymru on 1% Other on 2%,20,30 May – 24 Jun 2024,2024-06-24
21–23 Jun,More in Common,,GB,2046,25%,41%,10%,2%,5%,15%,2% Plaid Cymru on 0% Other on 2%,16,21–23 Jun 2024,2024-06-23
20–21 Jun,We Think,,GB,1270,22%,43%,8%,3%,7%,13%,3% Plaid Cymru on 1% Other on 3%,21,20–21 Jun 2024,2024-06-21
19–21 Jun,Savanta,The Telegraph,UK,2103,19%,42%,9%,3%,5%,16%,6%,23,19–21 Jun 2024,2024-06-21
19–21 Jun,Opinium,The Observer,GB,1484,20%,40%,12%,3%,9%,16%,1% Plaid Cymru on 1% Other on 1%,20,19–21 Jun 2024,2024-06-21
19–20 Jun,YouGov,The Times,GB,2047,19%,37%,13%,3%,6%,18%,3% Plaid Cymru on 1% Other on 2%,18,19–20 Jun 2024,2024-06-20
19–20 Jun,Whitestone Insight,Daily Express/Daily Mirror,GB,2029,19%,39%,12%,3%,6%,20%,1% Plaid Cymru on 0% SDP on 0% Workers Party of Britain on 0% Other on 1%,19,19–20 Jun 2024,2024-06-20
19–20 Jun,Techne,,GB,1642,19%,42%,12%,2%,5%,17%,3%,23,19–20 Jun 2024,2024-06-20
19–20 Jun,Redfield & Wilton,,GB,2500,18%,42%,11%,3%,5%,19%,1% Plaid Cymru on 0% Workers Party of Britain on 0% Alba Party on 0% Other on 1%,23,19–20 Jun 2024,2024-06-20
4–20 Jun,Focaldata (MRP),,GB,24536,23%,41%,11%,3%,5%,16%,1% Plaid Cymru on 0% Other on 0%,18,4–20 Jun 2024,2024-06-20
18–19 Jun,BMG,The i,GB,1627,19%,42%,9%,3%,7%,19%,1%,23,18–19 Jun 2024,2024-06-19
17–19 Jun,Norstat,,GB,2059,20%,40%,12%,3%,5%,19%,2% Plaid Cymru on 1% Other on 1%,20,17–19 Jun 2024,2024-06-19
17–19 Jun,More in Common,,GB,2035,25%,39%,11%,3%,5%,14%,2% Plaid Cymru on 0% Other on 2%,14,17–19 Jun 2024,2024-06-19
18 Jun,PeoplePolling,GB News,GB,1228,15%,35%,12%,3%,8%,24%,2% Plaid Cymru on 0% Other on 2%,11,18 Jun 2024,2024-06-18
17–18 Jun,YouGov,,GB,1625,20%,36%,14%,3%,7%,18%,3% Plaid Cymru on 1% Other on 2%,16,17–18 Jun 2024,2024-06-18
14–18 Jun,Survation,Good Morning Britain,UK,1008,20%,41%,12%,2%,6%,15%,5%,21,14–18 Jun 2024,2024-06-18
11–18 Jun,YouGov (MRP),Sky News,GB,39979,22%,39%,12%,3%,7%,15%,3% Plaid Cymru on 1% Other on 2%,17,11–18 Jun 2024,2024-06-18
7–18 Jun,Savanta (MRP),The Telegraph,GB,17812,23%,44%,12%,3%,4%,13%,1% Plaid Cymru on 1% Other on 0%,21,7–18 Jun 2024,2024-06-18
14–17 Jun,Focaldata,,GB,2604,21%,43%,10%,2%,5%,16%,2%,22,14–17 Jun 2024,2024-06-17
14–17 Jun,Deltapoll,,GB,1383,19%,46%,10%,2%,5%,16%,1% Plaid Cymru on 1%,27,14–17 Jun 2024,2024-06-17
14–17 Jun,Redfield & Wilton,,GB,10000,18%,43%,12%,3%,5%,18%,1% Plaid Cymru on 0% Workers Party of Britain on 0% Alba Party on 0% Other on 1%,25,14–17 Jun 2024,2024-06-17
14–17 Jun,Verian,,GB,1034,21%,39%,13%,3%,7%,13%,4% Plaid Cymru on 1% Other on 3%,18,14–17 Jun 2024,2024-06-17
13–17 Jun,Lord Ashcroft,,GB,5187,18%,43%,9%,3%,7%,18%,3% Plaid Cymru on 0% Other on 3%,21,13–17 Jun 2024,2024-06-17
22 May – 17 Jun,More in Common (MRP),The News Agents,GB,10850,28%,44%,11%,3%,5%,8%,2% Plaid Cymru on 0% Other on 1%,16,22 May – 17 Jun 2024,2024-06-17
14–16 Jun,Savanta,The Telegraph,UK,2046,21%,40%,11%,3%,4%,14%,5%,19,14–16 Jun 2024,2024-06-16
14–16 Jun,More in Common,,GB,2369,25%,41%,11%,2%,5%,14%,2% Plaid Cymru on 0% Other on 2%,16,14–16 Jun 2024,2024-06-16
14–16 Jun,JL Partners,The Rest is Politics,GB,2083,23%,40%,9%,3%,5%,18%,1% Plaid Cymru on 0% Other on 1%,17,14–16 Jun 2024,2024-06-16
12–14 Jun,Opinium,The Observer,GB,2059,23%,40%,12%,2%,7%,14%,2% Plaid Cymru on 1% Other on 1%,17,12–14 Jun 2024,2024-06-14
12–14 Jun,Savanta,The Telegraph,UK,2045,21%,46%,11%,2%,5%,13%,3%,25,12–14 Jun 2024,2024-06-14
12–13 Jun,Techne,,GB,1636,19%,43%,11%,2%,6%,16%,3%,24,12–13 Jun 2024,2024-06-13
12–13 Jun,YouGov,The Times,GB,2211,18%,37%,14%,3%,7%,19%,3% Plaid Cymru on 1% Other on 2%,18,12–13 Jun 2024,2024-06-13
12–13 Jun,Redfield & Wilton,,GB,1500,18%,42%,13%,3%,5%,17%,1%,24,12–13 Jun 2024,2024-06-13
12–13 Jun,We Think,,GB,1297,20%,43%,11%,2%,6%,14%,3% Plaid Cymru on 1% Other on 2%,23,12–13 Jun 2024,2024-06-13
12–13 Jun,Whitestone Insight,Daily Express/Daily Mirror,GB,2014,19%,41%,11%,3%,6%,17%,3% Plaid Cymru on 1% Workers Party of Britain on 0% SDP on 0% Other on 2%,22,12–13 Jun 2024,2024-06-13
31 May – 13 Jun,Survation (MRP),Best For Britain,GB,42269,24%,40%,11%,4%,6%,12%,3% Plaid Cymru on 1% Other on 2%,16,31 May – 13 Jun 2024,2024-06-13
12 Jun,PeoplePolling,GB News,GB,1234,19%,39%,10%,3%,9%,17%,3%,20,12 Jun 2024,2024-06-12
11–12 Jun,BMG,The i,GB,1546,21%,41%,12%,3%,6%,14%,2% Plaid Cymru on 1% Other on 1%,20,11–12 Jun 2024,2024-06-12
11–12 Jun,More in Common,The News Agents,GB,2037,25%,41%,10%,3%,5%,13%,2% Plaid Cymru on 1% Other on 1%,16,11–12 Jun 2024,2024-06-12
10–12 Jun,Norstat,,GB,1017,21%,41%,11%,3%,6%,17%,3% Plaid Cymru on 1% Other on 2%,20,10–12 Jun 2024,2024-06-12
7–12 Jun,Ipsos (MRP),,GB,19689,25%,43%,10%,3%,6%,12%,1%,18,7–12 Jun 2024,2024-06-12
10–11 Jun,YouGov,Sky News,GB,1611,18%,38%,15%,2%,8%,17%,2% Plaid Cymru on 1% Other on 1%,20,10–11 Jun 2024,2024-06-11
7–11 Jun,Focaldata,,GB,3124,24%,42%,9%,3%,5%,15%,2%,18,7–11 Jun 2024,2024-06-11
5–11 Jun,Survation,Good Morning Britain,UK,1076,23%,41%,10%,3%,6%,12%,4% Plaid Cymru on 0% Other on 4%,18,5–11 Jun 2024,2024-06-11
7–10 Jun,Verian,,GB,1305,20%,41%,11%,3%,8%,15%,3% Plaid Cymru on 1% UKIP on 1% Other on 1%,21,7–10 Jun 2024,2024-06-10
7–10 Jun,Redfield & Wilton,,GB,10000,19%,45%,10%,3%,5%,17%,1% Plaid Cymru on 0% Workers Party of Britain on 0% Alba Party on 0% Other on 1%,26,7–10 Jun 2024,2024-06-10
6–10 Jun,Lord Ashcroft,,GB,4975,21%,44%,7%,2%,8%,15%,3% Plaid Cymru on 0% Other on 3%,22,6–10 Jun 2024,2024-06-10
7–9 Jun,Savanta,The Telegraph,UK,2219,25%,44%,9%,3%,4%,10%,4%,19,7–9 Jun 2024,2024-06-09
7–9 Jun,JL Partners,The Rest is Politics,GB,2004,24%,41%,11%,3%,5%,15%,1% Plaid Cymru on 0% Other on 1%,17,7–9 Jun 2024,2024-06-09
6–8 Jun,Deltapoll,Mail on Sunday,GB,2010,21%,46%,9%,4%,5%,12%,1% Plaid Cymru on 1% Other on 0%,25,6–8 Jun 2024,2024-06-08
6–7 Jun,We Think,,GB,1198,20%,45%,10%,3%,5%,15%,3% Plaid Cymru on 1% Other on 2%,25,6–7 Jun 2024,2024-06-07
5–7 Jun,Opinium,The Observer,GB,1471,24%,42%,10%,3%,7%,12%,2% Plaid Cymru on 1% Other on 1%,18,5–7 Jun 2024,2024-06-07
5–7 Jun,Savanta,The Telegraph,GB,2095,26%,46%,10%,2%,3%,11%,3% Plaid Cymru on 1% Other on 2%,20,5–7 Jun 2024,2024-06-07
5–7 Jun,More in Common,,GB,2618,25%,46%,9%,3%,6%,11%,1% Plaid Cymru on 0% Other on 1%,21,5–7 Jun 2024,2024-06-07
5–6 Jun,Whitestone Insight,,GB,2001,22%,42%,9%,3%,5%,16%,2% Plaid Cymru on 0% Workers Party of Britain on 1% SDP on 0% Other on 1%,20,5–6 Jun 2024,2024-06-06
5–6 Jun,YouGov,,GB,1650,19%,41%,11%,3%,7%,16%,4% Plaid Cymru on 1% Other on 3%,22,5–6 Jun 2024,2024-06-06
5–6 Jun,Techne,,GB,1645,20%,44%,10%,2%,6%,15%,3%,24,5–6 Jun 2024,2024-06-06
5–6 Jun,Survation,,GB,1056,23%,43%,9%,3%,5%,15%,3% Plaid Cymru on 0% Other on 2%,20,5–6 Jun 2024,2024-06-06
5–6 Jun,Redfield & Wilton,,GB,2000,19%,42%,12%,3%,6%,17%,2% Plaid Cymru on 0% Workers Party of Britain on 1% Other on 1%,23,5–6 Jun 2024,2024-06-06
3–6 Jun,Focaldata,,GB,2077,25%,44%,9%,2%,5%,14%,2%,19,3–6 Jun 2024,2024-06-06
4–5 Jun,Norstat,,GB,1005,22%,45%,10%,3%,5%,14%,1% Plaid Cymru on 0% Other on 1%,23,4–5 Jun 2024,2024-06-05
4–5 Jun,BMG,The i,GB,1534,23%,42%,9%,4%,6%,16%,1%,19,4–5 Jun 2024,2024-06-05
3–4 Jun,YouGov[b],Sky News,GB,2144,19%,40%,10%,3%,7%,17%,3% Plaid Cymru on 1% Other on 2%,21,3–4 Jun 2024,2024-06-04
31 May – 4 Jun,Ipsos,,GB,1014,23%,43%,8%,5%,9%,9%,3% Plaid Cymru on 1% Other on 2%,20,31 May – 4 Jun 2024,2024-06-04
3 Jun,Nigel Farage becomes leader of Reform UK,Nigel Farage becomes leader of Reform UK,Nigel Farage becomes leader of Reform UK,Nigel Farage becomes leader of Reform UK,Nigel Farage becomes leader of Reform UK,Nigel Farage becomes leader of Reform UK,Nigel Farage becomes leader of Reform UK,Nigel Farage becomes leader of Reform UK,Nigel Farage becomes leader of Reform UK,Nigel Farage becomes leader of Reform UK,Nigel Farage becomes leader of Reform UK,Nigel Farage becomes leader of Reform UK,3 Jun 2024,2024-06-03
2–3 Jun,PeoplePolling,GB News,GB,1674,22%,46%,8%,3%,8%,10%,3%,24,2–3 Jun 2024,2024-06-03
1–3 Jun,More in Common,,GB,2055,27%,46%,8%,3%,5%,10%,2% Plaid Cymru on 1% Other on 1%,19,1–3 Jun 2024,2024-06-03
31 May – 3 Jun,Deltapoll,,GB,1077,25%,48%,10%,2%,4%,9%,3% Plaid Cymru on 1% Other on 2%,23,31 May – 3 Jun 2024,2024-06-03
30 May – 3 Jun,Verian,,GB,1405,23%,41%,12%,3%,8%,9%,3% Plaid Cymru on 1% UKIP on 0% Other on 2%,18,30 May – 3 Jun 2024,2024-06-03
30 May – 3 Jun,Lord Ashcroft,,GB,5203,23%,47%,6%,2%,6%,11%,4% Plaid Cymru on 1% Other on 3%,24,30 May – 3 Jun 2024,2024-06-03
31 May – 2 Jun,Savanta,The Telegraph,GB,2209,28%,42%,9%,3%,4%,9%,2% Plaid Cymru on 0% Workers Party of Britain on 1% Other on 1%,14,31 May – 2 Jun 2024,2024-06-02
31 May – 2 Jun,JL Partners,The Rest is Politics,GB,2013,26%,43%,11%,3%,3%,12%,1% Plaid Cymru on 0% Other on 0%,17,31 May – 2 Jun 2024,2024-06-02
31 May – 2 Jun,Redfield & Wilton,,GB,10000,20%,46%,10%,2%,5%,14%,2% Plaid Cymru on 0% Workers Party of Britain on 1% Other on 1%,26,31 May – 2 Jun 2024,2024-06-02
22 May – 2 Jun,Survation (MRP),Best for Britain,GB,30044,24%,43%,10%,3%,4%,11%,3% Plaid Cymru on 1% Other on 3%,19,22 May – 2 Jun 2024,2024-06-02
24 May – 1 Jun,YouGov (MRP),Sky News,GB,58875,25%,43%,11%,3%,7%,10%,2%,18,24 May – 1 Jun 2024,2024-06-01
30–31 May,Focaldata,,GB,2626,26%,43%,9%,2%,6%,12%,1% Plaid Cymru on 0% Other on 1% Independent on 1%,17,30–31 May 2024,2024-05-31
30–31 May,We Think,,GB,1328,21%,46%,8%,3%,6%,13%,2% Plaid Cymru on 0% Other on 1% Independent on 1%,25,30–31 May 2024,2024-05-31
29–31 May,Opinium,The Observer,GB,2184,25%,45%,8%,3%,6%,11%,2%,20,29–31 May 2024,2024-05-31
29–30 May,Techne,,GB,1630,21%,45%,11%,2%,6%,12%,3%,24,29–30 May 2024,2024-05-30
29–30 May,YouGov,The Times,GB,2040,21%,46%,8%,2%,6%,15%,3% Plaid Cymru on 1% Others on 2%,25,29–30 May 2024,2024-05-30
29–30 May,Whitestone Insight,Daily Express/Daily Mirror,GB,2024,24%,44%,9%,3%,6%,11%,3% Plaid Cymru on 1% Workers Party of Britain on 1% Other on 1%,20,29–30 May 2024,2024-05-30
28–29 May,BMG,The i,GB,1500,27%,43%,9%,2%,6%,11%,2% Plaid Cymru on 0% Other on 2%,16,28–29 May 2024,2024-05-29
9 Apr – 29 May,More in Common (MRP),,GB,15089,29%,43%,11%,3%,5%,8%,1% Plaid Cymru on 0% Other on 1%,14,9 Apr – 29 May 2024,2024-05-29
27–29 May,More in Common,,GB,2049,26%,45%,9%,2%,5%,11%,1% Plaid Cymru on 0% Other on 1%,19,27–29 May 2024,2024-05-29
26–28 May,YouGov,Sky News,GB,2128,20%,47%,9%,3%,7%,12%,3% Plaid Cymru on 1% Others on 2%,27,26–28 May 2024,2024-05-28
24–28 May,Lord Ashcroft,,GB,4828,24%,47%,6%,3%,8%,11%,2% Plaid Cymru on 0% Others on 2%,23,24–28 May 2024,2024-05-28
25–27 May,Redfield & Wilton,,GB,12000,23%,46%,9%,3%,5%,13%,3% Plaid Cymru on 1% Workers Party of Britain on 1% Other on 1%,23,25–27 May 2024,2024-05-27
24–27 May,Survation,,UK,2040,24%,47%,11%,3%,3%,8%,4% Plaid Cymru on 1% UKIP on 0% Reclaim on 0% Other on 3%,23,24–27 May 2024,2024-05-27
20–27 May,FindOutNow/Electoral Calculus (MRP),Daily Mail,GB,10390,19%,46%,10%,3%,8%,12%,3% Plaid Cymru on 1% Other on 2%,27,20–27 May 2024,2024-05-27
24–26 May,Savanta,The Telegraph,GB,2235,27%,44%,10%,3%,4%,8%,5% Plaid Cymru on 1% Other on 4%,17,24–26 May 2024,2024-05-26
24–25 May,JL Partners,The Rest is Politics,GB,2013,28%,40%,10%,3%,5%,12%,2% Plaid Cymru on 1% Other on 1%,12,24–25 May 2024,2024-05-25
23–25 May,Deltapoll,Mail on Sunday,GB,1517,23%,45%,9%,3%,6%,10%,3% Plaid Cymru on 1% Other on 2%,22,23–25 May 2024,2024-05-25
23–24 May,Opinium,The Observer,GB,2050,27%,41%,10%,2%,7%,10%,1%,14,23–24 May 2024,2024-05-24
23–24 May,YouGov,The Times,GB,2072,22%,44%,9%,3%,6%,14%,1% Plaid Cymru on 0% Other on 1%,22,23–24 May 2024,2024-05-24
23–24 May,We Think,,GB,1242,22%,47%,8%,3%,6%,12%,2%,25,23–24 May 2024,2024-05-24
22–23 May,Techne,,GB,1643,19%,45%,12%,2%,5%,14%,3%,26,22–23 May 2024,2024-05-23
22–23 May,More in Common,,GB,2008,27%,44%,9%,3%,5%,10%,1% Plaid Cymru on 0% Other on 1%,17,22–23 May 2024,2024-05-23
22 May,Rishi Sunak announces that a general election will be held on 4 July 2024,Rishi Sunak announces that a general election will be held on 4 July 2024,Rishi Sunak announces that a general election will be held on 4 July 2024,Rishi Sunak announces that a general election will be held on 4 July 2024,Rishi Sunak announces that a general election will be held on 4 July 2024,Rishi Sunak announces that a general election will be held on 4 July 2024,Rishi Sunak announces that a general election will be held on 4 July 2024,Rishi Sunak announces that a general election will be held on 4 July 2024,Rishi Sunak announces that a general election will be held on 4 July 2024,Rishi Sunak announces that a general election will be held on 4 July 2024,Rishi Sunak announces that a general election will be held on 4 July 2024,Rishi Sunak announces that a general election will be held on 4 July 2024,22 May 2024,2024-05-22
21–22 May,YouGov,The Times,GB,2093,21%,46%,9%,3%,7%,12%,1% Plaid Cymru on 0% Other on 1%,25,21–22 May 2024,2024-05-22
21–22 May,Survation,,UK,1016,27%,48%,8%,3%,2%,8%,4% Plaid Cymru on 1% Reclaim on 1% UKIP on 0% Other on 3%,21,21–22 May 2024,2024-05-22
3–22 May,YouGov,,GB,10108,20%,46%,9%,3%,7%,13%,3% Plaid Cymru on 1% Other on 2%,26,3–22 May 2024,2024-05-22
17–20 May,Deltapoll,,GB,1968,23%,45%,10%,3%,5%,12%,3% Plaid Cymru on 1% UKIP on 1% Other on 1%,22,17–20 May 2024,2024-05-20
19 May,Redfield & Wilton,,GB,3700,23%,45%,10%,2%,5%,12%,1%,22,19 May 2024,2024-05-19
17–19 May,Savanta,The Telegraph,GB,2295,26%,43%,10%,3%,5%,9%,4%,17,17–19 May 2024,2024-05-19
17–19 May,More in Common,,GB,2308,27%,43%,9%,2%,6%,11%,2% Plaid Cymru on 1% Other on 1%,16,17–19 May 2024,2024-05-19
16–17 May,We Think,,GB,1064,23%,46%,8%,2%,8%,11%,2%,23,16–17 May 2024,2024-05-17
15–17 May,Opinium,The Observer,GB,1458,25%,43%,9%,3%,7%,10%,2% Plaid Cymru on 0% Other on 2%,18,15–17 May 2024,2024-05-17
16 May,PeoplePolling,GB News,GB,1476,20%,46%,8%,3%,8%,14%,1% Plaid Cymru on 0% Other on 1%,26,16 May 2024,2024-05-16
15–16 May,Whitestone Insight,Daily Express/Daily Mirror,GB,2024,24%,44%,8%,3%,6%,13%,3% Plaid Cymru on 0% Workers Party of Britain on 1% Other on 2%,20,15–16 May 2024,2024-05-16
15–16 May,YouGov,The Times,GB,1031,20%,47%,9%,3%,8%,11%,2% Plaid Cymru on 1% Other on 1%,27,15–16 May 2024,2024-05-16
15–16 May,Techne,,GB,1641,21%,44%,12%,2%,6%,12%,3%,23,15–16 May 2024,2024-05-16
8–14 May,Ipsos,,GB,1008,20%,41%,11%,3%,11%,9%,5% Plaid Cymru on 1% Other on 4%,21,8–14 May 2024,2024-05-14
10–13 May,Deltapoll,,GB,1031,27%,45%,8%,2%,6%,10%,2% Plaid Cymru on 1% UKIP on 1% Other on 0%,18,10–13 May 2024,2024-05-13
9–13 May,Lord Ashcroft,,GB,5485,22%,45%,8%,3%,8%,11%,3% Plaid Cymru on 0% Other on 3%,23,9–13 May 2024,2024-05-13
12 May,Redfield & Wilton,,GB,3000,21%,42%,12%,3%,6%,15%,1%,21,12 May 2024,2024-05-12
