Dates conducted,Polling organisation/client,Sample size,Con,Lab,Lib,UKIP,Grn,Others,Lead,date_year_appended,end_date
30 Apr,"Question Time featuring David Cameron, Nick Clegg and Ed Miliband broadcast on BBC One;  Ask Nicola Sturgeon, Ask Leanne Wood and Ask Nigel Farage programmes also shown","Question Time featuring David Cameron, Nick Clegg and Ed Miliband broadcast on BBC One;  Ask Nicola Sturgeon, Ask Leanne Wood and Ask Nigel Farage programmes also shown","Question Time featuring David Cameron, Nick Clegg and Ed Miliband broadcast on BBC One;  Ask Nicola Sturgeon, Ask Leanne Wood and Ask Nigel Farage programmes also shown","Question Time featuring David Cameron, Nick Clegg and Ed Miliband broadcast on BBC One;  Ask Nicola Sturgeon, Ask Leanne Wood and Ask Nigel Farage programmes also shown","Question Time featuring David Cameron, Nick Clegg and Ed Miliband broadcast on BBC One;  Ask Nicola Sturgeon, Ask Leanne Wood and Ask Nigel Farage programmes also shown","Question Time featuring David Cameron, Nick Clegg and Ed Miliband broadcast on BBC One;  Ask Nicola Sturgeon, Ask Leanne Wood and Ask Nigel Farage programmes also shown","Question Time featuring David Cameron, Nick Clegg and Ed Miliband broadcast on BBC One;  Ask Nicola Sturgeon, Ask Leanne Wood and Ask Nigel Farage programmes also shown","Question Time featuring David Cameron, Nick Clegg and Ed Miliband broadcast on BBC One;  Ask Nicola Sturgeon, Ask Leanne Wood and Ask Nigel Farage programmes also shown","Question Time featuring David Cameron, Nick Clegg and Ed Miliband broadcast on BBC One;  Ask Nicola Sturgeon, Ask Leanne Wood and Ask Nigel Farage programmes also shown",30 Apr 2015,2015-04-30
29–30 Apr,YouGov/Sun on Sunday,1970,34%,35%,9%,12%,5%,6%,1%,29–30 Apr 2015,2015-04-30
29–30 Apr,Populus,2016,33%,33%,9%,15%,4%,5%,Tie,29–30 Apr 2015,2015-04-30
29–30 Apr,YouGov/The Sun,1729,34%,35%,8%,12%,5%,6%,1%,29–30 Apr 2015,2015-04-30
29–30 Apr,Panelbase,1020,32%,34%,8%,17%,4%,7%,2%,29–30 Apr 2015,2015-04-30
28–30 Apr,"ComRes/Independent on Sunday, Sunday Mirror Archived 14 May 2015 at the Wayback Machine",1002,33%,33%,8%,13%,7%,6%,Tie,28–30 Apr 2015,2015-04-30
28–30 Apr,Opinium/The Observer,1956,35%,34%,8%,13%,5%,5%,1%,28–30 Apr 2015,2015-04-30
28–29 Apr,YouGov/The Sun,1823,35%,34%,9%,12%,4%,6%,1%,28–29 Apr 2015,2015-04-29
26–29 Apr,Ipsos MORI/Evening Standard,1010,35%,30%,8%,10%,8%,9%,5%,26–29 Apr 2015,2015-04-29
27–28 Apr,"ComRes/ITV News, Daily Mail Archived 18 May 2015 at the Wayback Machine",1005,35%,35%,7%,11%,6%,6%,Tie,27–28 Apr 2015,2015-04-28
27–28 Apr,YouGov/The Sun,1749,34%,35%,9%,12%,4%,6%,1%,27–28 Apr 2015,2015-04-28
26–27 Apr,YouGov/The Sun,2127,35%,34%,9%,12%,5%,6%,1%,26–27 Apr 2015,2015-04-27
25–27 Apr,BMG/May2015.com[13],1013,35%,32%,11%,14%,3%,5%,3%,25–27 Apr 2015,2015-04-27
23–27 Apr,TNS,1186,34%,33%,7%,15%,5%,5%,1%,23–27 Apr 2015,2015-04-27
25–26 Apr,YouGov/The Sun,2096,33%,34%,8%,14%,5%,6%,1%,25–26 Apr 2015,2015-04-26
24–26 Apr,Lord Ashcroft,1003,36%,30%,9%,11%,7%,7%,6%,24–26 Apr 2015,2015-04-26
24–26 Apr,ICM/The Guardian,1004,35%,32%,9%,13%,5%,6%,3%,24–26 Apr 2015,2015-04-26
24–26 Apr,Populus,2072,33%,36%,8%,14%,5%,4%,3%,24–26 Apr 2015,2015-04-26
24–25 Apr,YouGov/Sunday Times,2271,32%,34%,9%,14%,6%,5%,2%,24–25 Apr 2015,2015-04-25
24–25 Apr,Survation/Mail on Sunday,1004,33%,30%,9%,18%,4%,6%,3%,24–25 Apr 2015,2015-04-25
23–24 Apr,YouGov/The Sun,1594,33%,35%,8%,13%,6%,5%,2%,23–24 Apr 2015,2015-04-24
21–24 Apr,Opinium/The Observer,1964,34%,33%,9%,13%,6%,5%,1%,21–24 Apr 2015,2015-04-24
22–23 Apr,Populus,2051,32%,35%,8%,14%,5%,6%,3%,22–23 Apr 2015,2015-04-23
22–23 Apr,YouGov/The Sun,1834,33%,35%,8%,13%,6%,6%,2%,22–23 Apr 2015,2015-04-23
22–23 Apr,Survation/Daily Mirror,1205,33%,29%,10%,18%,4%,6%,4%,22–23 Apr 2015,2015-04-23
21–23 Apr,Panelbase,1012,31%,34%,7%,17%,4%,7%,3%,21–23 Apr 2015,2015-04-23
21–22 Apr,"ComRes/ITV News, Daily Mail Archived 30 April 2015 at the Wayback Machine",1003,36%,32%,8%,10%,5%,9%,4%,21–22 Apr 2015,2015-04-22
21–22 Apr,YouGov/The Sun,2060,33%,34%,7%,14%,5%,6%,1%,21–22 Apr 2015,2015-04-22
20–21 Apr,YouGov/The Sun,1799,35%,34%,7%,13%,5%,6%,1%,20–21 Apr 2015,2015-04-21
19–20 Apr,YouGov/The Sun,2078,34%,35%,7%,13%,5%,6%,1%,19–20 Apr 2015,2015-04-20
16–20 Apr,TNS,1199,32%,34%,8%,15%,5%,6%,2%,16–20 Apr 2015,2015-04-20
18–19 Apr,YouGov/The Sun,1675,34%,35%,8%,13%,5%,6%,1%,18–19 Apr 2015,2015-04-19
17–19 Apr,Lord Ashcroft,1002,34%,30%,10%,13%,4%,9%,4%,17–19 Apr 2015,2015-04-19
17–19 Apr,Populus[permanent dead link‍],2048,32%,34%,9%,15%,4%,6%,2%,17–19 Apr 2015,2015-04-19
17–19 Apr,ICM/The Guardian,1003,34%,32%,10%,11%,5%,8%,2%,17–19 Apr 2015,2015-04-19
17–18 Apr,YouGov/Sunday Times,1780,33%,36%,8%,13%,5%,5%,3%,17–18 Apr 2015,2015-04-18
16–17 Apr,Opinium/The Observer,1955,36%,32%,8%,13%,5%,6%,4%,16–17 Apr 2015,2015-04-17
16–17 Apr,YouGov/The Sun,1713,34%,34%,9%,14%,5%,5%,Tie,16–17 Apr 2015,2015-04-17
16–17 Apr,Survation/Daily Mirror,1314,34%,33%,7%,17%,3%,6%,1%,16–17 Apr 2015,2015-04-17
16 Apr,Five-way Opposition Leaders' Debate held on BBC One,Five-way Opposition Leaders' Debate held on BBC One,Five-way Opposition Leaders' Debate held on BBC One,Five-way Opposition Leaders' Debate held on BBC One,Five-way Opposition Leaders' Debate held on BBC One,Five-way Opposition Leaders' Debate held on BBC One,Five-way Opposition Leaders' Debate held on BBC One,Five-way Opposition Leaders' Debate held on BBC One,Five-way Opposition Leaders' Debate held on BBC One,16 Apr 2015,2015-04-16
15–16 Apr,Populus Archived 17 April 2015 at the Wayback Machine,2048,33%,34%,9%,14%,4%,5%,1%,15–16 Apr 2015,2015-04-16
15–16 Apr,YouGov/The Sun,1939,34%,34%,7%,14%,5%,6%,Tie,15–16 Apr 2015,2015-04-16
14–16 Apr,Panelbase,1025,33%,34%,8%,16%,4%,5%,1%,14–16 Apr 2015,2015-04-16
14–15 Apr,YouGov/The Sun,1894,34%,35%,8%,13%,5%,6%,1%,14–15 Apr 2015,2015-04-15
12–15 Apr,Ipsos MORI/Evening Standard,1000,33%,35%,7%,10%,8%,7%,2%,12–15 Apr 2015,2015-04-15
13–14 Apr,YouGov/The Sun,1842,33%,35%,8%,13%,5%,6%,2%,13–14 Apr 2015,2015-04-14
12–13 Apr,YouGov/The Sun,2444,33%,34%,8%,13%,6%,5%,1%,12–13 Apr 2015,2015-04-13
9–13 Apr,TNS,1192,34%,32%,9%,14%,5%,6%,2%,9–13 Apr 2015,2015-04-13
11–12 Apr,YouGov/The Sun,1717,33%,36%,7%,13%,5%,6%,3%,11–12 Apr 2015,2015-04-12
10–12 Apr,Lord Ashcroft,1003,33%,33%,9%,13%,6%,8%,Tie,10–12 Apr 2015,2015-04-12
10–12 Apr,ICM/The Guardian,1042,39%,33%,8%,7%,7%,5%,6%,10–12 Apr 2015,2015-04-12
10–12 Apr,Populus[permanent dead link‍],2036,33%,33%,8%,15%,5%,6%,Tie,10–12 Apr 2015,2015-04-12
10–11 Apr,YouGov/Sunday Times,1887,34%,34%,7%,13%,6%,6%,Tie,10–11 Apr 2015,2015-04-11
9–10 Apr,YouGov/The Sun,1782,33%,35%,8%,13%,5%,5%,2%,9–10 Apr 2015,2015-04-10
8–9 Apr,Opinium/The Observer,1916,36%,34%,7%,11%,6%,6%,2%,8–9 Apr 2015,2015-04-09
8–9 Apr,Populus,2020,31%,33%,8%,16%,6%,7%,2%,8–9 Apr 2015,2015-04-09
8–9 Apr,YouGov/The Sun,1938,35%,34%,8%,12%,4%,6%,1%,8–9 Apr 2015,2015-04-09
8–9 Apr,Survation/Daily Mirror,1111,31%,35%,9%,15%,4%,6%,4%,8–9 Apr 2015,2015-04-09
7–9 Apr,Panelbase,1013,31%,37%,8%,16%,4%,4%,6%,7–9 Apr 2015,2015-04-09
7–8 Apr,"ComRes/ITV News, Daily Mail Archived 16 April 2015 at the Wayback Machine",1013,34%,33%,12%,12%,4%,6%,1%,7–8 Apr 2015,2015-04-08
7–8 Apr,YouGov/The Sun,1871,34%,35%,8%,13%,5%,5%,1%,7–8 Apr 2015,2015-04-08
6–7 Apr,YouGov/The Sun,1672,33%,35%,8%,14%,5%,5%,2%,6–7 Apr 2015,2015-04-07
2–7 Apr,TNS,1207,30%,33%,8%,19%,4%,7%,3%,2–7 Apr 2015,2015-04-07
2–6 Apr,Populus,2008,31%,33%,10%,15%,4%,7%,2%,2–6 Apr 2015,2015-04-06
3–4 Apr,YouGov/Sunday Times,1906,34%,33%,10%,13%,4%,6%,1%,3–4 Apr 2015,2015-04-04
2–3 Apr,Opinium/The Observer,1974,33%,33%,7%,14%,7%,5%,Tie,2–3 Apr 2015,2015-04-03
2–3 Apr,Survation/Daily Mirror,1207,31%,33%,9%,18%,3%,6%,2%,2–3 Apr 2015,2015-04-03
2 Apr,Seven-way Leaders' Debate on ITV,Seven-way Leaders' Debate on ITV,Seven-way Leaders' Debate on ITV,Seven-way Leaders' Debate on ITV,Seven-way Leaders' Debate on ITV,Seven-way Leaders' Debate on ITV,Seven-way Leaders' Debate on ITV,Seven-way Leaders' Debate on ITV,Seven-way Leaders' Debate on ITV,2 Apr 2015,2015-04-02
1–2 Apr,YouGov/The Sun,1583,37%,35%,7%,12%,5%,4%,2%,1–2 Apr 2015,2015-04-02
31 Mar–2 Apr,Panelbase,1006,33%,33%,7%,17%,5%,5%,Tie,31 Mar–2 Apr 2015,2015-04-02
31 Mar–1 Apr,Populus,2057,32%,34%,9%,15%,5%,5%,2%,31 Mar–1 Apr 2015,2015-04-01
31 Mar–1 Apr,YouGov/The Sun,1678,36%,34%,8%,13%,4%,5%,2%,31 Mar–1 Apr 2015,2015-04-01
30–31 Mar,YouGov/The Sun,1566,35%,36%,7%,12%,5%,5%,1%,30–31 Mar 2015,2015-03-31
30 Mar,Dissolution of Parliament and the official start of the election campaign,Dissolution of Parliament and the official start of the election campaign,Dissolution of Parliament and the official start of the election campaign,Dissolution of Parliament and the official start of the election campaign,Dissolution of Parliament and the official start of the election campaign,Dissolution of Parliament and the official start of the election campaign,Dissolution of Parliament and the official start of the election campaign,Dissolution of Parliament and the official start of the election campaign,Dissolution of Parliament and the official start of the election campaign,30 Mar 2015,2015-03-30
29–30 Mar,YouGov/The Sun,2001,35%,35%,8%,12%,5%,5%,Tie,29–30 Mar 2015,2015-03-30
26–30 Mar,TNS,1197,33%,32%,8%,16%,5%,7%,1%,26–30 Mar 2015,2015-03-30
28–29 Mar,"ComRes/ITV News, Daily Mail Archived 19 September 2015 at the Wayback Machine",1005,36%,32%,9%,12%,5%,7%,4%,28–29 Mar 2015,2015-03-29
27–29 Mar,Lord Ashcroft,1004,36%,34%,6%,10%,7%,6%,2%,27–29 Mar 2015,2015-03-29
27–29 Mar,Populus,2004,34%,34%,8%,15%,4%,5%,Tie,27–29 Mar 2015,2015-03-29
27–28 Mar,YouGov/Sunday Times,1799,32%,36%,8%,13%,6%,5%,4%,27–28 Mar 2015,2015-03-28
26 Mar,First TV election interview by Jeremy Paxman with David Cameron and Ed Miliband on Sky and Channel 4,First TV election interview by Jeremy Paxman with David Cameron and Ed Miliband on Sky and Channel 4,First TV election interview by Jeremy Paxman with David Cameron and Ed Miliband on Sky and Channel 4,First TV election interview by Jeremy Paxman with David Cameron and Ed Miliband on Sky and Channel 4,First TV election interview by Jeremy Paxman with David Cameron and Ed Miliband on Sky and Channel 4,First TV election interview by Jeremy Paxman with David Cameron and Ed Miliband on Sky and Channel 4,First TV election interview by Jeremy Paxman with David Cameron and Ed Miliband on Sky and Channel 4,First TV election interview by Jeremy Paxman with David Cameron and Ed Miliband on Sky and Channel 4,First TV election interview by Jeremy Paxman with David Cameron and Ed Miliband on Sky and Channel 4,26 Mar 2015,2015-03-26
25–26 Mar,Populus,2049,31%,33%,9%,16%,5%,6%,2%,25–26 Mar 2015,2015-03-26
25–26 Mar,YouGov/The Sun,1698,36%,34%,7%,13%,5%,5%,2%,25–26 Mar 2015,2015-03-26
24–26 Mar,Panelbase,1007,34%,34%,5%,15%,6%,6%,Tie,24–26 Mar 2015,2015-03-26
24–25 Mar,Opinium/The Observer,1959,34%,33%,8%,13%,7%,3%,1%,24–25 Mar 2015,2015-03-25
24–25 Mar,YouGov/The Sun,1610,34%,35%,8%,12%,6%,5%,1%,24–25 Mar 2015,2015-03-25
24–25 Mar,Survation/Daily Mirror,1007,32%,33%,8%,18%,4%,5%,1%,24–25 Mar 2015,2015-03-25
23–24 Mar,YouGov/The Sun,2006,35%,35%,8%,12%,6%,4%,Tie,23–24 Mar 2015,2015-03-24
22–23 Mar,YouGov/The Sun,1641,34%,34%,8%,12%,6%,5%,Tie,22–23 Mar 2015,2015-03-23
18–23 Mar,YouGov/The Times,8271,34%,33%,8%,14%,5%,6%,1%,18–23 Mar 2015,2015-03-23
20–22 Mar,"ComRes/ITV News, Daily Mail Archived 2 April 2015 at the Wayback Machine",1001,35%,35%,8%,10%,7%,6%,Tie,20–22 Mar 2015,2015-03-22
20–22 Mar,Lord Ashcroft,1003,33%,33%,8%,12%,5%,9%,Tie,20–22 Mar 2015,2015-03-22
20–22 Mar,Populus,2035,31%,33%,9%,16%,5%,5%,2%,20–22 Mar 2015,2015-03-22
20–21 Mar,Survation/Mail on Sunday,1008,30%,34%,10%,17%,3%,6%,4%,20–21 Mar 2015,2015-03-21
19–20 Mar,YouGov/Sunday Times,1532,33%,35%,8%,14%,5%,5%,2%,19–20 Mar 2015,2015-03-20
18–19 Mar,Opinium/The Observer,1979,36%,33%,7%,14%,6%,4%,3%,18–19 Mar 2015,2015-03-19
18–19 Mar,Populus Archived 2 April 2015 at the Wayback Machine,2020,31%,34%,9%,17%,5%,4%,3%,18–19 Mar 2015,2015-03-19
18–19 Mar,YouGov/The Sun,2293,35%,33%,8%,13%,6%,5%,2%,18–19 Mar 2015,2015-03-19
17–18 Mar,YouGov/The Sun,1752,33%,34%,8%,14%,6%,5%,1%,17–18 Mar 2015,2015-03-18
16–17 Mar,YouGov/The Sun,1830,34%,36%,7%,12%,6%,5%,2%,16–17 Mar 2015,2015-03-17
15–16 Mar,YouGov/The Sun,1683,33%,35%,7%,13%,7%,5%,2%,15–16 Mar 2015,2015-03-16
13–16 Mar,TNS,1188,33%,32%,7%,17%,4%,7%,1%,13–16 Mar 2015,2015-03-16
13–15 Mar,Lord Ashcroft,1002,31%,29%,8%,15%,8%,9%,2%,13–15 Mar 2015,2015-03-15
13–15 Mar,ICM/The Guardian,1001,36%,35%,8%,9%,4%,8%,1%,13–15 Mar 2015,2015-03-15
13–15 Mar,Populus,2041,34%,34%,8%,15%,5%,5%,Tie,13–15 Mar 2015,2015-03-15
12–13 Mar,YouGov/Sunday Times,1669,34%,34%,7%,14%,5%,6%,Tie,12–13 Mar 2015,2015-03-13
11–13 Mar,"ComRes/Sunday Mirror, Independent on Sunday Archived 22 March 2015 at the Wayback Machine",2002,33%,35%,7%,16%,4%,5%,2%,11–13 Mar 2015,2015-03-13
11–12 Mar,Populus,2041,29%,32%,8%,18%,6%,7%,3%,11–12 Mar 2015,2015-03-12
11–12 Mar,YouGov/The Sun,1619,33%,32%,7%,16%,6%,6%,1%,11–12 Mar 2015,2015-03-12
10–12 Mar,Opinium/The Observer,1947,33%,35%,7%,14%,7%,5%,2%,10–12 Mar 2015,2015-03-12
10–11 Mar,YouGov/The Sun,1728,34%,35%,7%,14%,5%,5%,1%,10–11 Mar 2015,2015-03-11
8–11 Mar,Ipsos MORI/Evening Standard,1025,33%,34%,8%,13%,6%,6%,1%,8–11 Mar 2015,2015-03-11
9–10 Mar,YouGov/The Sun,1598,33%,31%,8%,15%,6%,6%,2%,9–10 Mar 2015,2015-03-10
8–9 Mar,YouGov/The Sun,1745,35%,31%,8%,14%,6%,6%,4%,8–9 Mar 2015,2015-03-09
6–8 Mar,Lord Ashcroft,1003,34%,30%,5%,15%,8%,7%,4%,6–8 Mar 2015,2015-03-08
6–8 Mar,Populus,2026,32%,33%,9%,15%,6%,6%,1%,6–8 Mar 2015,2015-03-08
5–6 Mar,YouGov/Sunday Times,1754,34%,33%,8%,15%,5%,5%,1%,5–6 Mar 2015,2015-03-06
3–6 Mar,Opinium/The Observer,1961,34%,34%,8%,14%,7%,5%,Tie,3–6 Mar 2015,2015-03-06
4–5 Mar,Populus Archived 2 April 2015 at the Wayback Machine,2063,31%,33%,8%,16%,5%,5%,2%,4–5 Mar 2015,2015-03-05
4–5 Mar,YouGov/The Sun,1748,31%,35%,6%,15%,8%,4%,4%,4–5 Mar 2015,2015-03-05
3–4 Mar,YouGov/The Sun,1544,34%,34%,8%,14%,6%,4%,Tie,3–4 Mar 2015,2015-03-04
2–3 Mar,YouGov/The Sun,1701,36%,34%,5%,14%,6%,5%,2%,2–3 Mar 2015,2015-03-03
1–2 Mar,YouGov/The Sun,1866,35%,32%,7%,15%,6%,5%,3%,1–2 Mar 2015,2015-03-02
27 Feb–1 Mar,Lord Ashcroft,1003,34%,31%,7%,14%,7%,8%,3%,27 Feb–1 Mar 2015,2015-03-01
27 Feb–1 Mar,Populus,2056,32%,34%,8%,14%,5%,7%,2%,27 Feb–1 Mar 2015,2015-03-01
26–27 Feb,YouGov/Sunday Times,1959,34%,34%,8%,14%,5%,5%,Tie,26–27 Feb 2015,2015-02-27
25–27 Feb,Populus Archived 27 February 2015 at the Wayback Machine,2005,31%,33%,9%,16%,6%,5%,2%,25–27 Feb 2015,2015-02-27
25–26 Feb,YouGov/The Sun,1638,33%,34%,8%,13%,6%,6%,1%,25–26 Feb 2015,2015-02-26
24–26 Feb,Opinium/The Observer,1948,34%,35%,6%,14%,6%,6%,1%,24–26 Feb 2015,2015-02-26
24–25 Feb,YouGov/The Sun,1581,33%,33%,8%,15%,6%,5%,Tie,24–25 Feb 2015,2015-02-25
23–24 Feb,YouGov/The Sun,1520,35%,33%,6%,14%,7%,5%,2%,23–24 Feb 2015,2015-02-24
23 Feb,Survation/Daily Mirror,1046,28%,34%,10%,19%,4%,5%,6%,23 Feb 2015,2015-02-23
22–23 Feb,YouGov/The Sun,1772,33%,33%,8%,13%,7%,5%,Tie,22–23 Feb 2015,2015-02-23
20–23 Feb,ComRes/Daily Mail Archived 24 February 2015 at the Wayback Machine,1004,34%,32%,8%,13%,8%,6%,2%,20–23 Feb 2015,2015-02-23
20–22 Feb,Lord Ashcroft,1004,32%,36%,7%,11%,8%,6%,4%,20–22 Feb 2015,2015-02-22
20–22 Feb,Populus,2059,32%,32%,9%,15%,6%,6%,Tie,20–22 Feb 2015,2015-02-22
19–20 Feb,YouGov/Sunday Times,1568,33%,34%,8%,13%,6%,6%,1%,19–20 Feb 2015,2015-02-20
17–20 Feb,Opinium/The Observer,1975,35%,33%,6%,15%,7%,5%,2%,17–20 Feb 2015,2015-02-20
18–19 Feb,Populus,2011,31%,32%,9%,17%,6%,5%,1%,18–19 Feb 2015,2015-02-19
18–19 Feb,YouGov/The Sun,1564,32%,33%,9%,15%,6%,5%,1%,18–19 Feb 2015,2015-02-19
17–18 Feb,YouGov/The Sun,1743,32%,34%,8%,14%,6%,5%,2%,17–18 Feb 2015,2015-02-18
16–17 Feb,YouGov/The Sun,1548,33%,34%,6%,15%,7%,5%,1%,16–17 Feb 2015,2015-02-17
15–16 Feb,YouGov/The Sun,1580,32%,32%,6%,16%,8%,5%,Tie,15–16 Feb 2015,2015-02-16
12–16 Feb,TNS,1193,28%,35%,6%,18%,7%,6%,7%,12–16 Feb 2015,2015-02-16
13–15 Feb,Lord Ashcroft,1004,30%,31%,9%,16%,8%,6%,1%,13–15 Feb 2015,2015-02-15
13–15 Feb,Populus,2012,31%,33%,10%,15%,5%,5%,2%,13–15 Feb 2015,2015-02-15
13–15 Feb,ICM/The Guardian,1000,36%,32%,10%,9%,7%,7%,4%,13–15 Feb 2015,2015-02-15
12–13 Feb,YouGov/Sunday Times,1620,32%,35%,7%,15%,7%,5%,3%,12–13 Feb 2015,2015-02-13
11–12 Feb,"ComRes/Sunday Mirror, Independent on Sunday Archived 14 February 2015 at the Wayback Machine",2017,32%,34%,7%,16%,4%,7%,2%,11–12 Feb 2015,2015-02-12
11–12 Feb,Populus,2055,31%,34%,9%,14%,6%,6%,3%,11–12 Feb 2015,2015-02-12
11–12 Feb,YouGov/The Sun,1592,31%,34%,7%,15%,7%,6%,3%,11–12 Feb 2015,2015-02-12
10–12 Feb,Opinium/The Observer,1969,33%,35%,8%,14%,6%,6%,2%,10–12 Feb 2015,2015-02-12
10–11 Feb,YouGov/The Sun,1764,32%,33%,7%,15%,7%,6%,1%,10–11 Feb 2015,2015-02-11
9–10 Feb,YouGov/The Sun,1677,33%,35%,6%,13%,8%,5%,2%,9–10 Feb 2015,2015-02-10
8–10 Feb,Ipsos MORI/Evening Standard,1010,34%,36%,6%,9%,7%,8%,2%,8–10 Feb 2015,2015-02-10
8–9 Feb,YouGov/The Sun,1552,34%,33%,7%,14%,7%,6%,1%,8–9 Feb 2015,2015-02-09
6–8 Feb,Lord Ashcroft,1003,34%,31%,9%,14%,6%,6%,3%,6–8 Feb 2015,2015-02-08
6–8 Feb,Populus,2003,33%,34%,8%,15%,4%,4%,1%,6–8 Feb 2015,2015-02-08
5–6 Feb,YouGov/Sunday Times,1668,32%,33%,7%,15%,8%,5%,1%,5–6 Feb 2015,2015-02-06
3–6 Feb,Opinium/The Observer,1947,32%,34%,7%,15%,8%,4%,2%,3–6 Feb 2015,2015-02-06
4–5 Feb,Populus,2056,31%,34%,8%,16%,5%,6%,3%,4–5 Feb 2015,2015-02-05
4–5 Feb,YouGov/The Sun,1719,32%,33%,9%,15%,5%,5%,1%,4–5 Feb 2015,2015-02-05
3–4 Feb,YouGov/The Sun,1749,34%,33%,6%,13%,7%,7%,1%,3–4 Feb 2015,2015-02-04
2–3 Feb,YouGov/The Sun,1705,33%,33%,7%,14%,7%,5%,Tie,2–3 Feb 2015,2015-02-03
1–2 Feb,YouGov/The Sun,1630,33%,35%,7%,14%,6%,5%,2%,1–2 Feb 2015,2015-02-02
30 Jan–2 Feb,Populus,2040,31%,34%,8%,14%,5%,6%,3%,30 Jan–2 Feb 2015,2015-02-02
29 Jan–2 Feb,TNS,1182,27%,33%,6%,18%,8%,8%,6%,29 Jan–2 Feb 2015,2015-02-02
30 Jan–1 Feb,Lord Ashcroft,1002,31%,31%,8%,15%,9%,6%,Tie,30 Jan–1 Feb 2015,2015-02-01
29–30 Jan,YouGov/Sunday Times,1550,32%,35%,7%,15%,6%,5%,3%,29–30 Jan 2015,2015-01-30
27–30 Jan,Opinium/The Observer,1975,32%,33%,5%,18%,6%,6%,1%,27–30 Jan 2015,2015-01-30
28–29 Jan,Populus,2020,34%,35%,10%,14%,4%,3%,1%,28–29 Jan 2015,2015-01-29
28–29 Jan,YouGov/The Sun,1593,34%,34%,6%,14%,7%,5%,Tie,28–29 Jan 2015,2015-01-29
27–28 Jan,YouGov/The Sun,1548,33%,33%,6%,16%,7%,5%,Tie,27–28 Jan 2015,2015-01-28
26–27 Jan,YouGov/The Sun,1655,34%,33%,7%,14%,7%,5%,1%,26–27 Jan 2015,2015-01-27
25–26 Jan,YouGov/The Sun,1656,34%,33%,6%,15%,7%,5%,1%,25–26 Jan 2015,2015-01-26
