Dates conducted,Pollster,Client,Con,Lab,Lib,Lead,date_year_appended,SDP,SLD,end_date
18 Feb,ICM,Daily Mail,38%,41%,17%,3%,18 Feb 1992,,,1992-02-18
17 Feb,Gallup,The Daily Telegraph,39%,37%,19%,2%,17 Feb 1992,,,1992-02-17
14 Feb,NOP,The Independent,38%,42%,15%,4%,14 Feb 1992,,,1992-02-14
13 Feb,ICM,Sunday Express,40%,39%,16%,1%,13 Feb 1992,,,1992-02-13
11 Feb,Harris,The Observer,39%,40%,15%,1%,11 Feb 1992,,,1992-02-11
8 Feb,Gallup,The Daily Telegraph,40%,37.5%,17.5%,2.5%,8 Feb 1992,,,1992-02-08
7 Feb,ICM,The Guardian,40%,40%,16%,Tie,7 Feb 1992,,,1992-02-07
6 Feb,NOP,The Independent on Sunday,38%,42%,15%,4%,6 Feb 1992,,,1992-02-06
3 Feb,Harris,Daily Express,39%,40%,17%,1%,3 Feb 1992,,,1992-02-03
28 Jan,Gallup,The Daily Telegraph,42.5%,37.5%,14%,5%,28 Jan 1992,,,1992-01-28
26 Jan,Gallup,The Daily Telegraph,38%,39.5%,17.5%,1.5%,26 Jan 1992,,,1992-01-26
25 Jan,Audience Selection,,40%,40%,15%,Tie,25 Jan 1992,,,1992-01-25
23 Jan,ICM,Daily Mail,41%,40%,13%,1%,23 Jan 1992,,,1992-01-23
21 Jan,Harris,Daily Express,41%,40%,14%,1%,21 Jan 1992,,,1992-01-21
21 Jan,Gallup,The Daily Telegraph,40%,38%,16.5%,2%,21 Jan 1992,,,1992-01-21
17 Jan,MORI,The Sunday Times,42%,39%,16%,3%,17 Jan 1992,,,1992-01-17
16 Jan,ICM,Sunday Express,41%,42%,14%,1%,16 Jan 1992,,,1992-01-16
13 Jan,Harris,The Observer,42%,43%,13%,1%,13 Jan 1992,,,1992-01-13
13 Jan,Gallup,The Daily Telegraph,42%,37.5%,16%,4.5%,13 Jan 1992,,,1992-01-13
11 Jan,NOP,The Independent,40%,43%,13%,3%,11 Jan 1992,,,1992-01-11
8 Jan,ICM,The Guardian,42%,41%,12%,1%,8 Jan 1992,,,1992-01-08
8 Jan,NOP,The Independent on Sunday,40%,45%,12%,5%,8 Jan 1992,,,1992-01-08
Survey end date,Pollster,Client,,,,Lead,Survey end date 1991,,,
27 Dec,MORI,The Sunday Times,38%,44%,14%,6%,27 Dec 1991,,,1991-12-27
15 Dec,Gallup,The Sunday Telegraph,42%,41.5%,13%,0.5%,15 Dec 1991,,,1991-12-15
13 Dec,NOP,The Independent on Sunday,41%,40%,14%,1%,13 Dec 1991,,,1991-12-13
7 Dec,ICM,The Guardian,39%,42%,14%,3%,7 Dec 1991,,,1991-12-07
5 Dec,MORI,The Times,40%,43%,12%,3%,5 Dec 1991,,,1991-12-05
2 Dec,Gallup,The Daily Telegraph,39.5%,37%,19%,2.5%,2 Dec 1991,,,1991-12-02
2 Dec,Audience Selection,,39%,40%,16%,1%,2 Dec 1991,,,1991-12-02
25 Nov,MORI,The Sunday Times,40%,42%,15%,2%,25 Nov 1991,,,1991-11-25
25 Nov,NOP,The Independent,40%,41%,15%,1%,25 Nov 1991,,,1991-11-25
23 Nov,MORI,The Sunday Times,41%,43%,13%,2%,23 Nov 1991,,,1991-11-23
23 Nov,ICM,Daily Mail,39%,41%,16%,2%,23 Nov 1991,,,1991-11-23
14 Nov,Harris,The Observer,39%,44%,13%,5%,14 Nov 1991,,,1991-11-14
9 Nov,ICM,The Guardian,41%,43%,13%,2%,9 Nov 1991,,,1991-11-09
7 Nov,"Hemsworth, Kincardine and Deeside and Langbaurgh by-elections","Hemsworth, Kincardine and Deeside and Langbaurgh by-elections","Hemsworth, Kincardine and Deeside and Langbaurgh by-elections","Hemsworth, Kincardine and Deeside and Langbaurgh by-elections","Hemsworth, Kincardine and Deeside and Langbaurgh by-elections","Hemsworth, Kincardine and Deeside and Langbaurgh by-elections",7 Nov 1991,,,1991-11-07
4 Nov,Gallup,The Daily Telegraph,36%,44%,15.5%,8%,4 Nov 1991,,,1991-11-04
1 Nov,MORI,The Sunday Times,42%,41%,13%,1%,1 Nov 1991,,,1991-11-01
28 Oct,Audience Selection,,37%,42%,16%,5%,28 Oct 1991,,,1991-10-28
27 Oct,Harris,The Observer,39%,45%,12%,6%,27 Oct 1991,,,1991-10-27
26 Oct,ICM,Daily Mail,40%,42%,13%,2%,26 Oct 1991,,,1991-10-26
21 Oct,MORI,The Sunday Times,39%,45%,12%,6%,21 Oct 1991,,,1991-10-21
21 Oct,NOP,The Independent,39%,45%,12%,6%,21 Oct 1991,,,1991-10-21
17 Oct,Harris,The Observer,39%,46%,12%,7%,17 Oct 1991,,,1991-10-17
12 Oct,ICM,The Guardian,41%,43%,12%,2%,12 Oct 1991,,,1991-10-12
5 Oct,NOP,The Independent on Sunday,39%,46%,13%,7%,5 Oct 1991,,,1991-10-05
4 Oct,Gallup,The Daily Telegraph,39.5%,41.5%,15%,2%,4 Oct 1991,,,1991-10-04
3 Oct,ICM,Press Association,40%,42%,13%,2%,3 Oct 1991,,,1991-10-03
30 Sep,Gallup,The Daily Telegraph,42%,38%,15%,4%,30 Sep 1991,,,1991-09-30
30 Sep,Audience Selection,,41%,37%,14%,4%,30 Sep 1991,,,1991-09-30
28 Sep,ICM,Daily Mail,40%,42%,14%,2%,28 Sep 1991,,,1991-09-28
26 Sep,Harris,The Observer,40%,41%,13%,1%,26 Sep 1991,,,1991-09-26
26 Sep,NOP,The Mail on Sunday,40%,39%,16%,1%,26 Sep 1991,,,1991-09-26
24 Sep,MORI,The Sunday Times,39%,39%,17%,Tie,24 Sep 1991,,,1991-09-24
23 Sep,Gallup,The Sunday Telegraph,40%,38.5%,16%,1.5%,23 Sep 1991,,,1991-09-23
23 Sep,NOP,The Independent,39%,42%,14%,3%,23 Sep 1991,,,1991-09-23
20 Sep,MORI,,39%,43%,14%,4%,20 Sep 1991,,,1991-09-20
14 Sep,ICM,The Guardian,39%,39%,17%,Tie,14 Sep 1991,,,1991-09-14
13 Sep,ICM,Sunday Express,41%,37%,17%,4%,13 Sep 1991,,,1991-09-13
12 Sep,Harris,The Observer,43%,38%,16%,5%,12 Sep 1991,,,1991-09-12
7 Sep,NOP,The Independent on Sunday,41%,39%,15%,2%,7 Sep 1991,,,1991-09-07
2 Sep,Gallup,The Daily Telegraph,39.5%,35%,19.5%,4.5%,2 Sep 1991,,,1991-09-02
27 Aug,MORI,The Sunday Times,42%,40%,14%,2%,27 Aug 1991,,,1991-08-27
24 Aug,ICM,Daily Mail,40%,43%,12%,3%,24 Aug 1991,,,1991-08-24
19 Aug,NOP,The Independent,38%,44%,12%,6%,19 Aug 1991,,,1991-08-19
15 Aug,Harris,The Observer,40%,41%,14%,1%,15 Aug 1991,,,1991-08-15
10 Aug,ICM,The Guardian,36%,45%,16%,9%,10 Aug 1991,,,1991-08-10
5 Aug,Gallup,The Daily Telegraph,36%,41%,16.5%,5%,5 Aug 1991,,,1991-08-05
1 Aug,Audience Selection,,39%,40%,15%,1%,1 Aug 1991,,,1991-08-01
29 Jul,Audience Selection,,35%,43%,15%,8%,29 Jul 1991,,,1991-07-29
24 Jul,ICM,Daily Express,38%,44%,13%,6%,24 Jul 1991,,,1991-07-24
22 Jul,MORI,,38%,43%,15%,5%,22 Jul 1991,,,1991-07-22
20 Jul,ICM,Daily Mail,37%,44%,16%,7%,20 Jul 1991,,,1991-07-20
18 Jul,Harris,The Observer,39%,42%,14%,3%,18 Jul 1991,,,1991-07-18
15 Jul,NOP,The Independent,39%,43%,13%,4%,15 Jul 1991,,,1991-07-15
6 Jul,ICM,The Guardian,37%,43%,16%,6%,6 Jul 1991,,,1991-07-06
4 Jul,Liverpool Walton by-election,Liverpool Walton by-election,Liverpool Walton by-election,Liverpool Walton by-election,Liverpool Walton by-election,Liverpool Walton by-election,4 Jul 1991,,,1991-07-04
1 Jul,Gallup,The Daily Telegraph,37%,40.5%,17%,3.5%,1 Jul 1991,,,1991-07-01
27 Jun,NOP,The Mail on Sunday,41%,42%,13%,1%,27 Jun 1991,,,1991-06-27
24 Jun,MORI,,39%,41%,15%,2%,24 Jun 1991,,,1991-06-24
21 Jun,ICM,Daily Mail,35%,44%,17%,9%,21 Jun 1991,,,1991-06-21
21 Jun,MORI,Sunday Express,39%,38%,17%,1%,21 Jun 1991,,,1991-06-21
17 Jun,NOP,The Independent,37%,45%,14%,8%,17 Jun 1991,,,1991-06-17
13 Jun,Harris,The Observer,35%,45%,16%,10%,13 Jun 1991,,,1991-06-13
8 Jun,ICM,The Guardian,34%,44%,17%,10%,8 Jun 1991,,,1991-06-08
3 Jun,Gallup,The Daily Telegraph,33.5%,41.5%,21%,8%,3 Jun 1991,,,1991-06-03
2 Jun,Harris,TV-AM,36%,43%,15%,7%,2 Jun 1991,,,1991-06-02
1 Jun,NMR,The Independent on Sunday,37%,43%,16%,6%,1 Jun 1991,,,1991-06-01
1 Jun,Audience Selection,,41%,42%,13%,1%,1 Jun 1991,,,1991-06-01
28 May,MORI,The Sunday Times,37%,43%,16%,6%,28 May 1991,,,1991-05-28
25 May,ICM,Daily Mail,37%,41%,16%,4%,25 May 1991,,,1991-05-25
20 May,NOP,The Independent,36%,44%,15%,8%,20 May 1991,,,1991-05-20
18 May,Audience Selection,,39%,39%,19%,Tie,18 May 1991,,,1991-05-18
16 May,Harris,The Observer,38%,42%,16%,4%,16 May 1991,,,1991-05-16
16 May,Monmouth by-election,Monmouth by-election,Monmouth by-election,Monmouth by-election,Monmouth by-election,Monmouth by-election,16 May 1991,,,1991-05-16
11 May,ICM,The Guardian,37%,43%,16%,6%,11 May 1991,,,1991-05-11
6 May,Gallup,The Daily Telegraph,38.5%,38%,18%,0.5%,6 May 1991,,,1991-05-06
2 May,1991 local elections[5],1991 local elections[5],1991 local elections[5],1991 local elections[5],1991 local elections[5],1991 local elections[5],2 May 1991,,,1991-05-02
29 Apr,Audience Selection,,43%,38%,14%,5%,29 Apr 1991,,,1991-04-29
27 Apr,NMR,The Independent on Sunday,47%,37%,14%,10%,27 Apr 1991,,,1991-04-27
27 Apr,ICM,Daily Mail,39%,41%,14%,2%,27 Apr 1991,,,1991-04-27
26 Apr,Harris,Sunday Express,41%,41%,14%,Tie,26 Apr 1991,,,1991-04-26
26 Apr,Gallup,The Sunday Telegraph,42%,39%,14%,3%,26 Apr 1991,,,1991-04-26
22 Apr,MORI,The Sunday Times,42%,40%,15%,2%,22 Apr 1991,,,1991-04-22
22 Apr,NOP,The Independent,41%,41%,13%,Tie,22 Apr 1991,,,1991-04-22
18 Apr,Harris,The Observer,40%,40%,14%,Tie,18 Apr 1991,,,1991-04-18
6 Apr,ICM,The Guardian,39%,43%,13%,4%,6 Apr 1991,,,1991-04-06
4 Apr,Neath by-election,Neath by-election,Neath by-election,Neath by-election,Neath by-election,Neath by-election,4 Apr 1991,,,1991-04-04
3 Apr,ICM,Daily Express,38%,40%,19%,2%,3 Apr 1991,,,1991-04-03
30 Mar,Gallup,The Daily Telegraph,39.5%,34.5%,18%,5%,30 Mar 1991,,,1991-03-30
25 Mar,MORI,The Sunday Times,40%,40%,16%,Tie,25 Mar 1991,,,1991-03-25
24 Mar,ICM,Daily Mail,41%,40%,15%,1%,24 Mar 1991,,,1991-03-24
22 Mar,MORI,Sunday Express,38%,44%,15%,6%,22 Mar 1991,,,1991-03-22
21 Mar,ICM,Daily Express,37%,40%,14%,3%,21 Mar 1991,,,1991-03-21
14 Mar,Harris,The Observer,40%,39%,17%,1%,14 Mar 1991,,,1991-03-14
12 Mar,Audience Selection,,44%,32%,19%,12%,12 Mar 1991,,,1991-03-12
11 Mar,NOP,The Independent,38%,39%,18%,1%,11 Mar 1991,,,1991-03-11
9 Mar,ICM,The Guardian,39%,40%,16%,1%,9 Mar 1991,,,1991-03-09
8 Mar,MORI,Sunday Express,41%,37%,16%,4%,8 Mar 1991,,,1991-03-08
7 Mar,Ribble Valley by-election,Ribble Valley by-election,Ribble Valley by-election,Ribble Valley by-election,Ribble Valley by-election,Ribble Valley by-election,7 Mar 1991,,,1991-03-07
5 Mar,NOP,,43%,38%,11%,5%,5 Mar 1991,,,1991-03-05
4 Mar,Harris,The Observer,47%,39%,9%,8%,4 Mar 1991,,,1991-03-04
1 Mar,Gallup,The Daily Telegraph,45%,36.5%,13%,8.5%,1 Mar 1991,,,1991-03-01
25 Feb,MORI,The Sunday Times,44%,41%,11%,3%,25 Feb 1991,,,1991-02-25
23 Feb,ICM,Daily Mail,44%,43%,9%,1%,23 Feb 1991,,,1991-02-23
16 Feb,NMR,The Independent on Sunday,47%,40%,8%,7%,16 Feb 1991,,,1991-02-16
14 Feb,Harris,The Observer,46%,42%,8%,4%,14 Feb 1991,,,1991-02-14
13 Feb,NOP,The Independent,45%,42%,9%,3%,13 Feb 1991,,,1991-02-13
9 Feb,ICM,The Guardian,44%,42%,9%,2%,9 Feb 1991,,,1991-02-09
4 Feb,Gallup,The Daily Telegraph,42%,42.5%,10%,0.5%,4 Feb 1991,,,1991-02-04
4 Feb,Audience Selection,,46%,39%,8%,7%,4 Feb 1991,,,1991-02-04
3 Feb,Harris,The Observer,47%,39%,9%,8%,3 Feb 1991,,,1991-02-03
28 Jan,Audience Selection,,51%,34%,8%,17%,28 Jan 1991,,,1991-01-28
21 Jan,MORI,The Sunday Times,46%,41%,9%,5%,21 Jan 1991,,,1991-01-21
17 Jan,Harris,The Observer,46%,41%,9%,5%,17 Jan 1991,,,1991-01-17
14 Jan,NOP,The Independent,43%,44%,8%,1%,14 Jan 1991,,,1991-01-14
12 Jan,ICM,The Guardian,43%,43%,10%,Tie,12 Jan 1991,,,1991-01-12
11 Jan,Harris,ITN,47%,41%,7%,6%,11 Jan 1991,,,1991-01-11
10 Jan,MORI,The Times,44%,42%,11%,2%,10 Jan 1991,,,1991-01-10
7 Jan,Gallup,The Daily Telegraph,43%,41.5%,10%,1.5%,7 Jan 1991,,,1991-01-07
6 Jan,Audience Selection,,39%,43%,11%,4%,6 Jan 1991,,,1991-01-06
Survey end date,Pollster,Client,,,,Lead,Survey end date 1990,,,
28 Dec,MORI,The Sunday Times,41%,45%,9%,4%,28 Dec 1990,–,,1990-12-28
13 Dec,Harris,The Observer,44%,40%,10%,4%,13 Dec 1990,–,,1990-12-13
10 Dec,Gallup,The Daily Telegraph,43%,40.5%,10.5%,2.5%,10 Dec 1990,–,,1990-12-10
10 Dec,NOP,The Independent,47%,42%,7%,5%,10 Dec 1990,–,,1990-12-10
8 Dec,ICM,The Guardian,45%,43%,9%,2%,8 Dec 1990,–,,1990-12-08
3 Dec,Audience Selection,,49%,36%,9%,13%,3 Dec 1990,–,,1990-12-03
1 Dec,NMR,The Independent on Sunday,48%,40%,8%,8%,1 Dec 1990,–,,1990-12-01
29 Nov,Paisley North & Paisley South by-elections,Paisley North & Paisley South by-elections,Paisley North & Paisley South by-elections,Paisley North & Paisley South by-elections,Paisley North & Paisley South by-elections,Paisley North & Paisley South by-elections,29 Nov 1990,Paisley North & Paisley South by-elections,,1990-11-29
28 Nov,Harris,ITN,49%,38%,9%,11%,28 Nov 1990,–,,1990-11-28
27 Nov,John Major is elected leader of the Conservative Party and Prime Minister[6],John Major is elected leader of the Conservative Party and Prime Minister[6],John Major is elected leader of the Conservative Party and Prime Minister[6],John Major is elected leader of the Conservative Party and Prime Minister[6],John Major is elected leader of the Conservative Party and Prime Minister[6],John Major is elected leader of the Conservative Party and Prime Minister[6],27 Nov 1990,John Major is elected leader of the Conservative Party and Prime Minister[6],,1990-11-27
26 Nov,Audience Selection,,44%,37%,12%,7%,26 Nov 1990,–,,1990-11-26
26 Nov,Gallup,The Daily Telegraph,44%,41%,10%,3%,26 Nov 1990,–,,1990-11-26
26 Nov,NOP,The Independent,49%,38%,9%,11%,26 Nov 1990,–,,1990-11-26
23 Nov,Gallup,The Sunday Telegraph,43%,41.5%,11%,1.5%,23 Nov 1990,–,,1990-11-23
23 Nov,ICM,The Sunday Correspondent,46%,40%,10%,6%,23 Nov 1990,–,,1990-11-23
22 Nov,Margaret Thatcher resigns as Prime Minister[7],Margaret Thatcher resigns as Prime Minister[7],Margaret Thatcher resigns as Prime Minister[7],Margaret Thatcher resigns as Prime Minister[7],Margaret Thatcher resigns as Prime Minister[7],Margaret Thatcher resigns as Prime Minister[7],22 Nov 1990,Margaret Thatcher resigns as Prime Minister[7],,1990-11-22
19 Nov,MORI,The Sunday Times,38%,46%,12%,8%,19 Nov 1990,–,,1990-11-19
19 Nov,Gallup,The Daily Telegraph,36%,44.5%,10.5%,8.5%,19 Nov 1990,–,,1990-11-19
19 Nov,NOP,The Independent,40%,45%,11%,5%,19 Nov 1990,–,,1990-11-19
18 Nov,Gallup,The Sunday Telegraph,35%,48%,11%,13%,18 Nov 1990,–,,1990-11-18
17 Nov,NMR,The Independent on Sunday,42%,44%,11%,2%,17 Nov 1990,–,,1990-11-17
16 Nov,MORI,The Sunday Times,37%,48%,11%,11%,16 Nov 1990,–,,1990-11-16
16 Nov,ICM,The Sunday Correspondent,37%,49%,9%,12%,16 Nov 1990,–,,1990-11-16
15 Nov,Harris,ITN,34%,49%,13%,15%,15 Nov 1990,–,,1990-11-15
15 Nov,Harris,The Observer,34%,49%,13%,15%,15 Nov 1990,–,,1990-11-15
15 Nov,MORI,The Times,41%,45%,10%,4%,15 Nov 1990,–,,1990-11-15
14 Nov,NOP,The Independent,32%,46%,15%,14%,14 Nov 1990,–,,1990-11-14
10 Nov,ICM,The Guardian,33%,49%,13%,16%,10 Nov 1990,–,,1990-11-10
8 Nov,Bootle & Bradford North by-elections,Bootle & Bradford North by-elections,Bootle & Bradford North by-elections,Bootle & Bradford North by-elections,Bootle & Bradford North by-elections,Bootle & Bradford North by-elections,8 Nov 1990,Bootle & Bradford North by-elections,,1990-11-08
3 Nov,NMR,The Independent on Sunday,32%,49%,13%,17%,3 Nov 1990,–,,1990-11-03
3 Nov,NOP,The Mail on Sunday,30%,51%,12%,21%,3 Nov 1990,–,,1990-11-03
29 Oct,Audience Selection,,36%,40%,13%,4%,29 Oct 1990,–,,1990-10-29
29 Oct,Gallup,The Daily Telegraph,31.5%,46%,15.5%,14.5%,29 Oct 1990,–,,1990-10-29
28 Oct,Harris,The Observer,32%,48%,14%,16%,28 Oct 1990,–,,1990-10-28
27 Oct,ICM,The Sunday Correspondent,34%,44%,14%,10%,27 Oct 1990,–,,1990-10-27
22 Oct,MORI,The Sunday Times,33%,49%,14%,16%,22 Oct 1990,–,,1990-10-22
22 Oct,NOP,The Independent,35%,45%,15%,10%,22 Oct 1990,–,,1990-10-22
18 Oct,Eastbourne by-election,Eastbourne by-election,Eastbourne by-election,Eastbourne by-election,Eastbourne by-election,Eastbourne by-election,18 Oct 1990,Eastbourne by-election,,1990-10-18
13 Oct,ICM,The Guardian,36%,49%,9%,13%,13 Oct 1990,–,,1990-10-13
1 Oct,Gallup,The Sunday Telegraph,31.5%,46%,14%,14.5%,1 Oct 1990,–,,1990-10-01
29 Sep,NMR,The Independent on Sunday,33%,52%,10%,19%,29 Sep 1990,–,,1990-09-29
27 Sep,Knowsley South by-election,Knowsley South by-election,Knowsley South by-election,Knowsley South by-election,Knowsley South by-election,Knowsley South by-election,27 Sep 1990,Knowsley South by-election,,1990-09-27
24 Sep,MORI,The Sunday Times,38%,45%,12%,7%,24 Sep 1990,–,,1990-09-24
24 Sep,NOP,The Independent,39%,44%,12%,5%,24 Sep 1990,–,,1990-09-24
22 Sep,ICM,The Sunday Correspondent,35%,44%,12%,9%,22 Sep 1990,–,,1990-09-22
20 Sep,Harris,The Observer,38%,46%,10%,8%,20 Sep 1990,–,,1990-09-20
8 Sep,ICM,The Guardian,37%,50%,8%,13%,8 Sep 1990,–,,1990-09-08
8 Sep,Gallup,The Daily Telegraph,31.5%,46%,14%,14.5%,8 Sep 1990,–,,1990-09-08
3 Sep,Gallup,The Daily Telegraph,35.5%,48%,8.5%,12.5%,3 Sep 1990,–,,1990-09-03
3 Sep,Audience Selection,,38%,45%,6%,7%,3 Sep 1990,–,,1990-09-03
1 Sep,Audience Selection,,32%,45%,15%,13%,1 Sep 1990,–,,1990-09-01
25 Aug,ICM,The Sunday Correspondent,37%,51%,6%,14%,25 Aug 1990,–,,1990-08-25
23 Aug,Harris,The Observer,38%,46%,10%,8%,23 Aug 1990,–,,1990-08-23
20 Aug,MORI,The Sunday Times,35%,50%,10%,15%,20 Aug 1990,–,,1990-08-20
13 Aug,NOP,The Independent,36%,48%,7%,12%,13 Aug 1990,–,,1990-08-13
11 Aug,ICM,The Guardian,38%,49%,9%,11%,11 Aug 1990,–,,1990-08-11
30 Jul,Audience Selection,,35%,46%,9%,11%,30 Jul 1990,–,,1990-07-30
30 Jul,Gallup,The Daily Telegraph,33.5%,48%,11.5%,14.5%,30 Jul 1990,–,,1990-07-30
23 Jul,MORI,The Sunday Times,38%,46%,10%,8%,23 Jul 1990,–,,1990-07-23
21 Jul,ICM,The Sunday Correspondent,36%,52%,7%,16%,21 Jul 1990,–,,1990-07-21
19 Jul,Harris,The Observer,37%,49%,7%,12%,19 Jul 1990,–,,1990-07-19
16 Jul,NOP,The Independent,37%,50%,7%,13%,16 Jul 1990,–,,1990-07-16
7 Jul,ICM,The Guardian,35%,51%,8%,16%,7 Jul 1990,–,,1990-07-07
2 Jul,Gallup,The Daily Telegraph,36%,47%,9%,11%,2 Jul 1990,–,,1990-07-02
2 Jul,Audience Selection,,39%,44%,7%,5%,2 Jul 1990,–,,1990-07-02
23 Jun,ICM,The Sunday Correspondent,36%,53%,5%,17%,23 Jun 1990,–,,1990-06-23
21 Jun,Harris,The Observer,37%,48%,8%,11%,21 Jun 1990,–,,1990-06-21
