Pollster,Client,Dates conducted,Sample size,Lab,Con,Lib,Others,Lead,date_year_appended,end_date
Populus,The Times,3–5 Oct,524,36%,28%,27%,9%,8%,3–5 Oct 2003,2003-10-05
YouGov,The Daily Telegraph,23–25 Sep,2306,31%,32%,30%,7%,1%,23–25 Sep 2003,2003-09-25
ICM,The Guardian,19–21 Sep,1002,35%,30%,28%,8%,5%,19–21 Sep 2003,2003-09-21
Populus,The Times,5–6 Sep,511,37%,35%,20%,8%,2%,5–6 Sep 2003,2003-09-06
ICM,The Guardian,15–17 Aug,1001,37%,32%,22%,9%,5%,15–17 Aug 2003,2003-08-17
Populus,The Times,1–3 Aug,564,35%,33%,25%,7%,2%,1–3 Aug 2003,2003-08-03
YouGov,The Daily Telegraph,22–24 Jul,2219,34%,37%,22%,7%,3%,22–24 Jul 2003,2003-07-24
ICM,The Guardian,18–20 Jul,1003,36%,34%,22%,9%,2%,18–20 Jul 2003,2003-07-20
ICM,The Guardian,20–22 Jun,1001,38%,34%,21%,7%,4%,20–22 Jun 2003,2003-06-22
Populus,The Times,13–15 Jun,513,36%,34%,21%,9%,2%,13–15 Jun 2003,2003-06-15
ICM,The Guardian,16–18 May,1000,42%,29%,21%,8%,13%,16–18 May 2003,2003-05-18
Populus,The Times,2–4 Mar,565,35%,34%,23%,8%,1%,2–4 Mar 2003,2003-03-04
YouGov,The Daily Telegraph,22–24 Apr,2390,40%,32%,21%,7%,8%,22–24 Apr 2003,2003-04-24
ICM,The Guardian,17–19 Apr,1000,42%,30%,21%,7%,12%,17–19 Apr 2003,2003-04-19
YouGov,The Daily Telegraph,26–27 Mar,2282,40%,33%,20%,7%,7%,26–27 Mar 2003,2003-03-27
Populus,The Times,10–12 Mar,540,42%,29%,22%,7%,13%,10–12 Mar 2003,2003-03-12
ICM,The Guardian,14–16 Mar,1002,38%,32%,24%,6%,6%,14–16 Mar 2003,2003-03-16
Populus,The Times,7–9 Mar,498,34%,34%,24%,8%,Tie,7–9 Mar 2003,2003-03-09
ICM,The Guardian,14–16 Feb,1003,39%,31%,22%,8%,8%,14–16 Feb 2003,2003-02-16
Populus,The Times,7–9 Feb,555,35%,34%,25%,6%,1%,7–9 Feb 2003,2003-02-09
YouGov,The Daily Telegraph,28–30 Jan,1949,36%,32%,24%,8%,4%,28–30 Jan 2003,2003-01-30
ICM,The Guardian,17–19 Jan,1002,43%,30%,21%,6%,13%,17–19 Jan 2003,2003-01-19
Populus,The Times,3–5 Jan,565,38%,31%,25%,6%,7%,3–5 Jan 2003,2003-01-05
Pollster,Client,Dates conducted,Sample size,,,,Others,Lead,Dates conducted 2002,
ICM,The Guardian,13–15 Dec,1006,41%,27%,23%,8%,14%,13–15 Dec 2002,2002-12-15
ICM,The Guardian,15–17 Nov,1000,42%,29%,22%,7%,13%,15–17 Nov 2002,2002-11-17
ICM,The Guardian,18–20 Oct,1001,43%,32%,20%,6%,11%,18–20 Oct 2002,2002-10-20
Populus,The Times,11–13 Oct,1001,42%,30%,21%,6%,12%,11–13 Oct 2002,2002-10-13
ICM,The Guardian,20–22 Sep,1000,39%,34%,20%,7%,5%,20–22 Sep 2002,2002-09-22
Populus,The Times,5–7 Sep,610,39%,33%,21%,6%,6%,5–7 Sep 2002,2002-09-07
ICM,The Guardian,23–25 Aug,1003,41%,32%,21%,6%,9%,23–25 Aug 2002,2002-08-25
ICM,The Guardian,26–27 Jul,1002,42%,33%,20%,4%,9%,26–27 Jul 2002,2002-07-27
ICM,The Guardian,21–23 Jun,1002,42%,32%,20%,7%,10%,21–23 Jun 2002,2002-06-23
ICM,The Guardian,17–19 May,1003,42%,34%,19%,5%,8%,17–19 May 2002,2002-05-19
ICM,The Guardian,20–21 Apr,1000,45%,29%,18%,8%,16%,20–21 Apr 2002,2002-04-21
ICM,The Guardian,15–17 Mar,1001,43%,34%,17%,6%,9%,15–17 Mar 2002,2002-03-17
ICM,The Guardian,15–17 Feb,1003,47%,30%,18%,5%,17%,15–17 Feb 2002,2002-02-17
ICM,The Guardian,18–20 Jan,1003,45%,30%,19%,6%,15%,18–20 Jan 2002,2002-01-20
Pollster,Client,Dates conducted,Sample size,,,,Others,Lead,Dates conducted 2001,
ICM,The Guardian,14–16 Dec,1000,44%,29%,20%,7%,15%,14–16 Dec 2001,2001-12-16
ICM,The Guardian,16–18 Nov,1004,46%,29%,19%,6%,17%,16–18 Nov 2001,2001-11-18
ICM,The Guardian,19–20 Oct,1000,47%,29%,19%,5%,18%,19–20 Oct 2001,2001-10-20
ICM,The Guardian,14–16 Sep,1007,46%,29%,20%,5%,17%,14–16 Sep 2001,2001-09-16
,,13 Sep,Iain Duncan Smith elected Conservative Party leader,Iain Duncan Smith elected Conservative Party leader,Iain Duncan Smith elected Conservative Party leader,Iain Duncan Smith elected Conservative Party leader,Iain Duncan Smith elected Conservative Party leader,Iain Duncan Smith elected Conservative Party leader,13 Sep 2001,2001-09-13
ICM,The Guardian,17–19 Aug,1004,46%,30%,17%,7%,16%,17–19 Aug 2001,2001-08-19
ICM,The Guardian,13–14 Jul,1001,46%,30%,18%,6%,16%,13–14 Jul 2001,2001-07-14
2001 general election,2001 general election,7 Jun,–,42.0%,32.7%,18.8%,6.5%,9.3%,7 Jun 2001,2001-06-07
